time	cc	gene	type	time.val
0.25hr	0.00115745221696621	X1110002J07Rik	M0	0.25
0.25hr	0.000701202525494207	X2500002B13Rik	M0	0.25
0.25hr	0.00148752549529314	X4930430E12Rik	M0	0.25
0.25hr	0.00104327907836011	A530064D06Rik	M0	0.25
0.25hr	0.00048678024061462	A630072M18Rik	M0	0.25
0.25hr	0.00143336817282242	AI504432	M0	0.25
0.25hr	0.000727363164843324	AW112010	M0	0.25
0.25hr	0.000566035406508966	Abtb2	M0	0.25
0.25hr	0.000127091785120982	Acod1	M0	0.25
0.25hr	0.00145328888473331	Acpp	M0	0.25
0.25hr	0.000696402407701853	Adgb	M0	0.25
0.25hr	0.00088011522437845	Adgre1	M0	0.25
0.25hr	0.000455689536527137	Adgre4	M0	0.25
0.25hr	0.000586577286856426	Adgrg6	M0	0.25
0.25hr	0.00124986470944781	Adgrl2	M0	0.25
0.25hr	0.000675224836618147	Adora2a	M0	0.25
0.25hr	0.000843215089381628	Adora2b	M0	0.25
0.25hr	0.00772854014221527	Adrb2	M0	0.25
0.25hr	0.000543337714936689	Ahr	M0	0.25
0.25hr	0.000459954572833844	Ahrr	M0	0.25
0.25hr	0.00201417877797251	Ak4	M0	0.25
0.25hr	0.00106832724536174	Alas1	M0	0.25
0.25hr	0.00102594867616444	Angpt1	M0	0.25
0.25hr	0.000136143200166232	Arg1	M0	0.25
0.25hr	4.80101878840208e-05	Arg2	M0	0.25
0.25hr	0.000428679712392761	Arhgap26	M0	0.25
0.25hr	0.00126268566752197	Arhgef3	M0	0.25
0.25hr	0.00189743376779948	Arid5a	M0	0.25
0.25hr	0.000445215458595042	Armcx6	M0	0.25
0.25hr	0.00144853887197937	Arrdc4	M0	0.25
0.25hr	0.000348642203723209	Asap3	M0	0.25
0.25hr	0.00277759243229789	Asns	M0	0.25
0.25hr	0.000301159992791509	Atm	M0	0.25
0.25hr	0.00136791962908846	Atp2b4	M0	0.25
0.25hr	0.000214103586225927	B3gnt5	M0	0.25
