time	cc	gene
0.25hr	0.00115745221696621	X1110002J07Rik
0.25hr	0.000701202525494207	X2500002B13Rik
0.25hr	0.00148752549529314	X4930430E12Rik
0.25hr	0.00104327907836011	A530064D06Rik
0.25hr	0.00048678024061462	A630072M18Rik
0.25hr	0.00143336817282242	AI504432
0.25hr	0.000727363164843324	AW112010
0.25hr	0.000566035406508966	Abtb2
0.25hr	0.000127091785120982	Acod1
0.25hr	0.00145328888473331	Acpp
0.25hr	0.000696402407701853	Adgb
0.25hr	0.00088011522437845	Adgre1
0.25hr	0.000455689536527137	Adgre4
0.25hr	0.000586577286856426	Adgrg6
0.25hr	0.00124986470944781	Adgrl2
0.25hr	0.000675224836618147	Adora2a
0.25hr	0.000843215089381628	Adora2b
0.25hr	0.00772854014221527	Adrb2
0.25hr	0.000543337714936689	Ahr
0.25hr	0.000459954572833844	Ahrr
0.25hr	0.00201417877797251	Ak4
0.25hr	0.00106832724536174	Alas1
0.25hr	0.00102594867616444	Angpt1
0.25hr	0.000136143200166232	Arg1
0.25hr	4.80101878840208e-05	Arg2
0.25hr	0.000428679712392761	Arhgap26
0.25hr	0.00126268566752197	Arhgef3
0.25hr	0.00189743376779948	Arid5a
0.25hr	0.000445215458595042	Armcx6
0.25hr	0.00144853887197937	Arrdc4
0.25hr	0.000348642203723209	Asap3
0.25hr	0.00277759243229789	Asns
0.25hr	0.000301159992791509	Atm
0.25hr	0.00136791962908846	Atp2b4
0.25hr	0.000214103586225927	B3gnt5
0.25hr	0.00212216593886325	B430306N03Rik
0.25hr	0.000511937683616575	Bambi
0.25hr	0.000482803234328233	Batf
0.25hr	0.00093704805891178	Batf2
0.25hr	0.000966534929241896	Bcl2a1a
0.25hr	0.000914134367193493	Bcl2a1d
0.25hr	0.00112871624374498	Bcl2l11
0.25hr	0.000420012694690339	Bcor
0.25hr	0.00113915448490306	Bmp2
0.25hr	0.000561360225610434	Bst1
0.25hr	0.0518058926422545	Btg2
0.25hr	0.000577964257616544	C920009B18Rik
0.25hr	0.000684183796391839	Cacna1d
0.25hr	0.00106968212454347	Cacnb3
0.25hr	0.00146938829693142	Calhm6
0.25hr	0.000485992169972093	Card6
0.25hr	0.000244823589112612	Carmil1
0.25hr	0.00116737857300568	Casp4
0.25hr	0.000290563991312753	Cav1
0.25hr	0.000495448182417588	Ccl1
0.25hr	0.00761791542100766	Ccl12
0.25hr	0.000361838878530538	Ccl17
0.25hr	0.0325232356091626	Ccl2
0.25hr	0.000475809401228783	Ccl22
0.25hr	0.0189665540540094	Ccl3
0.25hr	0.0771627510751852	Ccl4
0.25hr	0.00143336590574492	Ccl5
0.25hr	0.0231769879847694	Ccl7
0.25hr	0.0012600287775103	Ccl8
0.25hr	0.00200027883237875	Ccnd1
0.25hr	0.00017615471124569	Ccnd2
0.25hr	0.00168362809587289	Ccne1
0.25hr	0.00942739015831714	Ccr1
0.25hr	0.00120161283977094	Ccr3
0.25hr	0.00499033262956375	Ccrl2
0.25hr	0.00884257171228717	Cd14
0.25hr	0.000583135181953966	Cd163
0.25hr	0.000869513953775384	Cd200
0.25hr	0.00234684923077175	Cd300e
0.25hr	0.00123270591828306	Cd300lf
