time	type	cc	gene
0.5hr	M1	0.000205326220854422	X1110002J07Rik
0.5hr	M1	0.000837485480936403	X2500002B13Rik
0.5hr	M1	0.00274482283609561	X4930430E12Rik
0.5hr	M1	0.00059457175406224	A530064D06Rik
0.5hr	M1	0.00256708677477557	A630072M18Rik
0.5hr	M1	0.000337596840227617	AI504432
0.5hr	M1	0.00172327585681692	AW112010
0.5hr	M1	0.00156649780198245	Abtb2
0.5hr	M1	0.070665982047605	Acod1
0.5hr	M1	0.000508221998145879	Acpp
0.5hr	M1	0.000752764256221911	Adgb
0.5hr	M1	0.00436109507308874	Adgre1
0.5hr	M1	0.00102290103790041	Adgre4
0.5hr	M1	0.000371725173641089	Adgrg6
0.5hr	M1	0.000293623981994147	Adgrl2
0.5hr	M1	0.000147725480914099	Adora2a
0.5hr	M1	0.000921116917595614	Adora2b
0.5hr	M1	0.0581182679947559	Adrb2
0.5hr	M1	0.000354032736334823	Ahr
0.5hr	M1	0.000323872643024071	Ahrr
0.5hr	M1	0.0031822044429397	Ak4
0.5hr	M1	0.00196191569746211	Alas1
0.5hr	M1	5.02631668724325e-05	Angpt1
0.5hr	M1	0.000452328822415647	Arg1
0.5hr	M1	0.000587127136741849	Arg2
0.5hr	M1	0.00180605860694251	Arhgap26
0.5hr	M1	0.000414866514534914	Arhgef3
0.5hr	M1	0.0176191910664582	Arid5a
0.5hr	M1	0.00713409837328236	Armcx6
0.5hr	M1	0.00138442072025056	Arrdc4
0.5hr	M1	0.000568991690833887	Asap3
0.5hr	M1	0.000435295210757335	Asns
0.5hr	M1	0.000124180199986502	Atm
0.5hr	M1	0.000559329606113396	Atp2b4
0.5hr	M1	0.000251422444027264	B3gnt5
0.5hr	M1	0.00429253942064577	B430306N03Rik
0.5hr	M1	0.00121328336663	Bambi
0.5hr	M1	0.000827527342566738	Batf
0.5hr	M1	0.00193439254657378	Batf2
0.5hr	M1	0.0113840729540155	Bcl2a1a
0.5hr	M1	0.00667097636044258	Bcl2a1d
