time	type	cc	gene
0.5hr	M2	0.000546405275983404	X1110002J07Rik
0.5hr	M2	0.00021389575413986	X2500002B13Rik
0.5hr	M2	0.000998449333808243	X4930430E12Rik
0.5hr	M2	0.000551066294304742	A530064D06Rik
0.5hr	M2	0.000158028171702459	A630072M18Rik
0.5hr	M2	9.96993524303848e-05	AI504432
0.5hr	M2	0.00194429760798671	AW112010
0.5hr	M2	0.000408382577292939	Abtb2
0.5hr	M2	0.000529987278596548	Acod1
0.5hr	M2	0.000233141198074331	Acpp
0.5hr	M2	0.000369595475717852	Adgb
0.5hr	M2	0.000813628499751835	Adgre1
0.5hr	M2	0.000359157697152678	Adgre4
0.5hr	M2	0.000377512195339593	Adgrg6
0.5hr	M2	0.000241678154569627	Adgrl2
0.5hr	M2	6.88181681958081e-05	Adora2a
0.5hr	M2	0.000176174503518682	Adora2b
0.5hr	M2	0.00546184540410394	Adrb2
0.5hr	M2	0.00048249464023596	Ahr
0.5hr	M2	0.00041255675206119	Ahrr
0.5hr	M2	0.000432582006577609	Ak4
0.5hr	M2	0.00279243497402283	Alas1
0.5hr	M2	0.000440196154263975	Angpt1
0.5hr	M2	0.00166027718617239	Arg1
0.5hr	M2	0.000715972018818452	Arg2
0.5hr	M2	0.000279740363664598	Arhgap26
0.5hr	M2	0.00101431394712986	Arhgef3
0.5hr	M2	0.00423166672505334	Arid5a
0.5hr	M2	0.000242842362592348	Armcx6
0.5hr	M2	0.000177287345341965	Arrdc4
0.5hr	M2	0.000551873732961189	Asap3
0.5hr	M2	0.000360435071046246	Asns
0.5hr	M2	0.000619141351419454	Atm
0.5hr	M2	0.000649637827210505	Atp2b4
0.5hr	M2	0.000131578506896543	B3gnt5
0.5hr	M2	0.00165853155338519	B430306N03Rik
0.5hr	M2	0.000438055976811221	Bambi
0.5hr	M2	0.000661361772359168	Batf
0.5hr	M2	0.00338583649351816	Batf2
0.5hr	M2	0.00135065019219003	Bcl2a1a
0.5hr	M2	0.0012388327430026	Bcl2a1d
0.5hr	M2	0.000326360075493894	Bcl2l11
0.5hr	M2	0.00057705858383721	Bcor
0.5hr	M2	0.000229121038445562	Bmp2
0.5hr	M2	0.00102155137404407	Bst1
0.5hr	M2	0.0543773288429017	Btg2
0.5hr	M2	0.00069431774855079	C920009B18Rik
0.5hr	M2	0.000274123677322149	Cacna1d
0.5hr	M2	0.000623032490535471	Cacnb3
0.5hr	M2	0.00226931213638385	Calhm6
0.5hr	M2	0.000488871953141269	Card6
0.5hr	M2	0.000699568928803697	Carmil1
0.5hr	M2	0.00114797830011325	Casp4
0.5hr	M2	0.000349629128090972	Cav1
0.5hr	M2	0.000396646088405869	Ccl1
0.5hr	M2	0.00343468997011145	Ccl12
0.5hr	M2	0.000596339104672262	Ccl17
0.5hr	M2	0.00215511158353253	Ccl2
0.5hr	M2	0.000438412293128967	Ccl22
0.5hr	M2	0.0668892379776123	Ccl3
0.5hr	M2	0.210378517626035	Ccl4
0.5hr	M2	0.000348850864326586	Ccl5
0.5hr	M2	0.000954016836007689	Ccl7
0.5hr	M2	0.00058884312060474	Ccl8
0.5hr	M2	0.000794146285504402	Ccnd1
0.5hr	M2	0.000272325488282802	Ccnd2
0.5hr	M2	0.000923723410825372	Ccne1
0.5hr	M2	0.0175089310139279	Ccr1
0.5hr	M2	0.00113259194656467	Ccr3
0.5hr	M2	0.0288209156945322	Ccrl2
0.5hr	M2	0.0177066649905396	Cd14
0.5hr	M2	0.00104729653251379	Cd163
0.5hr	M2	0.000856857047362173	Cd200
0.5hr	M2	0.000666868031688711	Cd300e
0.5hr	M2	0.00207650117068481	Cd300lf
0.5hr	M2	0.000902698282275636	Cd34
0.5hr	M2	0.000520244011363013	Cd38
0.5hr	M2	0.000639520930798	Cd40
0.5hr	M2	0.000694369732164979	Cd55
0.5hr	M2	0.0964071505247694	Cd69
0.5hr	M2	0.00144578733379422	Cd80
0.5hr	M2	0.00337762803817452	Cd83
0.5hr	M2	0.00055613542059435	Cd86
0.5hr	M2	0.00135858497519395	Cdc42ep2
0.5hr	M2	0.000859940219452664	Cdc42ep4
0.5hr	M2	0.000343303157884191	Cdk5r1
0.5hr	M2	0.000201944712786342	Cebpd
0.5hr	M2	0.000476823519981512	Cemip2
0.5hr	M2	0.00183884838745796	Ch25h
0.5hr	M2	0.000517651233377458	Chil3
0.5hr	M2	0.000803138907288395	Chil4
0.5hr	M2	0.000469345679793584	Chst11
0.5hr	M2	0.00039526997947022	Ciita
0.5hr	M2	0.00115616121217643	Cish
0.5hr	M2	0.00924437680004486	Cited2
0.5hr	M2	0.000841402899684978	Clcf1
0.5hr	M2	0.000578443785354772	Clec4e
0.5hr	M2	0.00176569045587213	Clec4n
0.5hr	M2	0.000628637494334096	Clec5a
0.5hr	M2	0.000125711846699659	Clic5
0.5hr	M2	0.000676877895507897	Clmp
0.5hr	M2	0.018572954142269	Cmpk2
0.5hr	M2	0.000333943058314731	Cnn3
0.5hr	M2	0.000183031018377198	Col18a1
0.5hr	M2	0.00032616577466399	Col27a1
0.5hr	M2	0.000419877740921016	Cp
0.5hr	M2	0.000343661579519198	Csf1
0.5hr	M2	0.000562231391292583	Csf3
0.5hr	M2	0.0735705438545879	Csrnp1
0.5hr	M2	0.00121512811318812	Cst7
0.5hr	M2	0.000862998283955909	Ctla2a
0.5hr	M2	0.000224411756286526	Ctla2b
0.5hr	M2	6.84377766860064e-05	Cx3cl1
0.5hr	M2	0.00192497103732519	Cxcl1
0.5hr	M2	0.00132548875851146	Cxcl10
0.5hr	M2	0.000431716109654391	Cxcl11
0.5hr	M2	0.000160093723688918	Cxcl14
0.5hr	M2	0.244630636557824	Cxcl2
0.5hr	M2	0.000429311441241837	Cxcl3
0.5hr	M2	0.000277608125048076	Cxcl9
0.5hr	M2	0.00115843743097127	D16Ertd472e
0.5hr	M2	0.00241145617010063	Ddit4
0.5hr	M2	0.000379562939093453	Degs2
0.5hr	M2	0.000819117750233164	Dio2
0.5hr	M2	0.000855671799063528	Dmwd
0.5hr	M2	0.00159039716617684	Dmxl2
0.5hr	M2	0.000862132311168014	Dnase1l3
0.5hr	M2	5.82194409110868e-05	Dnmt3aos
0.5hr	M2	0.12328571540371	Dusp1
0.5hr	M2	0.000224099586649698	Dusp14
0.5hr	M2	0.00101798025800077	Dusp16
0.5hr	M2	0.0892454833573397	Dusp2
0.5hr	M2	0.000891145299190759	Dusp4
0.5hr	M2	0.00244060856117254	Dusp5
0.5hr	M2	0.00128493713607782	Dusp6
0.5hr	M2	0.000827845599201461	Dusp8
0.5hr	M2	0.000527333194724821	Edn1
0.5hr	M2	0.000292541158245757	Ednrb
0.5hr	M2	0.00152512802191469	Egln3
0.5hr	M2	0.0536652355609452	Egr1
0.5hr	M2	0.00710295650425074	Egr2
0.5hr	M2	0.000815028515646202	Egr3
0.5hr	M2	0.000468298296144123	Ehd1
0.5hr	M2	0.000979671619157528	Eno2
0.5hr	M2	0.00132786991650409	Errfi1
0.5hr	M2	0.000837733517260061	Ets2
0.5hr	M2	0.000497833165297165	Fabp7
0.5hr	M2	0.00030134083730302	Fam43a
0.5hr	M2	0.000693303749104236	Fcgr2b
0.5hr	M2	0.00476178376312259	Fgl2
0.5hr	M2	0.000960351179024005	Flnb
0.5hr	M2	0.000484242142446858	Flrt3
0.5hr	M2	0.000236098538708401	Flt1
0.5hr	M2	0.000275986288981263	Fmnl2
0.5hr	M2	0.0953705665633092	Fos
