time	type	cc	gene
3hr	PM_B6.LFD	0.000605116026594252	X1110002J07Rik
3hr	PM_B6.LFD	0.00732751875515767	X2500002B13Rik
3hr	PM_B6.LFD	0.0033935805682679	X4930430E12Rik
3hr	PM_B6.LFD	0.0200764969035011	A530064D06Rik
3hr	PM_B6.LFD	0.00231041721780987	A630072M18Rik
3hr	PM_B6.LFD	0.425932030869943	AI504432
3hr	PM_B6.LFD	0.0677432796933224	AW112010
3hr	PM_B6.LFD	0.0962100677967456	Abtb2
3hr	PM_B6.LFD	0.655436032156036	Acod1
3hr	PM_B6.LFD	0.0530266969939137	Acpp
3hr	PM_B6.LFD	0.033882210669216	Adgb
3hr	PM_B6.LFD	0.41489250645374	Adgre1
3hr	PM_B6.LFD	0.0309887492502869	Adgre4
3hr	PM_B6.LFD	0.0190807287968811	Adgrg6
3hr	PM_B6.LFD	0.00308892092449691	Adgrl2
3hr	PM_B6.LFD	0.531940975670717	Adora2a
3hr	PM_B6.LFD	0.198904466327126	Adora2b
3hr	PM_B6.LFD	0.00982831908861846	Adrb2
3hr	PM_B6.LFD	0.0481141001386035	Ahr
3hr	PM_B6.LFD	0.0117561698887341	Ahrr
3hr	PM_B6.LFD	0.00912008893605648	Ak4
3hr	PM_B6.LFD	0.0708530032310593	Alas1
3hr	PM_B6.LFD	0.00167290141224187	Angpt1
3hr	PM_B6.LFD	0.101045493955088	Arg1
3hr	PM_B6.LFD	0.00906177526932001	Arg2
3hr	PM_B6.LFD	0.018434840397081	Arhgap26
3hr	PM_B6.LFD	0.419435588817078	Arhgef3
3hr	PM_B6.LFD	0.517938084953624	Arid5a
3hr	PM_B6.LFD	0.0397806777270768	Armcx6
3hr	PM_B6.LFD	0.0520084066650556	Arrdc4
3hr	PM_B6.LFD	0.000760233990488926	Asap3
3hr	PM_B6.LFD	0.0019133134594249	Asns
3hr	PM_B6.LFD	0.037457007538209	Atm
3hr	PM_B6.LFD	0.00332282757359695	Atp2b4
3hr	PM_B6.LFD	0.000123225235471615	B3gnt5
3hr	PM_B6.LFD	0.130426055831648	B430306N03Rik
3hr	PM_B6.LFD	0.294900051738599	Bambi
3hr	PM_B6.LFD	0.0479791599371161	Batf
3hr	PM_B6.LFD	0.66643275093412	Batf2
3hr	PM_B6.LFD	0.592362338944329	Bcl2a1a
3hr	PM_B6.LFD	0.564988807615386	Bcl2a1d
3hr	PM_B6.LFD	0.0275270754275991	Bcl2l11
3hr	PM_B6.LFD	0.086583837095646	Bcor
3hr	PM_B6.LFD	0.0133995224587072	Bmp2
3hr	PM_B6.LFD	0.156444316135923	Bst1
3hr	PM_B6.LFD	0.00303365827694911	Btg2
3hr	PM_B6.LFD	0.000629215508433475	C920009B18Rik
3hr	PM_B6.LFD	0.00368523241608549	Cacna1d
3hr	PM_B6.LFD	0.000858601128312836	Cacnb3
3hr	PM_B6.LFD	0.764893129607822	Calhm6
3hr	PM_B6.LFD	0.0443429172877982	Card6
