time	stim1	stim2	cc	sd	gene
3hr	CpG	P3CSK	2.38148261073003e-05	0.000476428713306236	X1110002J07Rik
3hr	CpG	P3CSK	0.00106257632258432	0.000760537257096217	X2500002B13Rik
3hr	CpG	P3CSK	0.00103165433591221	0.0012082721245007	X4930430E12Rik
3hr	CpG	P3CSK	1.81764286248112e-05	0.000220403526024776	A530064D06Rik
3hr	CpG	P3CSK	2.54937869323348e-05	0.00038952942536443	A630072M18Rik
3hr	CpG	P3CSK	0.00301151961028349	0.00166608955619127	AI504432
3hr	CpG	P3CSK	0.0556345943378548	0.00696087491081634	AW112010
3hr	CpG	P3CSK	9.06988449907673e-05	0.000324111314739161	Abtb2
3hr	CpG	P3CSK	0.01575106519712	0.003415749715955	Acod1
3hr	CpG	P3CSK	2.627609128001e-05	9.38556298266996e-05	Acpp
3hr	CpG	P3CSK	0.000882446362918798	0.00123644123104633	Adgb
3hr	CpG	P3CSK	0.000400530690655898	0.000480549103789856	Adgre1
3hr	CpG	P3CSK	0.00118990066355676	0.000692256830822468	Adgre4
3hr	CpG	P3CSK	1.48962659523704e-05	0.000255357249336905	Adgrg6
3hr	CpG	P3CSK	0.000311782020265041	0.00131497503008974	Adgrl2
3hr	CpG	P3CSK	0.00362058349412294	0.00159706834273513	Adora2a
3hr	CpG	P3CSK	8.65874140461895e-05	0.000317319596915653	Adora2b
3hr	CpG	P3CSK	1.98164648580536e-05	0.000154544203487662	Adrb2
3hr	CpG	P3CSK	0.000836621487315425	0.000954976342646889	Ahr
3hr	CpG	P3CSK	0.000463418431231156	0.000808264161811964	Ahrr
3hr	CpG	P3CSK	0.0144946750531591	0.00285322157883363	Ak4
3hr	CpG	P3CSK	0.0333033055754565	0.00917039881158323	Alas1
3hr	CpG	P3CSK	4.64571808136259e-05	0.000507943618654647	Angpt1
3hr	CpG	P3CSK	8.581861814756e-08	0.000411642137708413	Arg1
3hr	CpG	P3CSK	0.000125006226489403	0.000396077609463873	Arg2
3hr	CpG	P3CSK	0.00202188529333298	0.00127630394957858	Arhgap26
3hr	CpG	P3CSK	0.0182153147036248	0.00216466225130339	Arhgef3
3hr	CpG	P3CSK	7.04186466489054e-05	0.000300456697398589	Arid5a
3hr	CpG	P3CSK	1.24637813953315e-05	0.000322246901984731	Armcx6
3hr	CpG	P3CSK	0.0007417280344583	0.000547521997616707	Arrdc4
3hr	CpG	P3CSK	8.24402123562064e-08	0.000184363735658849	Asap3
3hr	CpG	P3CSK	0.000526368967718129	0.00104127198374353	Asns
3hr	CpG	P3CSK	9.89077935271423e-06	0.000229949717148948	Atm
3hr	CpG	P3CSK	9.02121089781874e-05	0.000653973871021167	Atp2b4
3hr	CpG	P3CSK	0.00261804612844984	0.00168910246336278	B3gnt5
3hr	CpG	P3CSK	1.2738438100639e-05	8.88163375921767e-05	B430306N03Rik
3hr	CpG	P3CSK	0.000159867593550544	0.000650062471178071	Bambi
3hr	CpG	P3CSK	0.000323444621739166	0.000427688261205341	Batf
3hr	CpG	P3CSK	9.89164762218077e-05	0.000152213003361159	Batf2
3hr	CpG	P3CSK	0.0122655802275598	0.00255582349595844	Bcl2a1a
3hr	CpG	P3CSK	0.0119808000231244	0.00513159432549607	Bcl2a1d
3hr	CpG	P3CSK	0.000287820331005072	0.000262842196798362	Bcl2l11
3hr	CpG	P3CSK	0.000396681984740588	0.000491332993354231	Bcor
3hr	CpG	P3CSK	0.000186008248921525	0.000197455597117392	Bmp2
3hr	CpG	P3CSK	0.000284647688424426	0.00048215427331183	Bst1
3hr	CpG	P3CSK	0.000589478065049727	0.000823188676408567	Btg2
3hr	CpG	P3CSK	0.000574717871259031	0.00102424754485385	C920009B18Rik
3hr	CpG	P3CSK	0.000144784411668114	0.000880131644256131	Cacna1d
3hr	CpG	P3CSK	0.0057206723571434	0.00261665289388277	Cacnb3
3hr	CpG	P3CSK	0.00891915602098663	0.00234796838694162	Calhm6
3hr	CpG	P3CSK	0.00406132913884255	0.00205575407989942	Card6
3hr	CpG	P3CSK	0.000198878316509793	0.000257613729732087	Carmil1
3hr	CpG	P3CSK	0.00369293320157888	0.00146293624416431	Casp4
3hr	CpG	P3CSK	0.00644854618473866	0.00259119245694704	Cav1
3hr	CpG	P3CSK	5.45502187779954e-05	0.000347680369798183	Ccl1
3hr	CpG	P3CSK	0.0129976859573473	0.00294063260111184	Ccl12
3hr	CpG	P3CSK	6.24407839767338e-06	0.000342146935328426	Ccl17
3hr	CpG	P3CSK	0.00615526595586684	0.00234617744445887	Ccl2
3hr	CpG	P3CSK	0.0018995135416279	0.00145312487913983	Ccl22
3hr	CpG	P3CSK	0.000209847049788818	0.000499123046334274	Ccl3
3hr	CpG	P3CSK	0.00272935383571855	0.00153566838288711	Ccl4
3hr	CpG	P3CSK	0.0477986612521226	0.00641674969947341	Ccl5
3hr	CpG	P3CSK	0.000297346111602497	0.000223634742050901	Ccl7
3hr	CpG	P3CSK	0.000128387843441836	0.000618830290839436	Ccl8
3hr	CpG	P3CSK	0.00160141994141861	0.0011938113880574	Ccnd1
3hr	CpG	P3CSK	0.000339305153453586	0.000731182420765737	Ccnd2
3hr	CpG	P3CSK	3.69624348771998e-05	0.000237449785130396	Ccne1
3hr	CpG	P3CSK	0.000323545065571429	0.000517492156656123	Ccr1
3hr	CpG	P3CSK	0.000774725569422847	0.000461297897709096	Ccr3
3hr	CpG	P3CSK	0.000519893548456447	0.000600753474067337	Ccrl2
3hr	CpG	P3CSK	0.000369319031541705	0.000619755097063388	Cd14
3hr	CpG	P3CSK	0.000592225298309911	0.000711779554579008	Cd163
3hr	CpG	P3CSK	0.000580782263125748	0.000908566431167418	Cd200
3hr	CpG	P3CSK	0.026100677122042	0.00353472741518773	Cd300e
3hr	CpG	P3CSK	0.0005325865055065	0.00108546908431145	Cd300lf
3hr	CpG	P3CSK	0.000232486782736981	0.000331481990379461	Cd34
3hr	CpG	P3CSK	5.29990436317223e-05	0.000383345332993812	Cd38
3hr	CpG	P3CSK	0.0208395645384524	0.00402037011495532	Cd40
3hr	CpG	P3CSK	0.000306071922939256	0.0003303205118891	Cd55
3hr	CpG	P3CSK	0.000249042446910773	0.000690159156549347	Cd69
3hr	CpG	P3CSK	9.33884249342562e-06	0.000124710132336122	Cd80
3hr	CpG	P3CSK	0.00685701134770971	0.00288412965073146	Cd83
3hr	CpG	P3CSK	8.67404343699011e-06	0.000309033591246669	Cd86
3hr	CpG	P3CSK	0.00591865694881674	0.00234467613244188	Cdc42ep2
3hr	CpG	P3CSK	0.00334623305716461	0.00191138567745663	Cdc42ep4
3hr	CpG	P3CSK	0.000345425944095426	0.000897423099353788	Cdk5r1
3hr	CpG	P3CSK	1.76447066413932e-06	0.000207395395638667	Cebpd
3hr	CpG	P3CSK	0.00624741780506183	0.00256388482372044	Cemip2
3hr	CpG	P3CSK	0.00517350382468202	0.00247617083092122	Ch25h
3hr	CpG	P3CSK	0.000232539987807451	0.000424069444652351	Chst11
3hr	CpG	P3CSK	0.000229713707748561	0.000498467639494571	Ciita
3hr	CpG	P3CSK	0.000479555779775946	0.000859059686486983	Cish
3hr	CpG	P3CSK	0.0236641727933123	0.00446228891570165	Cited2
3hr	CpG	P3CSK	0.00205728104533988	0.00126988678727663	Clcf1
3hr	CpG	P3CSK	0.0123019308931884	0.00380708729905505	Clec4e
3hr	CpG	P3CSK	0.00067903896145448	0.000902950487180962	Clec4n
3hr	CpG	P3CSK	4.69248001801229e-05	0.000153368751916068	Clec5a
3hr	CpG	P3CSK	4.37118597839258e-05	0.000495779262481431	Clic5
3hr	CpG	P3CSK	4.20073705451615e-05	0.00023391144614654	Clmp
3hr	CpG	P3CSK	0.000734021659725806	0.000592342392093633	Cmpk2
3hr	CpG	P3CSK	2.66967729685255e-05	0.000130406568364497	Cnn3
3hr	CpG	P3CSK	0.00215890355758368	0.00183503604836223	Col18a1
3hr	CpG	P3CSK	2.71293259727512e-05	0.000334451199922792	Col27a1
3hr	CpG	P3CSK	0.00366627843011288	0.00242830572647858	Cp
3hr	CpG	P3CSK	0.0081500568269347	0.00366652176525305	Csf1
3hr	CpG	P3CSK	1.84986103326683e-05	0.000100084190658084	Csf3
3hr	CpG	P3CSK	0.000652458594162052	0.000432696792999169	Csrnp1
3hr	CpG	P3CSK	0.000153459671691275	0.000552038644178679	Cst7
3hr	CpG	P3CSK	0.000231276531364033	0.000496603880187674	Ctla2a
3hr	CpG	P3CSK	0.000875010878432624	0.000610116258552439	Ctla2b
3hr	CpG	P3CSK	3.21580332736062e-05	0.000306927250096992	Cx3cl1
3hr	CpG	P3CSK	9.90821457600619e-06	0.000232103784556657	Cx3cr1
3hr	CpG	P3CSK	0.00572739737213128	0.00266573328366989	Cxcl1
3hr	CpG	P3CSK	0.00287757412664151	0.00152207422275672	Cxcl10
3hr	CpG	P3CSK	0.000441113764383705	0.000596635659187844	Cxcl11
3hr	CpG	P3CSK	0.000976550785525055	0.00141257640731708	Cxcl14
3hr	CpG	P3CSK	2.10144083730641e-05	0.000341056295323582	Cxcl2
3hr	CpG	P3CSK	0.00174659434704561	0.00145385269410056	Cxcl3
3hr	CpG	P3CSK	0.000162331620496097	0.000377356094640866	Cxcl9
3hr	CpG	P3CSK	0.00287160558566572	0.0012625616841327	D16Ertd472e
3hr	CpG	P3CSK	3.45139857498153e-05	0.000262553004705855	Ddit4
3hr	CpG	P3CSK	0.000638051099986702	0.00120412422614363	Dio2
3hr	CpG	P3CSK	8.11263284826262e-05	0.000625087178205682	Dmwd
3hr	CpG	P3CSK	0.00258908922727571	0.0015272355282198	Dmxl2
3hr	CpG	P3CSK	1.56443446704929e-05	0.00053275323076743	Dnase1l3
3hr	CpG	P3CSK	0.00110866404606879	0.00107212305928363	Dnmt3aos
3hr	CpG	P3CSK	0.00350781986218667	0.00154090834278268	Dusp1
3hr	CpG	P3CSK	0.000125139542620887	8.63227053453959e-05	Dusp14
3hr	CpG	P3CSK	0.000681402150687637	0.000989106620682122	Dusp16
3hr	CpG	P3CSK	0.00975870519756959	0.00278882572532092	Dusp2
3hr	CpG	P3CSK	0.00383486734107463	0.0016316667312207	Dusp4
3hr	CpG	P3CSK	0.00147537830344903	0.00122774312563691	Dusp5
3hr	CpG	P3CSK	1.9921667492323e-05	0.00025492040788171	Dusp6
3hr	CpG	P3CSK	0.00321779777207224	0.00194420518509285	Dusp8
3hr	CpG	P3CSK	0.00013670011063872	0.000715605626449842	Edn1
3hr	CpG	P3CSK	0.00285981294557282	0.00163397487533794	Ednrb
3hr	CpG	P3CSK	0.00043094962216918	0.000614030911715541	Egln3
3hr	CpG	P3CSK	9.05123032886569e-10	9.69913550845525e-05	Egr1
3hr	CpG	P3CSK	5.39175188947047e-05	0.000373730548479469	Egr2
3hr	CpG	P3CSK	2.34867673393105e-05	0.000411604718091444	Egr3
3hr	CpG	P3CSK	0.0122971597553521	0.00312242034021875	Ehd1
3hr	CpG	P3CSK	0.000290724725257449	0.000323573719523705	Eno2
3hr	CpG	P3CSK	0.000511547991202518	0.000560559620842596	Errfi1
3hr	CpG	P3CSK	7.10660908775831e-05	0.000525919150466724	Ets2
3hr	CpG	P3CSK	6.87341073509268e-05	0.000552971640611654	Fabp7
3hr	CpG	P3CSK	0.000372322125007016	0.000249682927451916	Fam43a
3hr	CpG	P3CSK	0.0103836915731609	0.00198714903894364	Fcgr2b
3hr	CpG	P3CSK	0.00155366366976919	0.00093931586104388	Fgl2
3hr	CpG	P3CSK	0.00106709948800008	0.00106211869792384	Flnb
3hr	CpG	P3CSK	0.000647337900971033	0.000563811619264892	Flrt3
3hr	CpG	P3CSK	0.000424240688490489	0.000447486682128814	Flt1
3hr	CpG	P3CSK	3.05623043277482e-05	0.000252622984049737	Fmnl2
3hr	CpG	P3CSK	0.000154007198573872	0.000445542118615471	Fos
3hr	CpG	P3CSK	6.51421636984862e-05	0.000206840006982177	Fosb
3hr	CpG	P3CSK	0.0118127132564756	0.00171643530397079	Foxp4
3hr	CpG	P3CSK	0.00197930662776272	0.00111299790287405	Fpr1
3hr	CpG	P3CSK	0.00977383309788616	0.00281797937156209	Fpr2
3hr	CpG	P3CSK	0.000332760261748642	0.00110860512510296	Frmd6
3hr	CpG	P3CSK	0.00623138817543663	0.00197415799247547	Fscn1
3hr	CpG	P3CSK	0.00016046102648103	0.000505386754437988	Fzd1
3hr	CpG	P3CSK	0.000442435885709729	0.000908251026505408	G530011O06Rik
3hr	CpG	P3CSK	0.00932044133195264	0.00381494694381107	Gbp7
3hr	CpG	P3CSK	0.00239131642996819	0.00185340834507645	Gclm
3hr	CpG	P3CSK	7.88774808208162e-05	0.0002617383341206	Gcnt2
3hr	CpG	P3CSK	0.000548126582302817	0.00042668911649222	Gda
3hr	CpG	P3CSK	0.00443699493262029	0.00112896004998513	Gdf15
3hr	CpG	P3CSK	5.12438335083938e-05	0.000507686184824233	Gem
3hr	CpG	P3CSK	0.000255599424425284	0.00108782285375959	Gfi1
3hr	CpG	P3CSK	4.71007983319811e-05	0.000506358979881452	Gja1
3hr	CpG	P3CSK	1.81290952253923e-05	0.000434578607728835	Glipr2
3hr	CpG	P3CSK	0.000151395682530632	0.000333757695080591	Gm16712
3hr	CpG	P3CSK	0.000376123610024939	0.000678709750881447	Gm19026
3hr	CpG	P3CSK	0.000340064574761409	0.000639101390442567	Gm1966
3hr	CpG	P3CSK	9.41877477574316e-05	0.000842196545538533	Gm47283
3hr	CpG	P3CSK	0.000465895926797965	0.00166336238471135	Gm4951
3hr	CpG	P3CSK	9.73810424882642e-05	0.00024619274514214	Gm5150
3hr	CpG	P3CSK	0.00505961255469405	0.00174966500969071	Gm6377
3hr	CpG	P3CSK	0.000186008248921525	0.000180971044036383	Gm9855
3hr	CpG	P3CSK	0.0152949036282187	0.00398565875844778	Gna15
3hr	CpG	P3CSK	0.00144504207501929	0.00080903173937732	Gng4
3hr	CpG	P3CSK	0.00229512650500373	0.000856842685609877	Gpr132
3hr	CpG	P3CSK	0.00243238827149912	0.00173915625599661	Gpr141
3hr	CpG	P3CSK	0.00266620962272239	0.00124233958646168	Gpr18
3hr	CpG	P3CSK	3.47911977829992e-05	0.000315975835729809	Gpr35
3hr	CpG	P3CSK	0.000741598942348973	0.000645076068214391	Gpr68
3hr	CpG	P3CSK	4.62874882609932e-05	0.000296465060118518	Gpr84
3hr	CpG	P3CSK	0.000446358920041089	0.000798257966802831	Gpr85
3hr	CpG	P3CSK	1.77952329884705e-06	0.000484126705160136	Grk3
3hr	CpG	P3CSK	0.00660488715112892	0.00191262003413964	Gsr
3hr	CpG	P3CSK	0.000237159786127925	0.000336996027158931	Gsta3
3hr	CpG	P3CSK	3.59834688242379e-05	0.000454270664397686	H1f2
3hr	CpG	P3CSK	4.10329475793041e-05	0.000471694746232068	H2.Eb1
3hr	CpG	P3CSK	0.000168100536346129	0.000331673132966101	H2.K2
3hr	CpG	P3CSK	0.0105378484966894	0.00203846787563189	H2.M2
3hr	CpG	P3CSK	0.00177382963244982	0.00134198619486865	H60b
3hr	CpG	P3CSK	0.00806699220392855	0.00214787719631795	Hcar2
3hr	CpG	P3CSK	0.000292504443973436	0.00071646659128444	Heatr9
3hr	CpG	P3CSK	0.00337937579012762	0.00132859190613317	Hhex
3hr	CpG	P3CSK	0.012987170260778	0.0016942599946656	Hilpda
3hr	CpG	P3CSK	0.00012108255188447	0.000387459723259733	Hivep3
3hr	CpG	P3CSK	0.00038303435963967	0.000402606003362667	Hmga2
3hr	CpG	P3CSK	8.83738996083839e-06	0.000122203277849028	Hmox1
3hr	CpG	P3CSK	0.000186008248921525	0.000197455597117223	Hopx
3hr	CpG	P3CSK	4.99690459763447e-05	0.000186169421660089	Hp
3hr	CpG	P3CSK	0.000250074726633943	0.000379593296580746	Hsd17b7
3hr	CpG	P3CSK	4.61009606322517e-05	0.000416097383384208	Hspa1a
3hr	CpG	P3CSK	0.000111136785552397	0.000167739125666162	Hspa1b
3hr	CpG	P3CSK	0.00267949430506651	0.00219013438700879	Htr2a
3hr	CpG	P3CSK	9.7561547213475e-05	0.000170438741269114	Htr2b
3hr	CpG	P3CSK	0.000546618594891065	0.00038902587414459	Htra1
3hr	CpG	P3CSK	0.0294173369042814	0.00495410616686386	Icam1
3hr	CpG	P3CSK	0.00350309877879777	0.00153266809297778	Icosl
3hr	CpG	P3CSK	0.000137671063331768	0.000727084488561862	Idi1
3hr	CpG	P3CSK	0.000261877382356132	0.000591031116216734	Ier2
3hr	CpG	P3CSK	0.000597231754153857	0.000749563469237735	Ier3
3hr	CpG	P3CSK	0.0155567564831171	0.00365775288876284	Ifi205
3hr	CpG	P3CSK	1.76176325186945e-07	0.000169157270625874	Ifi208
3hr	CpG	P3CSK	0.000138416326660195	0.000302426149848354	Ifit1
3hr	CpG	P3CSK	0.000288997101152058	0.000814078137921799	Ifit1bl1
3hr	CpG	P3CSK	0.00156702082017026	0.000839975810891504	Ifit2
3hr	CpG	P3CSK	0.00421748559212075	0.00127511320098022	Ifit3
3hr	CpG	P3CSK	0.00135477758472529	0.00124096466409947	Ifit3b
3hr	CpG	P3CSK	1.62517316162646e-05	0.000453599104889527	Ifitm1
3hr	CpG	P3CSK	0.000691623961063792	0.00064302458184475	Ifnb1
3hr	CpG	P3CSK	0.0114507359477361	0.00277199814644101	Ifrd1
3hr	CpG	P3CSK	0.00200517486232392	0.000805548697150258	Igf2bp2
3hr	CpG	P3CSK	4.59742025783867e-05	0.000261495693709648	Igsf9
3hr	CpG	P3CSK	9.1746864871372e-05	0.000667648197647418	Iigp1
3hr	CpG	P3CSK	0.00369174410810416	0.00214967539727041	Il10
