time	stim1	stim2	cc	geneset
0.25hr	CpG	P3CSK	0.127679901727925	1
0.25hr	CpG	P3CSK	0.000720250929540253	2
0.25hr	CpG	P3CSK	0.00234543829326121	3
0.25hr	CpG	P3CSK	0.00702432599702991	4
0.25hr	CpG	P3CSK	0.00267998301973491	5
0.25hr	CpG	P3CSK	0.00259527208127841	6
0.25hr	CpG	P3CSK	0.000455148793667304	7
0.25hr	CpG	P3CSK	0.00186298604391144	8
0.25hr	CpG	P3CSK	0.000898625284408198	9
0.25hr	CpG	LPS	0.269125288903168	1
0.25hr	CpG	LPS	0.000320408789760747	2
0.25hr	CpG	LPS	0.00201570054141468	3
0.25hr	CpG	LPS	0.0164224425162598	4
0.25hr	CpG	LPS	0.00146881389951832	5
0.25hr	CpG	LPS	0.00191587157741603	6
0.25hr	CpG	LPS	0.0013156509565913	7
0.25hr	CpG	LPS	0.00291550418004562	8
0.25hr	CpG	LPS	0.00155406379339285	9
0.25hr	CpG	TNF	0.244807855832299	1
0.25hr	CpG	TNF	0.000948076083519656	2
0.25hr	CpG	TNF	0.00135727071075047	3
0.25hr	CpG	TNF	0.00811942647005857	4
0.25hr	CpG	TNF	0.000548435574630501	5
0.25hr	CpG	TNF	0.0018625208690523	6
0.25hr	CpG	TNF	0.000485722147743857	7
0.25hr	CpG	TNF	0.00334487804046025	8
0.25hr	CpG	TNF	0.00155728103563456	9
0.25hr	CpG	IFNb	0.0143280329149425	1
0.25hr	CpG	IFNb	0.000400671467353225	2
0.25hr	CpG	IFNb	0.000970841383562096	3
0.25hr	CpG	IFNb	0.0436304914404729	4
0.25hr	CpG	IFNb	0.00228206509782152	5
0.25hr	CpG	IFNb	0.00336667921806958	6
0.25hr	CpG	IFNb	0.00204237274035769	7
0.25hr	CpG	IFNb	0.0455743893321822	8
0.25hr	CpG	IFNb	0.000747629424629902	9
0.25hr	CpG	PIC	0.00148356208984556	1
0.25hr	CpG	PIC	0.00176837652158976	2
0.25hr	CpG	PIC	0.00341106901509041	3
0.25hr	CpG	PIC	0.00133816017017652	4
0.25hr	CpG	PIC	0.00318417551339072	5
0.25hr	CpG	PIC	0.00265268521221901	6
0.25hr	CpG	PIC	0.00250303937888518	7
0.25hr	CpG	PIC	0.00211070109934952	8
0.25hr	CpG	PIC	0.00173439051671405	9
0.25hr	P3CSK	LPS	0.0381750943137191	1
0.25hr	P3CSK	LPS	0.00141986573087463	2
0.25hr	P3CSK	LPS	0.00341916303679555	3
0.25hr	P3CSK	LPS	0.00466524327461886	4
0.25hr	P3CSK	LPS	0.00174405808575131	5
0.25hr	P3CSK	LPS	0.000561337928803061	6
0.25hr	P3CSK	LPS	0.00119172999338617	7
0.25hr	P3CSK	LPS	0.00141268292548262	8
0.25hr	P3CSK	LPS	0.00261615693266468	9
0.25hr	P3CSK	TNF	0.0302031167755473	1
0.25hr	P3CSK	TNF	0.00185888674214971	2
0.25hr	P3CSK	TNF	0.00151392333305576	3
0.25hr	P3CSK	TNF	0.00399371384881117	4
0.25hr	P3CSK	TNF	0.00117114541787896	5
0.25hr	P3CSK	TNF	0.000651142895064109	6
0.25hr	P3CSK	TNF	0.00101429133536327	7
0.25hr	P3CSK	TNF	0.000623243074787569	8
0.25hr	P3CSK	TNF	0.00197883101257292	9
0.25hr	P3CSK	IFNb	0.208120970423489	1
0.25hr	P3CSK	IFNb	0.000405884404218738	2
0.25hr	P3CSK	IFNb	0.00389511328025355	3
0.25hr	P3CSK	IFNb	0.024304756156938	4
0.25hr	P3CSK	IFNb	0.0040959089385403	5
0.25hr	P3CSK	IFNb	0.0021275707700538	6
0.25hr	P3CSK	IFNb	0.00113257999602901	7
0.25hr	P3CSK	IFNb	0.0460817559647643	8
0.25hr	P3CSK	IFNb	0.000698586171960012	9
0.25hr	P3CSK	PIC	0.140548428758272	1
0.25hr	P3CSK	PIC	0.00397443613418827	2
0.25hr	P3CSK	PIC	0.00318594789032882	3
0.25hr	P3CSK	PIC	0.00461239949233249	4
0.25hr	P3CSK	PIC	0.00156479979003111	5
0.25hr	P3CSK	PIC	0.00204328245573093	6
0.25hr	P3CSK	PIC	0.00255672537480874	7
0.25hr	P3CSK	PIC	0.00043803958522821	8
0.25hr	P3CSK	PIC	0.00340052522035802	9
0.25hr	LPS	TNF	0.00062471507446702	1
0.25hr	LPS	TNF	0.000218249213310274	2
0.25hr	LPS	TNF	0.00220454323877092	3
0.25hr	LPS	TNF	0.00187297420252449	4
0.25hr	LPS	TNF	0.000488243270391521	5
0.25hr	LPS	TNF	0.00121272563642394	6
0.25hr	LPS	TNF	0.000439678279678885	7
0.25hr	LPS	TNF	0.000595470092547244	8
0.25hr	LPS	TNF	0.00204946408238866	9
0.25hr	LPS	IFNb	0.36339574576574	1
0.25hr	LPS	IFNb	0.000671492162295534	2
0.25hr	LPS	IFNb	0.00155386077270714	3
0.25hr	LPS	IFNb	0.0125656180477343	4
0.25hr	LPS	IFNb	0.00138677120245923	5
0.25hr	LPS	IFNb	0.00180665585389731	6
0.25hr	LPS	IFNb	0.00205921471700893	7
0.25hr	LPS	IFNb	0.0336756173673383	8
0.25hr	LPS	IFNb	0.00100951823887953	9
0.25hr	LPS	PIC	0.285452389273521	1
0.25hr	LPS	PIC	0.000876615415401105	2
0.25hr	LPS	PIC	0.000467917615563068	3
0.25hr	LPS	PIC	0.00956980509238589	4
0.25hr	LPS	PIC	0.00104500872700686	5
0.25hr	LPS	PIC	0.00269590387001486	6
0.25hr	LPS	PIC	0.00257092255090252	7
0.25hr	LPS	PIC	0.000701262202515058	8
0.25hr	LPS	PIC	0.00183658537861824	9
0.25hr	TNF	IFNb	0.333726124327659	1
0.25hr	TNF	IFNb	0.00103975914127651	2
0.25hr	TNF	IFNb	0.00344138344078296	3
0.25hr	TNF	IFNb	0.0179259885197812	4
0.25hr	TNF	IFNb	0.00177517480305075	5
0.25hr	TNF	IFNb	0.00119515993306608	6
0.25hr	TNF	IFNb	0.00289599319158222	7
0.25hr	TNF	IFNb	0.0393166457503306	8
0.25hr	TNF	IFNb	0.00222499366533014	9
0.25hr	TNF	PIC	0.261441861953777	1
0.25hr	TNF	PIC	0.000746215352756792	2
0.25hr	TNF	PIC	0.00261372262807229	3
0.25hr	TNF	PIC	0.00395424227642947	4
0.25hr	TNF	PIC	0.00152760527120488	5
0.25hr	TNF	PIC	0.00121061844325249	6
0.25hr	TNF	PIC	0.00307506623626075	7
0.25hr	TNF	PIC	0.000432562389549073	8
0.25hr	TNF	PIC	0.000521361310140521	9
0.25hr	IFNb	PIC	0.0171395192729819	1
0.25hr	IFNb	PIC	0.00203042244995749	2
0.25hr	IFNb	PIC	0.00289435537830336	3
0.25hr	IFNb	PIC	0.029930758360507	4
0.25hr	IFNb	PIC	0.00459950865693561	5
0.25hr	IFNb	PIC	0.0033186401714766	6
0.25hr	IFNb	PIC	0.000823071789895519	7
0.25hr	IFNb	PIC	0.0386549143050953	8
0.25hr	IFNb	PIC	0.00239210474593352	9
1hr	CpG	P3CSK	0.135358216678752	1
1hr	CpG	P3CSK	0.00656822704148242	2
1hr	CpG	P3CSK	0.063294835011723	3
1hr	CpG	P3CSK	0.00533411817948835	4
1hr	CpG	P3CSK	0.00366241280000874	5
1hr	CpG	P3CSK	0.0191023731236306	6
1hr	CpG	P3CSK	0.0081361189124935	7
1hr	CpG	P3CSK	0.00320766840843368	8
1hr	CpG	P3CSK	0.0202471721232229	9
1hr	CpG	LPS	0.119939038596796	1
1hr	CpG	LPS	0.0543490079830938	2
1hr	CpG	LPS	0.157971509419264	3
1hr	CpG	LPS	0.108986778554371	4
1hr	CpG	LPS	0.237194577181767	5
1hr	CpG	LPS	0.0368537627199981	6
1hr	CpG	LPS	0.0100880455028927	7
1hr	CpG	LPS	0.00454400534646886	8
1hr	CpG	LPS	0.0406079952503571	9
1hr	CpG	TNF	0.839797373345334	1
1hr	CpG	TNF	0.00222432970357527	2
1hr	CpG	TNF	0.269072027514947	3
1hr	CpG	TNF	0.0614641735829607	4
1hr	CpG	TNF	0.00599556890015601	5
1hr	CpG	TNF	0.0203521444043451	6
1hr	CpG	TNF	0.0119065036554024	7
1hr	CpG	TNF	0.00447735354352443	8
1hr	CpG	TNF	0.00608464530358808	9
1hr	CpG	IFNb	0.949184425606024	1
1hr	CpG	IFNb	0.243680756915724	2
1hr	CpG	IFNb	0.726739085298504	3
1hr	CpG	IFNb	0.268674296366226	4
1hr	CpG	IFNb	0.18235066780857	5
1hr	CpG	IFNb	0.35946343546746	6
1hr	CpG	IFNb	0.816229522619055	7
1hr	CpG	IFNb	0.888241875673474	8
1hr	CpG	IFNb	0.0844737802008836	9
1hr	CpG	PIC	0.781429361082968	1
1hr	CpG	PIC	0.0317994025980706	2
1hr	CpG	PIC	0.661345781578476	3
1hr	CpG	PIC	0.162472515922113	4
1hr	CpG	PIC	0.0242159762677995	5
1hr	CpG	PIC	0.00441035335391314	6
1hr	CpG	PIC	0.0266204424497259	7
1hr	CpG	PIC	0.00586214493910881	8
1hr	CpG	PIC	0.1075213424768	9
1hr	P3CSK	LPS	0.29623903042324	1
1hr	P3CSK	LPS	0.0245487313030208	2
1hr	P3CSK	LPS	0.0451010342684595	3
1hr	P3CSK	LPS	0.0866444208487158	4
1hr	P3CSK	LPS	0.267899789495667	5
1hr	P3CSK	LPS	0.00345494396065285	6
1hr	P3CSK	LPS	0.00137776535941463	7
1hr	P3CSK	LPS	0.0071378953816452	8
1hr	P3CSK	LPS	0.00421637110359894	9
1hr	P3CSK	TNF	0.72088176700411	1
1hr	P3CSK	TNF	0.00470038675353515	2
1hr	P3CSK	TNF	0.379255813235331	3
1hr	P3CSK	TNF	0.074705148768298	4
1hr	P3CSK	TNF	0.000403976720774134	5
1hr	P3CSK	TNF	0.000553710176162403	6
1hr	P3CSK	TNF	0.00125423049512233	7
1hr	P3CSK	TNF	0.0016325579740751	8
1hr	P3CSK	TNF	0.0105965533549583	9
1hr	P3CSK	IFNb	0.936284010175542	1
1hr	P3CSK	IFNb	0.264331013016348	2
1hr	P3CSK	IFNb	0.855081313921303	3
1hr	P3CSK	IFNb	0.300587849813071	4
1hr	P3CSK	IFNb	0.212082087181776	5
1hr	P3CSK	IFNb	0.23233632535271	6
1hr	P3CSK	IFNb	0.842600346410701	7
1hr	P3CSK	IFNb	0.898451640397299	8
1hr	P3CSK	IFNb	0.172991190582565	9
1hr	P3CSK	PIC	0.704325661926508	1
1hr	P3CSK	PIC	0.0603861444645258	2
1hr	P3CSK	PIC	0.787612951707809	3
1hr	P3CSK	PIC	0.175954043226894	4
1hr	P3CSK	PIC	0.0125549732403001	5
1hr	P3CSK	PIC	0.0383049059592298	6
1hr	P3CSK	PIC	0.0514927489969018	7
1hr	P3CSK	PIC	0.0124150770566891	8
1hr	P3CSK	PIC	0.2099273215023	9
1hr	LPS	TNF	0.946764330072321	1
1hr	LPS	TNF	0.0474373764534494	2
1hr	LPS	TNF	0.596127737908108	3
1hr	LPS	TNF	0.310231987419333	4
1hr	LPS	TNF	0.292314823548877	5
1hr	LPS	TNF	0.00469523147150416	6
1hr	LPS	TNF	0.00519220015153556	7
1hr	LPS	TNF	0.0109436032534986	8
1hr	LPS	TNF	0.0230362772759585	9
1hr	LPS	IFNb	0.994471465057174	1
1hr	LPS	IFNb	0.326201953762582	2
1hr	LPS	IFNb	0.930652128158024	3
1hr	LPS	IFNb	0.288533465327788	4
1hr	LPS	IFNb	0.00860977221994428	5
1hr	LPS	IFNb	0.197018870304918	6
1hr	LPS	IFNb	0.84854675833521	7
1hr	LPS	IFNb	0.905466904501365	8
1hr	LPS	IFNb	0.220235098800147	9
1hr	LPS	PIC	0.91101881088924	1
1hr	LPS	PIC	0.144929301803889	2
1hr	LPS	PIC	0.881728893473699	3
1hr	LPS	PIC	0.46461158800364	4
1hr	LPS	PIC	0.352092450848194	5
1hr	LPS	PIC	0.0653520204924664	6
1hr	LPS	PIC	0.0602643714713542	7
1hr	LPS	PIC	0.00526394736407251	8
1hr	LPS	PIC	0.265609364604539	9
1hr	TNF	IFNb	0.324949247678661	1
1hr	TNF	IFNb	0.237033587876161	2
1hr	TNF	IFNb	0.680022679693621	3
1hr	TNF	IFNb	0.37417663237318	4
1hr	TNF	IFNb	0.232323565377168	5
1hr	TNF	IFNb	0.239095078799383	6
1hr	TNF	IFNb	0.867929218819879	7
1hr	TNF	IFNb	0.914766094811706	8
1hr	TNF	IFNb	0.12039202094144	9
1hr	TNF	PIC	0.108527433724494	1
1hr	TNF	PIC	0.0376116687501287	2
1hr	TNF	PIC	0.55714668002776	3
1hr	TNF	PIC	0.0338918358568332	4
1hr	TNF	PIC	0.0114067521516378	5
1hr	TNF	PIC	0.0363344862269427	6
1hr	TNF	PIC	0.0489432677285392	7
1hr	TNF	PIC	0.0178008087244952	8
1hr	TNF	PIC	0.153732865880738	9
1hr	IFNb	PIC	0.120955525242693	1
1hr	IFNb	PIC	0.16116586221576	2
1hr	IFNb	PIC	0.0265537302523766	3
1hr	IFNb	PIC	0.508764009359039	4
1hr	IFNb	PIC	0.291245403013178	5
1hr	IFNb	PIC	0.429664890561501	6
1hr	IFNb	PIC	0.863955137649282	7
1hr	IFNb	PIC	0.903168885322841	8
1hr	IFNb	PIC	0.00379733503498881	9
3hr	CpG	P3CSK	0.00402607811103794	1
3hr	CpG	P3CSK	0.0063721040458068	2
3hr	CpG	P3CSK	0.0169209856525784	3
3hr	CpG	P3CSK	0.0221851283207482	4
3hr	CpG	P3CSK	0.00385023093132898	5
3hr	CpG	P3CSK	0.00349080039808392	6
3hr	CpG	P3CSK	0.0447952952906846	7
3hr	CpG	P3CSK	0.00465033066772254	8
3hr	CpG	P3CSK	0.0109590677904853	9
3hr	CpG	LPS	0.429748944135826	1
3hr	CpG	LPS	0.113398922614811	2
3hr	CpG	LPS	0.471950712338929	3
3hr	CpG	LPS	0.397679981844313	4
3hr	CpG	LPS	0.934966562250087	5
3hr	CpG	LPS	0.169612909168223	6
3hr	CpG	LPS	0.933807829787291	7
3hr	CpG	LPS	0.929209790281372	8
3hr	CpG	LPS	0.110640973851252	9
3hr	CpG	TNF	0.689854069718392	1
3hr	CpG	TNF	0.104442690020374	2
3hr	CpG	TNF	0.169802317377658	3
3hr	CpG	TNF	0.129288275695131	4
3hr	CpG	TNF	0.00828879509566092	5
3hr	CpG	TNF	0.00240145212391362	6
3hr	CpG	TNF	0.0108111576089467	7
3hr	CpG	TNF	0.00747734272743438	8
3hr	CpG	TNF	0.0749418417332745	9
3hr	CpG	IFNb	0.873167284201991	1
3hr	CpG	IFNb	0.495214966943212	2
3hr	CpG	IFNb	0.701652834566191	3
3hr	CpG	IFNb	0.599288789384909	4
3hr	CpG	IFNb	0.685619293787526	5
3hr	CpG	IFNb	0.453336437769455	6
3hr	CpG	IFNb	0.995030600468134	7
3hr	CpG	IFNb	0.979730338811305	8
3hr	CpG	IFNb	0.495897828094194	9
3hr	CpG	PIC	0.733919636361963	1
3hr	CpG	PIC	0.257143735548944	2
3hr	CpG	PIC	0.288071074538741	3
3hr	CpG	PIC	0.056762272756855	4
3hr	CpG	PIC	0.23406676847472	5
3hr	CpG	PIC	0.0158837849791788	6
3hr	CpG	PIC	0.523244006475319	7
3hr	CpG	PIC	0.648322064825118	8
3hr	CpG	PIC	0.246969085382837	9
3hr	P3CSK	LPS	0.452520989200602	1
3hr	P3CSK	LPS	0.137064196606593	2
3hr	P3CSK	LPS	0.468247096816266	3
3hr	P3CSK	LPS	0.468883832016101	4
3hr	P3CSK	LPS	0.947104782415338	5
3hr	P3CSK	LPS	0.139774545970459	6
3hr	P3CSK	LPS	0.956662493711251	7
3hr	P3CSK	LPS	0.943188710466488	8
3hr	P3CSK	LPS	0.0826215817123779	9
3hr	P3CSK	TNF	0.682782594822505	1
3hr	P3CSK	TNF	0.0730785073787385	2
3hr	P3CSK	TNF	0.113664233321757	3
3hr	P3CSK	TNF	0.0964195957566276	4
3hr	P3CSK	TNF	0.00181317858881463	5
3hr	P3CSK	TNF	0.00715002334606294	6
3hr	P3CSK	TNF	0.092517509371599	7
3hr	P3CSK	TNF	0.0191977572573538	8
3hr	P3CSK	TNF	0.0484709992452409	9
3hr	P3CSK	IFNb	0.871033563922492	1
3hr	P3CSK	IFNb	0.463523962350489	2
3hr	P3CSK	IFNb	0.705236185058529	3
3hr	P3CSK	IFNb	0.693085197121585	4
3hr	P3CSK	IFNb	0.724837065039695	5
3hr	P3CSK	IFNb	0.407929087615639	6
3hr	P3CSK	IFNb	0.998767138908928	7
3hr	P3CSK	IFNb	0.984071749743161	8
3hr	P3CSK	IFNb	0.452263298492993	9
3hr	P3CSK	PIC	0.723663545593399	1
3hr	P3CSK	PIC	0.212519423053181	2
3hr	P3CSK	PIC	0.243527524625263	3
3hr	P3CSK	PIC	0.0671700454702731	4
3hr	P3CSK	PIC	0.275671493427105	5
3hr	P3CSK	PIC	0.0242198351987354	6
3hr	P3CSK	PIC	0.605680784752921	7
3hr	P3CSK	PIC	0.690857437759214	8
3hr	P3CSK	PIC	0.216186284989649	9
3hr	LPS	TNF	0.912352601402223	1
3hr	LPS	TNF	0.286233114665297	2
3hr	LPS	TNF	0.625270178172484	3
3hr	LPS	TNF	0.675691196832576	4
3hr	LPS	TNF	1	5
3hr	LPS	TNF	0.209594238491957	6
3hr	LPS	TNF	0.962922386211466	7
3hr	LPS	TNF	0.964300230890452	8
3hr	LPS	TNF	0.173404994550274	9
3hr	LPS	IFNb	0.953475969603523	1
3hr	LPS	IFNb	0.614357502628533	2
3hr	LPS	IFNb	0.918740730876507	3
3hr	LPS	IFNb	0.353232019881904	4
3hr	LPS	IFNb	0.218309960127817	5
3hr	LPS	IFNb	0.115851235417225	6
3hr	LPS	IFNb	0.710352677863381	7
3hr	LPS	IFNb	0.65620648143377	8
3hr	LPS	IFNb	0.518936674798195	9
3hr	LPS	PIC	0.914169911328397	1
3hr	LPS	PIC	0.475837087311491	2
3hr	LPS	PIC	0.704548622449509	3
3hr	LPS	PIC	0.489014688236279	4
3hr	LPS	PIC	0.591637001696068	5
3hr	LPS	PIC	0.264439630579543	6
3hr	LPS	PIC	0.524313350104901	7
3hr	LPS	PIC	0.460833084325718	8
3hr	LPS	PIC	0.351775349372479	9
3hr	TNF	IFNb	0.314262803553371	1
3hr	TNF	IFNb	0.369547409756428	2
3hr	TNF	IFNb	0.522306950423285	3
3hr	TNF	IFNb	0.755433097586859	4
