TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0002376	immune system process	1.45559225814252e-67	-153.89778836253	1895	178	0.386117136659436	461	20694	53314,326623,12985,58217,18030,12265,286940,20706,16190,15977,15959,15958,20312,231655,16878,13653,14190,224840,16598,19419,16542,12047,20296,56620,74747,12363,15945,667373,12642,20293,230738,81897,56699,214855,19219,20723,22164,66214,15439,56708,14468,20201,20303,15962,80885,20307,21950,20306,16160,21822,18033,22035,18591,15368,16193,20821,57266,104099,50930,12125,14581,12494,18124,15967,17858,20302,414084,18413,108078,12475,21926,18578,68713,23845,14289,20310,16176,18128,16362,11988,54123,16174,17167,12768,12977,246779,192656,16153,217306,246746,18126,16365,20339,16408,170741,12297,18035,17857,13136,21929,21939,629303,50723,15968,110168,15969,15965,12519,12609,74734,100033459,14130,20568,17684,16175,20304,56066,72536,14825,18034,104252,58801,667370,11600,16364,240354,20715,16323,20656,20299,20947,60440,330122,14609,24088,12044,13421,13051,56619,16181,74481,11847,15894,54199,16477,17329,80859,243910,14254,12490,13618,226695,18987,16476,16449,16819,12142,229900,74748,667281,64095,11622,54483,15242,22329,14726,11920,16161,12389,21949,15900,12524,58185,15957,23832,12771,245126,14293	Batf,Tnfsf15,Csf3,Trem1,Nfil3,Ciita,Flnb,Serpinb9b,Il4ra,Ifnb1,Ifit3,Ifit2,Cx3cl1,Oasl1,Lif,Egr1,Fgl2,Treml4,Klf2,Rasgrp1,Kdr,Bcl2a1d,Ccl2,Clec4n,Ddit4,Casp4,Cxcl10,Ifit1bl1,Ch25h,Ccl12,Zc3h12a,Tlr9,Cdc42ep4,Arid5a,Ptger4,Serpinb9,Tnfsf4,Rgcc,Hp,Clcf1,Gbp2b,S100a8,Ccl4,Ifna1,Hcar2,Ccl8,Tnfsf9,Ccl7,Il12b,Tgtp1,Nfkb1,Tnfsf10,Pdgfb,Hmox1,Il6,Trim21,Cxcl14,Itga9,Tnfsf14,Bcl2l11,Gfi1,Cd38,Nr4a3,Ifna4,Mx2,Ccl3,Tnip3,Osm,Olr1,Cd14,Tnf,Pde4b,Ifitm1,Clec5a,Fpr2,Cxcl2,Il1b,Notch1,Irf1,Slc7a2,Irf7,Il18rap,Marco,Ccr1,Csf1,Il27,Ripk2,Il10,Cd300e,Cd300lf,Nos2,Acod1,Sele,Itgal,Pilrb1,Cacnb3,Nfkbia,Mx1,Cd55,Tnfaip3,Cd40,Heatr9,Icosl,Ifna5,Gpr18,Ifna6,Ifna2,Cd80,Cebpd,Rhoh,Ifi208,Fcgr2b,Slpi,Cited2,Il1a,Ccl5,Cxcl11,Tagap,Cxcl1,Nfkb2,Cdc42ep2,Pmaip1,Ifit3b,Angpt1,Irf4,Malt1,Serpina3g,Inhba,Sod2,Ccl22,Swap70,Iigp1,Cxcl3,Gja1,Tlr2,Bcl2a1a,Dnase1l3,Cx3cr1,Clec4e,Il1rn,Batf2,Arg2,Icam1,Ccrl2,Junb,Cxcl9,Nfkbiz,Nfkbid,Flt1,Cd34,Ednrb,Ifi205,Pou2f2,Jun,Jag1,Lcn2,Prdm1,Gbp7,Slamf8,H60b,Gpr35,Ahr,Mefv,Hhex,Vcam1,Pdpn,Atm,Il12rb1,Cav1,Tnfsf8,Irf8,Cd86,Rsad2,Ifit1,Xcr1,Ccr3,Tarm1,Fpr1
GO:0006952	defense response	1.74360758800739e-54	-123.783638728386	1120	126	0.273318872017354	461	20694	19204,17329,243910,80859,15894,54199,20307,19225,14468,11847,15962,20201,20303,74481,15439,56619,13051,16181,14609,24088,20299,22164,60440,18787,330122,74748,229900,12142,16193,20821,16819,15368,21822,16160,16476,20306,17858,20302,15967,16161,54483,667281,12156,16362,16176,14293,18128,14289,20310,15957,245126,12771,12524,58185,68713,23845,15900,21926,21949,216850,108078,12475,246779,15959,20312,15958,15977,12265,286940,16190,21857,58217,17167,12768,12977,53314,16174,54123,11988,15969,20698,11540,27226,13136,21929,21939,17857,18126,231507,16365,20339,231655,192656,20210,16153,15945,20304,667373,12363,74747,16175,20296,20849,56620,19419,20568,14130,15965,224840,19222,16364,240327,20723,240354,667370,19219,214855,21825,56699,104252,81897,20293,230738,56066,72536,14825	Ptafr,Cxcl9,Nfkbid,Nfkbiz,Icam1,Ccrl2,Ccl8,Ptgs2,Gbp2b,Arg2,Ifna1,S100a8,Ccl4,Batf2,Hp,Clec4e,Cx3cr1,Il1rn,Gja1,Tlr2,Ccl22,Tnfsf4,Iigp1,Serpine1,Cxcl3,Slamf8,Gbp7,Prdm1,Il6,Trim21,Lcn2,Hmox1,Tgtp1,Il12b,Jun,Ccl7,Mx2,Ccl3,Ifna4,Il12rb1,Mefv,H60b,Bmp2,Irf1,Il1b,Fpr1,Notch1,Fpr2,Cxcl2,Ifit1,Tarm1,Ccr3,Cd86,Rsad2,Ifitm1,Clec5a,Irf8,Tnf,Tnfsf8,Kdm6b,Olr1,Cd14,Il27,Ifit3,Cx3cl1,Ifit2,Ifnb1,Ciita,Flnb,Il4ra,Timp1,Trem1,Marco,Ccr1,Csf1,Batf,Il18rap,Irf7,Slc7a2,Ifna6,Sphk1,Adora2a,Pla2g7,Cd55,Tnfaip3,Cd40,Mx1,Nos2,Plac8,Acod1,Sele,Oasl1,Ripk2,Saa3,Il10,Cxcl10,Ccl5,Ifit1bl1,Casp4,Ddit4,Il1a,Ccl2,Stat4,Clec4n,Rasgrp1,Slpi,Fcgr2b,Ifna2,Treml4,Ptgir,Irf4,Gm4951,Serpinb9,Malt1,Ifit3b,Ptger4,Arid5a,Thbs1,Cdc42ep4,Cdc42ep2,Tlr9,Ccl12,Zc3h12a,Cxcl11,Tagap,Cxcl1
GO:0002682	regulation of immune system process	2.55950639116136e-53	-121.097195504737	1330	135	0.292841648590022	461	20694	56708,20303,11847,15962,67245,19204,17395,243910,80859,15894,80885,21950,24088,20947,22164,18787,56619,13614,13421,66214,20971,57266,16193,14581,74748,22695,50930,12142,226695,16160,16476,16449,14254,13655,19252,15368,56213,11920,16161,18124,26570,22329,68027,414084,384783,20302,16948,14281,11622,667281,12494,14289,245126,12524,242202,58185,16362,12182,13011,17869,14293,16176,328830,18128,12389,21926,18578,12475,17387,16190,246779,20312,15977,16174,11988,54123,12985,12977,12768,13136,21929,21939,17470,18035,16878,22341,12297,21417,110168,20698,27226,11540,211770,50723,14190,67742,320148,16153,192656,16408,170741,16365,246746,20339,16175,20296,20304,15945,100033459,14130,224840,12519,16542,19419,12047,16835,11541,11600,238377,12522,16975,19219,21825,214855,16323,13024,16364,12703,240354,20723,20293,230738,14825,102103,81897	Clcf1,Ccl4,Arg2,Ifna1,Peli1,Ptafr,Mmp9,Nfkbid,Nfkbiz,Icam1,Hcar2,Tnfsf9,Tlr2,Swap70,Tnfsf4,Serpine1,Clec4e,Edn1,Dnase1l3,Rgcc,Sdc4,Cxcl14,Il6,Gfi1,Slamf8,Zfp36,Tnfsf14,Prdm1,Ifi205,Il12b,Jun,Jag1,Flt1,Egr3,Dusp1,Hmox1,Htra1,Atm,Il12rb1,Nr4a3,Slc7a11,Vcam1,Tmem178,Tnip3,Irs2,Ccl3,Lox,Fos,Ahr,H60b,Cd38,Fpr2,Tarm1,Cd86,Pde5a,Rsad2,Irf1,Bst1,Cst7,Myc,Fpr1,Il1b,A530064D06Rik,Notch1,Cav1,Tnf,Pde4b,Cd14,Mmp14,Il4ra,Il27,Cx3cl1,Ifnb1,Il18rap,Slc7a2,Irf7,Csf3,Csf1,Ccr1,Cd55,Tnfaip3,Cd40,Cd200,Nfkbia,Lif,Vegfc,Cacnb3,Zeb1,Gpr18,Sphk1,Pla2g7,Adora2a,Trib1,Icosl,Fgl2,Samsn1,B430306N03Rik,Il10,Ripk2,Itgal,Pilrb1,Acod1,Cd300lf,Sele,Il1a,Ccl2,Ccl5,Cxcl10,Ifi208,Fcgr2b,Treml4,Cd80,Kdr,Rasgrp1,Bcl2a1d,Ldlr,Adora2b,Angpt1,Gpr68,Cd83,Lrp8,Ptger4,Thbs1,Arid5a,Inhba,Ctla2a,Irf4,Socs1,Malt1,Serpinb9,Ccl12,Zc3h12a,Cxcl1,Mtus1,Tlr9
GO:0009605	response to external stimulus	1.05931471874874e-51	-117.374217535385	2171	169	0.366594360086768	461	20694	54483,667281,64095,14281,16948,20302,17858,50778,414084,22329,18124,16161,15967,15900,20501,12475,20266,18578,21926,21949,12389,14293,16176,20348,17869,16362,12156,13654,58185,68713,23845,12524,12771,245126,14289,23832,20310,15957,16181,56619,15439,13051,18787,330122,20299,22164,60440,24088,17750,14609,20307,12457,54199,16477,17329,19204,17395,74481,67245,15962,20303,11847,20201,19225,14468,18591,18033,22169,14745,16819,13655,13618,20306,14254,16476,16160,21822,226695,12142,229900,110454,22695,74748,14581,12125,20821,99633,238393,16193,104099,57266,20568,11541,16835,19222,12519,15965,224840,14130,224796,12363,667373,15945,20304,56620,20296,12140,71436,74747,81897,20558,104252,56699,14825,12642,19206,72536,56066,230738,20293,20723,240354,16364,20656,93691,21825,214855,19219,667370,11600,12768,12977,17167,58217,54123,53314,15937,15977,227731,23886,15958,20312,246779,15959,12569,16190,12265,286940,18126,231507,16365,192656,15370,15558,16153,20210,231655,11555,211770,11540,15969,22341,12297,27053,18035,17857,21929,21939,13136	Mefv,H60b,Gpr35,Fos,Lox,Ccl3,Mx2,Rgs1,Tnip3,Vcam1,Nr4a3,Il12rb1,Ifna4,Irf8,Slc16a1,Cd14,Scn1b,Pde4b,Tnf,Tnfsf8,Cav1,Fpr1,Il1b,Sema3c,Myc,Irf1,Bmp2,Egr2,Rsad2,Ifitm1,Clec5a,Cd86,Ccr3,Tarm1,Fpr2,Xcr1,Cxcl2,Ifit1,Il1rn,Clec4e,Hp,Cx3cr1,Serpine1,Cxcl3,Ccl22,Tnfsf4,Iigp1,Tlr2,Mt2,Gja1,Ccl8,Noct,Ccrl2,Junb,Cxcl9,Ptafr,Mmp9,Batf2,Peli1,Ifna1,Ccl4,Arg2,S100a8,Ptgs2,Gbp2b,Pdgfb,Nfkb1,Cmpk2,Lpar1,Lcn2,Egr3,Ednrb,Ccl7,Flt1,Jun,Il12b,Tgtp1,Ifi205,Prdm1,Gbp7,Ly6a,Zfp36,Slamf8,Gfi1,Bcl2l11,Trim21,Adgrl2,Serpina3f,Il6,Itga9,Cxcl14,Slpi,Adora2b,Ldlr,Ptgir,Cd80,Ifna2,Treml4,Fcgr2b,Clic5,Casp4,Ifit1bl1,Cxcl10,Ccl5,Clec4n,Ccl2,Fabp7,Flrt3,Ddit4,Tlr9,Slfn4,Cdc42ep2,Cdc42ep4,Cxcl1,Ch25h,Ptch1,Tagap,Cxcl11,Zc3h12a,Ccl12,Serpinb9,Malt1,Irf4,Sod2,Klf7,Thbs1,Arid5a,Ptger4,Ifit3b,Angpt1,Ccr1,Csf1,Marco,Trem1,Irf7,Batf,Ier3,Ifnb1,Slc25a25,Gdf15,Ifit2,Cx3cl1,Il27,Ifit3,Cdk5r1,Il4ra,Ciita,Flnb,Nos2,Plac8,Acod1,Ripk2,Nr4a1,Htr2a,Il10,Saa3,Oasl1,Adrb2,Trib1,Adora2a,Ifna6,Vegfc,Cacnb3,Asns,Nfkbia,Mx1,Tnfaip3,Cd40,Cd55
GO:0006955	immune response	3.40912620386102e-51	-116.205383729439	1001	116	0.251626898047722	461	20694	16365,18126,16408,16153,192656,231655,14190,50723,15968,15969,17857,16878,13136,21929,17167,58217,12985,12977,12768,18030,54123,53314,326623,16174,15977,246779,15959,15958,20312,12265,286940,16190,20706,104252,81897,56699,56066,18034,14825,20293,16364,240354,20723,20715,214855,19219,20568,19419,224840,15965,12519,14130,12363,20304,15945,20296,56620,16175,22035,16819,20306,18987,21822,16160,16449,50930,12142,229900,16193,20821,57266,13421,66214,13051,56619,16181,60440,20947,22164,20299,330122,24088,54199,15894,20307,21950,17329,14468,11847,20201,20303,15962,15900,12475,21926,21949,16176,18128,16362,12524,23845,68713,58185,15957,23832,20310,12771,245126,54483,667281,17858,20302,18413,16161,15967,18124	Acod1,Nos2,Itgal,Il10,Ripk2,Oasl1,Fgl2,Icosl,Ifna5,Ifna6,Mx1,Lif,Cd55,Tnfaip3,Marco,Trem1,Csf3,Csf1,Ccr1,Nfil3,Irf7,Batf,Tnfsf15,Il18rap,Ifnb1,Il27,Ifit3,Ifit2,Cx3cl1,Ciita,Flnb,Il4ra,Serpinb9b,Cdc42ep2,Tlr9,Cdc42ep4,Cxcl11,Nfkb2,Cxcl1,Ccl12,Irf4,Malt1,Serpinb9,Serpina3g,Arid5a,Ptger4,Slpi,Rasgrp1,Treml4,Ifna2,Cd80,Fcgr2b,Casp4,Ccl5,Cxcl10,Ccl2,Clec4n,Il1a,Tnfsf10,Lcn2,Ccl7,Pou2f2,Tgtp1,Il12b,Jag1,Tnfsf14,Prdm1,Gbp7,Il6,Trim21,Cxcl14,Dnase1l3,Rgcc,Cx3cr1,Clec4e,Il1rn,Iigp1,Swap70,Tnfsf4,Ccl22,Cxcl3,Tlr2,Ccrl2,Icam1,Ccl8,Tnfsf9,Cxcl9,Gbp2b,Arg2,S100a8,Ccl4,Ifna1,Irf8,Cd14,Tnf,Tnfsf8,Il1b,Notch1,Irf1,Cd86,Clec5a,Ifitm1,Rsad2,Ifit1,Xcr1,Cxcl2,Ccr3,Tarm1,Mefv,H60b,Mx2,Ccl3,Osm,Il12rb1,Ifna4,Nr4a3
GO:0051707	response to other organism	1.52813983944669e-50	-114.705203445183	1193	125	0.27114967462039	461	20694	67245,74481,11847,20201,15962,20303,14468,19225,20307,12457,17329,16477,19204,330122,18787,60440,22164,20299,17750,24088,16181,56619,15439,13051,20821,16193,238393,99633,12142,229900,22695,110454,14581,74748,12125,13618,20306,21822,16160,16476,226695,18033,22169,16819,15967,16161,20302,17858,414084,50778,667281,54483,68713,23845,58185,12524,245126,15957,20310,14289,16176,16362,12156,12475,21949,21926,18578,12389,15900,16190,12265,286940,15977,15937,15958,20312,246779,15959,54123,53314,12977,17167,58217,17857,18035,21929,21939,13136,211770,15969,16153,20210,192656,231655,16365,231507,18126,56620,20296,74747,12363,667373,20304,15945,12519,19222,224840,15965,14130,20568,214855,19219,667370,240354,20723,16364,14825,72536,56066,230738,20293,81897,104252,20558,56699	Peli1,Batf2,Arg2,S100a8,Ifna1,Ccl4,Gbp2b,Ptgs2,Ccl8,Noct,Cxcl9,Junb,Ptafr,Cxcl3,Serpine1,Iigp1,Tnfsf4,Ccl22,Mt2,Tlr2,Il1rn,Clec4e,Hp,Cx3cr1,Trim21,Il6,Serpina3f,Adgrl2,Prdm1,Gbp7,Zfp36,Ly6a,Gfi1,Slamf8,Bcl2l11,Ednrb,Ccl7,Tgtp1,Il12b,Jun,Ifi205,Nfkb1,Cmpk2,Lcn2,Ifna4,Il12rb1,Ccl3,Mx2,Tnip3,Rgs1,H60b,Mefv,Ifitm1,Clec5a,Rsad2,Cd86,Tarm1,Ifit1,Cxcl2,Fpr2,Il1b,Irf1,Bmp2,Cd14,Tnfsf8,Tnf,Pde4b,Cav1,Irf8,Il4ra,Ciita,Flnb,Ifnb1,Ier3,Ifit2,Cx3cl1,Il27,Ifit3,Irf7,Batf,Csf1,Marco,Trem1,Mx1,Nfkbia,Tnfaip3,Cd40,Cd55,Trib1,Ifna6,Il10,Saa3,Ripk2,Oasl1,Acod1,Plac8,Nos2,Clec4n,Ccl2,Ddit4,Casp4,Ifit1bl1,Ccl5,Cxcl10,Cd80,Ptgir,Treml4,Ifna2,Fcgr2b,Slpi,Arid5a,Ptger4,Ifit3b,Malt1,Serpinb9,Irf4,Cxcl1,Tagap,Cxcl11,Zc3h12a,Ccl12,Tlr9,Cdc42ep2,Slfn4,Cdc42ep4
GO:0043207	response to external biotic stimulus	1.84173244602894e-50	-114.518547974304	1195	125	0.27114967462039	461	20694	15900,12475,12389,21949,21926,18578,16176,12156,16362,12524,68713,23845,58185,20310,15957,14289,245126,54483,667281,17858,20302,414084,50778,15967,16161,18033,16819,22169,13618,20306,226695,21822,16160,16476,22695,110454,12142,229900,12125,14581,74748,16193,99633,238393,20821,15439,56619,13051,16181,60440,22164,20299,330122,18787,17750,24088,12457,20307,19204,17329,16477,67245,74481,14468,19225,15962,11847,20303,20201,104252,20558,81897,56699,56066,72536,14825,20293,230738,16364,240354,20723,214855,667370,19219,20568,224840,15965,12519,19222,14130,12363,20304,15945,667373,20296,56620,74747,16365,231507,18126,20210,16153,192656,231655,211770,15969,18035,17857,13136,21939,21929,17167,58217,12977,54123,53314,15937,15977,246779,15959,15958,20312,12265,286940,16190	Irf8,Cd14,Cav1,Tnfsf8,Tnf,Pde4b,Il1b,Bmp2,Irf1,Cd86,Ifitm1,Clec5a,Rsad2,Cxcl2,Ifit1,Fpr2,Tarm1,Mefv,H60b,Mx2,Ccl3,Tnip3,Rgs1,Ifna4,Il12rb1,Nfkb1,Lcn2,Cmpk2,Ednrb,Ccl7,Ifi205,Tgtp1,Il12b,Jun,Zfp36,Ly6a,Prdm1,Gbp7,Bcl2l11,Gfi1,Slamf8,Il6,Adgrl2,Serpina3f,Trim21,Hp,Clec4e,Cx3cr1,Il1rn,Iigp1,Tnfsf4,Ccl22,Cxcl3,Serpine1,Mt2,Tlr2,Noct,Ccl8,Ptafr,Cxcl9,Junb,Peli1,Batf2,Gbp2b,Ptgs2,Ifna1,Arg2,Ccl4,S100a8,Cdc42ep2,Slfn4,Tlr9,Cdc42ep4,Cxcl11,Tagap,Cxcl1,Ccl12,Zc3h12a,Irf4,Malt1,Serpinb9,Arid5a,Ifit3b,Ptger4,Slpi,Treml4,Ifna2,Cd80,Ptgir,Fcgr2b,Casp4,Ccl5,Cxcl10,Ifit1bl1,Ccl2,Clec4n,Ddit4,Acod1,Plac8,Nos2,Saa3,Il10,Ripk2,Oasl1,Trib1,Ifna6,Nfkbia,Mx1,Cd55,Cd40,Tnfaip3,Marco,Trem1,Csf1,Irf7,Batf,Ier3,Ifnb1,Il27,Ifit3,Ifit2,Cx3cl1,Ciita,Flnb,Il4ra
GO:0009607	response to biotic stimulus	1.27694546137617e-49	-112.582198688968	1216	125	0.27114967462039	461	20694	16181,13051,15439,56619,18787,330122,22164,20299,60440,24088,17750,20307,12457,16477,17329,19204,74481,67245,11847,20201,20303,15962,19225,14468,18033,22169,16819,20306,13618,16160,21822,16476,226695,12142,229900,110454,22695,74748,14581,12125,20821,99633,238393,16193,54483,667281,20302,17858,50778,414084,16161,15967,15900,12475,18578,21926,21949,12389,16176,16362,12156,58185,68713,23845,12524,245126,14289,20310,15957,12977,17167,58217,54123,53314,15937,15977,20312,15958,15959,246779,16190,12265,286940,18126,231507,16365,192656,20210,16153,231655,211770,15969,17857,18035,21939,21929,13136,20568,19222,12519,15965,224840,14130,12363,667373,15945,20304,56620,20296,74747,81897,20558,104252,56699,14825,72536,56066,230738,20293,20723,240354,16364,214855,19219,667370	Il1rn,Cx3cr1,Hp,Clec4e,Serpine1,Cxcl3,Tnfsf4,Ccl22,Iigp1,Tlr2,Mt2,Ccl8,Noct,Junb,Cxcl9,Ptafr,Batf2,Peli1,Arg2,S100a8,Ccl4,Ifna1,Ptgs2,Gbp2b,Nfkb1,Cmpk2,Lcn2,Ccl7,Ednrb,Il12b,Tgtp1,Jun,Ifi205,Prdm1,Gbp7,Ly6a,Zfp36,Slamf8,Gfi1,Bcl2l11,Trim21,Adgrl2,Serpina3f,Il6,Mefv,H60b,Ccl3,Mx2,Rgs1,Tnip3,Il12rb1,Ifna4,Irf8,Cd14,Pde4b,Tnf,Tnfsf8,Cav1,Il1b,Irf1,Bmp2,Rsad2,Ifitm1,Clec5a,Cd86,Tarm1,Fpr2,Cxcl2,Ifit1,Csf1,Marco,Trem1,Irf7,Batf,Ier3,Ifnb1,Cx3cl1,Ifit2,Ifit3,Il27,Il4ra,Ciita,Flnb,Nos2,Plac8,Acod1,Ripk2,Saa3,Il10,Oasl1,Trib1,Ifna6,Mx1,Nfkbia,Cd40,Tnfaip3,Cd55,Slpi,Ptgir,Cd80,Ifna2,Treml4,Fcgr2b,Casp4,Ifit1bl1,Cxcl10,Ccl5,Clec4n,Ccl2,Ddit4,Tlr9,Slfn4,Cdc42ep2,Cdc42ep4,Cxcl1,Tagap,Cxcl11,Zc3h12a,Ccl12,Serpinb9,Malt1,Irf4,Arid5a,Ptger4,Ifit3b
GO:0032101	regulation of response to external stimulus	9.04190831093175e-49	-110.62479930824	922	109	0.23644251626898	461	20694	54483,667281,414084,18413,20302,56213,11920,16161,14726,12389,21926,12475,12182,16362,13011,20348,16176,328830,18128,14289,245126,12524,242202,58185,13051,56619,13614,13421,14609,24088,20947,22164,18787,80859,56708,19225,15962,20201,20303,11847,67245,19252,14745,18033,18591,226695,16160,13618,12490,74748,14581,22695,50930,12142,57266,16193,16542,19419,16835,11541,100033459,14130,74318,224840,20304,15945,12140,20296,102103,81897,20293,230738,14825,13024,16364,12703,20723,16975,19219,21825,12977,12768,16174,11988,54123,246779,20312,15937,16365,18126,246746,18792,320148,16153,192656,110168,20698,11540,211770,27226,14190,83382,11555,12702,21929,17470,18035,12297,22341	Mefv,H60b,Tnip3,Osm,Ccl3,Htra1,Atm,Il12rb1,Pdpn,Cav1,Tnf,Cd14,Bst1,Irf1,Cst7,Sema3c,Il1b,A530064D06Rik,Notch1,Fpr2,Tarm1,Cd86,Pde5a,Rsad2,Cx3cr1,Clec4e,Edn1,Dnase1l3,Gja1,Tlr2,Swap70,Tnfsf4,Serpine1,Nfkbiz,Clcf1,Ptgs2,Ifna1,S100a8,Ccl4,Arg2,Peli1,Dusp1,Lpar1,Nfkb1,Pdgfb,Ifi205,Il12b,Ednrb,Cd34,Slamf8,Gfi1,Zfp36,Tnfsf14,Prdm1,Cxcl14,Il6,Kdr,Rasgrp1,Ldlr,Adora2b,Ifi208,Fcgr2b,Hopx,Treml4,Ccl5,Cxcl10,Fabp7,Ccl2,Mtus1,Tlr9,Ccl12,Zc3h12a,Cxcl1,Ctla2a,Irf4,Socs1,Serpinb9,Lrp8,Ptger4,Thbs1,Csf1,Ccr1,Il18rap,Slc7a2,Irf7,Il27,Cx3cl1,Ier3,Acod1,Nos2,Cd300lf,Plau,B430306N03Rik,Il10,Ripk2,Gpr18,Sphk1,Adora2a,Trib1,Pla2g7,Fgl2,Siglece,Adrb2,Socs3,Tnfaip3,Cd200,Nfkbia,Cacnb3,Vegfc
GO:0048583	regulation of response to stimulus	1.23640872115794e-48	-110.311873478793	3734	219	0.475054229934924	461	20694	19252,226695,16449,16476,14254,54720,13618,12490,74748,22695,12142,56619,13051,13614,16181,12044,20491,13421,14609,24088,20947,319520,20299,243910,80859,15894,71302,11847,67245,65112,223775,12389,68010,407821,17387,12156,13011,20348,14293,17869,328830,74155,245126,12524,242202,58185,15242,54483,64095,667281,50778,239319,12700,16948,11920,16161,14726,16408,16365,18126,246746,67742,16153,192656,110168,15968,20698,15969,11540,211770,50723,12702,18576,13136,21939,21929,18035,22341,12297,17167,12977,12768,16174,11988,54123,18218,20620,246779,14538,15937,58801,19206,14825,20656,16323,13024,16364,12703,240354,11600,16438,238377,21825,21887,17684,16835,100033459,14130,74318,15965,74734,19222,20304,16175,12140,14745,15368,71704,381290,22035,18033,18591,16160,20306,384009,12125,14581,50930,57266,16193,66214,22164,15364,18787,17395,19204,17872,14630,20307,56708,19225,15962,20303,20201,327957,67338,56318,21926,18578,12475,12182,16362,16176,18128,14289,12494,70686,414084,18413,20302,56213,22029,15967,18124,26570,58250,14362,18792,15559,320148,15558,21417,67603,27226,83382,14190,11555,67916,13653,17470,380614,16878,12289,12985,21857,50780,326623,18715,20312,23886,15977,16190,13537,12569,102103,244152,244418,81897,20293,230738,20723,19219,16975,214855,93691,16542,19419,12047,11541,240672,224840,228775,219140,15945,320129,12363,74747,20296,56620	Dusp1,Ifi205,Jag1,Jun,Flt1,Rcan1,Ednrb,Cd34,Slamf8,Zfp36,Prdm1,Clec4e,Cx3cr1,Edn1,Il1rn,Bcl2a1a,Sla,Dnase1l3,Gja1,Tlr2,Swap70,Dusp4,Ccl22,Nfkbid,Nfkbiz,Icam1,Arhgap26,Arg2,Peli1,Pmepa1,Pim3,Cav1,Bambi,Znrf3,Mmp14,Bmp2,Cst7,Sema3c,Fpr1,Myc,A530064D06Rik,Errfi1,Tarm1,Cd86,Pde5a,Rsad2,Hhex,Mefv,Gpr35,H60b,Rgs1,Card6,Cish,Lox,Atm,Il12rb1,Pdpn,Itgal,Acod1,Nos2,Cd300lf,Samsn1,Il10,Ripk2,Gpr18,Ifna5,Sphk1,Ifna6,Adora2a,Trib1,Icosl,Socs3,Pde3b,Cd55,Cd40,Tnfaip3,Nfkbia,Vegfc,Cacnb3,Marco,Csf1,Ccr1,Il18rap,Slc7a2,Irf7,Dusp8,Plk2,Il27,Gcnt2,Ier3,Pmaip1,Ptch1,Cxcl1,Sod2,Inhba,Ctla2a,Irf4,Socs1,Malt1,Angpt1,Itpr1,Gpr68,Thbs1,Tle3,Cited2,Ldlr,Ifi208,Fcgr2b,Hopx,Ifna2,Rhoh,Ptgir,Ccl5,Il1a,Fabp7,Lpar1,Hmox1,Arhgef3,Atp2b4,Tnfsf10,Nfkb1,Pdgfb,Il12b,Ccl7,Glipr2,Bcl2l11,Gfi1,Tnfsf14,Cxcl14,Il6,Rgcc,Tnfsf4,Hmga2,Serpine1,Mmp9,Ptafr,Ppp1r15a,Gclm,Ccl8,Clcf1,Ptgs2,Ifna1,Ccl4,S100a8,Scimp,Rffl,Acpp,Tnf,Pde4b,Cd14,Bst1,Irf1,Il1b,Notch1,Fpr2,Cd38,Dusp16,Tnip3,Osm,Ccl3,Htra1,Traf1,Ifna4,Nr4a3,Slc7a11,Chst11,Fzd1,Plau,Htr2b,B430306N03Rik,Htr2a,Zeb1,Dusp6,Pla2g7,Siglece,Fgl2,Adrb2,Plpp3,Egr1,Cd200,Intu,Lif,Cacna1d,Csf3,Timp1,Rgs3,Tnfsf15,Pim2,Cx3cl1,Gdf15,Ifnb1,Il4ra,Dusp2,Cdk5r1,Mtus1,Tsku,Prag1,Tlr9,Ccl12,Zc3h12a,Serpinb9,Ptger4,Lrp8,Arid5a,Klf7,Kdr,Rasgrp1,Bcl2a1d,Adora2b,Dusp5,Treml4,Trib3,Spata13,Cxcl10,Grk3,Casp4,Ddit4,Ccl2,Clec4n
