TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
19697	Rela (v-rel reticuloendotheliosis viral oncogene homolog A (avian))	7.14853273926408e-11	-23.361528898579	41	13	0.0570175438596491	228	7778	16160,18035,15945,16193,17684,12044,16476,15977,20310,20339,18034,18126,18033	Il12b,Nfkbia,Cxcl10,Il6,Cited2,Bcl2a1a,Jun,Ifnb1,Cxcl2,Sele,Nfkb2,Nos2,Nfkb1
18033	Nfkb1 (nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105)	6.3310272354509e-07	-14.2726331474863	19	7	0.0307017543859649	228	7778	18033,18126,80859,18034,20339,16193,18035	Nfkb1,Nos2,Nfkbiz,Nfkb2,Sele,Il6,Nfkbia
15077	Hist2h3c1 (histone cluster 2, H3c1)	2.48675416301955e-05	-10.6019471538408	3	3	0.0131578947368421	228	7778	15945,16193,20310	Cxcl10,Il6,Cxcl2
18263	Odc1 (ornithine decarboxylase, structural 1)	2.48675416301955e-05	-10.6019471538408	3	3	0.0131578947368421	228	7778	17869,18263,18104	Myc,Odc1,Nqo1
11789	Apc (APC, WNT signaling pathway regulator)	7.70086873953457e-05	-9.47159231915848	49	8	0.0350877192982456	228	7778	16193,64292,19225,17869,12443,16476,18126,18792	Il6,Ptges,Ptgs2,Myc,Ccnd1,Jun,Nos2,Plau
22218	Sumo1 (small ubiquitin-like modifier 1)	0.000131431949461287	-8.93702133488397	10	4	0.0175438596491228	228	7778	16476,15900,16362,16477	Jun,Irf8,Irf1,Junb
22034	Traf6 (TNF receptor-associated factor 6)	0.000153712536859567	-8.78042634367023	100	11	0.0482456140350877	228	7778	21929,54123,240354,17872,192656,21939,15511,58185,230738,16364,17684	Tnfaip3,Irf7,Malt1,Ppp1r15a,Ripk2,Cd40,Hspa1b,Rsad2,Zc3h12a,Irf4,Cited2
16150	Ikbkb (inhibitor of kappaB kinase beta)	0.000362629347442237	-7.92212932678454	22	5	0.0219298245614035	228	7778	18035,12142,17684,21926,21939	Nfkbia,Prdm1,Cited2,Tnf,Cd40
11911	Atf4 (activating transcription factor 4)	0.000417441211387383	-7.78136683463636	13	4	0.0175438596491228	228	7778	16476,228775,14281,112407	Jun,Trib3,Fos,Egln3
80859	Nfkbiz (nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta)	0.000465707592431685	-7.67195260484132	6	3	0.0131578947368421	228	7778	18034,18033,16193	Nfkb2,Nfkb1,Il6
18126	Nos2 (nitric oxide synthase 2, inducible)	0.000797373122384221	-7.13418783015116	7	3	0.0131578947368421	228	7778	19225,18033,18126	Ptgs2,Nfkb1,Nos2
77134	Hnrnpa0 (heterogeneous nuclear ribonucleoprotein A0)	0.000797373122384221	-7.13418783015116	7	3	0.0131578947368421	228	7778	20310,19225,21926	Cxcl2,Ptgs2,Tnf
