TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04060	Cytokine-cytokine receptor interaction	4.48868615625346e-26	-58.3656523744451	266	52	0.193308550185874	269	7931	21926,12771,16176,15968,20293,56066,15962,20296,15969,20306,15965,326623,20303,16542,20310,22035,12768,50930,56708,15967,22164,18591,23832,21949,14254,15977,20299,15945,16160,20312,12156,21939,16175,16190,22341,17329,20302,20307,20304,13051,16153,16161,16878,57266,16193,12977,16323,16174,21950,14825,12985,18413	Tnf,Ccr3,Il1b,Ifna5,Ccl12,Cxcl11,Ifna1,Ccl2,Ifna6,Ccl7,Ifna2,Tnfsf15,Ccl4,Kdr,Cxcl2,Tnfsf10,Ccr1,Tnfsf14,Clcf1,Ifna4,Tnfsf4,Pdgfb,Xcr1,Tnfsf8,Flt1,Ifnb1,Ccl22,Cxcl10,Il12b,Cx3cl1,Bmp2,Cd40,Il1a,Il4ra,Vegfc,Cxcl9,Ccl3,Ccl8,Ccl5,Cx3cr1,Il10,Il12rb1,Lif,Cxcl14,Il6,Csf1,Inhba,Il18rap,Tnfsf9,Cxcl1,Csf3,Osm
mmu04060	Cytokine-cytokine receptor interaction	4.48868615625346e-26	-58.3656523744451	266	52	0.193308550185874	269	7931	12768,20310,22035,23832,15967,50930,56708,22164,18591,15962,56066,15969,20296,12771,21926,16176,15968,20293,326623,16542,20303,20306,15965,16161,16878,12977,16193,57266,20304,20307,13051,16153,18413,16323,16174,21950,12985,14825,15945,16160,21949,14254,20299,15977,16190,17329,22341,20302,12156,20312,16175,21939	Ccr1,Cxcl2,Tnfsf10,Xcr1,Ifna4,Tnfsf14,Clcf1,Tnfsf4,Pdgfb,Ifna1,Cxcl11,Ifna6,Ccl2,Ccr3,Tnf,Il1b,Ifna5,Ccl12,Tnfsf15,Kdr,Ccl4,Ccl7,Ifna2,Il12rb1,Lif,Csf1,Il6,Cxcl14,Ccl5,Ccl8,Cx3cr1,Il10,Osm,Inhba,Il18rap,Tnfsf9,Csf3,Cxcl1,Cxcl10,Il12b,Tnfsf8,Flt1,Ccl22,Ifnb1,Il4ra,Cxcl9,Vegfc,Ccl3,Bmp2,Cx3cl1,Il1a,Cd40
ko04668	TNF signaling pathway	7.320366534635e-18	-39.4558712741356	107	28	0.104089219330855	269	7931	18035,22029,20304,20310,16477,12977,16193,16878,15894,14825,20339,17387,18033,14281,19225,22329,20293,17395,12702,16176,21926,15945,330122,20296,21929,20312,13614,16476	Nfkbia,Traf1,Ccl5,Cxcl2,Junb,Csf1,Il6,Lif,Icam1,Cxcl1,Sele,Mmp14,Nfkb1,Fos,Ptgs2,Vcam1,Ccl12,Mmp9,Socs3,Il1b,Tnf,Cxcl10,Cxcl3,Ccl2,Tnfaip3,Cx3cl1,Edn1,Jun
mmu04668	TNF signaling pathway	7.320366534635e-18	-39.4558712741356	107	28	0.104089219330855	269	7931	22029,18035,20310,20304,16193,12977,16477,15894,16878,14825,20339,18033,17387,19225,14281,20293,22329,21926,12702,17395,16176,20296,330122,15945,21929,20312,16476,13614	Traf1,Nfkbia,Cxcl2,Ccl5,Il6,Csf1,Junb,Icam1,Lif,Cxcl1,Sele,Nfkb1,Mmp14,Ptgs2,Fos,Ccl12,Vcam1,Tnf,Socs3,Mmp9,Il1b,Ccl2,Cxcl3,Cxcl10,Tnfaip3,Cx3cl1,Jun,Edn1
mmu04620	Toll-like receptor signaling pathway	9.13315981558439e-18	-39.2346199476411	99	27	0.100371747211896	269	7931	17329,20303,16476,81897,20302,21939,12519,12524,15965,56066,15962,16160,15945,15969,16176,54123,21926,15977,15968,14281,18033,12475,15967,16193,20304,18035,24088	Cxcl9,Ccl4,Jun,Tlr9,Ccl3,Cd40,Cd80,Cd86,Ifna2,Cxcl11,Ifna1,Il12b,Cxcl10,Ifna6,Il1b,Irf7,Tnf,Ifnb1,Ifna5,Fos,Nfkb1,Cd14,Ifna4,Il6,Ccl5,Nfkbia,Tlr2
ko04620	Toll-like receptor signaling pathway	9.13315981558439e-18	-39.2346199476411	99	27	0.100371747211896	269	7931	15977,15968,16176,54123,21926,16160,15969,15945,15962,56066,12524,15965,21939,12519,16476,81897,20302,17329,20303,18035,24088,20304,16193,15967,12475,18033,14281	Ifnb1,Ifna5,Il1b,Irf7,Tnf,Il12b,Ifna6,Cxcl10,Ifna1,Cxcl11,Cd86,Ifna2,Cd40,Cd80,Jun,Tlr9,Ccl3,Cxcl9,Ccl4,Nfkbia,Tlr2,Ccl5,Il6,Ifna4,Cd14,Nfkb1,Fos
mmu04657	IL-17 signaling pathway	1.71766684069826e-13	-29.392639326926	91	22	0.0817843866171004	269	7931	20306,16476,20293,16176,17395,21926,20296,330122,15945,17386,21929,12985,14825,18033,16819,14281,19225,18035,20201,20310,16193,14282	Ccl7,Jun,Ccl12,Il1b,Mmp9,Tnf,Ccl2,Cxcl3,Cxcl10,Mmp13,Tnfaip3,Csf3,Cxcl1,Nfkb1,Lcn2,Fos,Ptgs2,Nfkbia,S100a8,Cxcl2,Il6,Fosb
ko04657	IL-17 signaling pathway	1.71766684069826e-13	-29.392639326926	91	22	0.0817843866171004	269	7931	16476,20306,330122,20296,15945,17386,21929,20293,17395,16176,21926,18033,14281,16819,19225,14825,12985,16193,14282,18035,20201,20310	Jun,Ccl7,Cxcl3,Ccl2,Cxcl10,Mmp13,Tnfaip3,Ccl12,Mmp9,Il1b,Tnf,Nfkb1,Fos,Lcn2,Ptgs2,Cxcl1,Csf3,Il6,Fosb,Nfkbia,S100a8,Cxcl2
mmu05144	Malaria	2.41414423825556e-12	-26.749676244311	49	16	0.0594795539033457	269	7931	16193,20296,16408,15894,22329,16153,15529,20293,24088,16176,21926,81897,21825,12985,21939,20339	Il6,Ccl2,Itgal,Icam1,Vcam1,Il10,Sdc2,Ccl12,Tlr2,Il1b,Tnf,Tlr9,Thbs1,Csf3,Cd40,Sele
ko05144	Malaria	2.41414423825556e-12	-26.749676244311	49	16	0.0594795539033457	269	7931	21825,81897,20339,21939,12985,15894,16408,20296,16193,21926,16176,24088,20293,15529,16153,22329	Thbs1,Tlr9,Sele,Cd40,Csf3,Icam1,Itgal,Ccl2,Il6,Tnf,Il1b,Tlr2,Ccl12,Sdc2,Il10,Vcam1
