TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005515	protein binding	1.49423452631304e-36	-82.4914492946044	8786	331	0.722707423580786	458	20217	71409,20296,67102,13537,75767,14825,20266,18126,56213,328830,93691,20947,12768,74747,102103,16542,15968,12771,11555,23886,20491,192656,16438,18124,18413,20348,11540,16362,18715,12515,15242,15900,13051,23845,108078,15967,66214,12519,193740,11847,12703,16153,12444,20568,15559,74748,110454,16364,15368,18563,12700,12609,11624,20501,50723,59126,12569,83382,20656,100033459,20698,71302,15977,75739,18452,11622,14468,23872,21926,66922,15370,80859,17470,18591,74123,330122,18034,71994,11655,14581,72536,104252,18578,242083,20723,16176,21887,21417,74734,16819,67916,24088,21825,93842,14086,15894,223775,15965,22029,326623,13660,15969,235380,72504,56318,19225,14362,22329,12795,244152,217944,14544,22634,12870,19252,74318,50778,15558,16598,20306,14630,13654,16948,18104,20302,58217,16477,18791,17912,12490,20304,245126,11920,414084,67245,211770,17869,60440,67742,16518,13618,13807,246746,21350,231805,20620,15937,20312,17357,12047,28105,214855,22035,20821,54199,16835,18787,319710,54123,18442,23832,17386,58185,14609,16408,21949,67603,16878,21950,14579,18576,170741,12289,50930,12265,20201,17857,12227,13003,71436,14726,22341,215798,12156,14130,16161,81703,16181,16918,12363,320129,13025,17395,74155,21857,12524,21923,18037,381290,223881,13011,18033,13371,14281,20210,17858,231507,66412,243910,12125,18030,16997,224840,16193,20293,27053,15957,384009,12977,19419,329251,667370,228775,16190,17119,20849,15364,16160,17872,15945,14254,69581,240354,15962,68010,12702,14293,15982,71704,21664,384783,18128,12443,14676,17684,246779,12447,18263,69573,230738,70686,53314,56066,14745,219140,23912,12044,20310,56619,74194,327957,18035,21929,20706,17167,16975,667281,99633,16175,12985,320910,13614,16449,216850,20339,15490,14706,18792,12142,12297,22695,67338,286940,319565,17329,12389,11600,99382,17387,68027,14782,104099,16323,15511,65112,12457,226695,19204,387609,14289,19206,21939,56708,67399,54483,16476,15959,71458,20307,20303,58801,18987,19124,22164,407821,15439,56699,20299,13653,56620,19730,244418,21426,20971,18008,54720,12494,81897,57266,15529,74646	Fmnl2,Ccl2,D16Ertd472e,Dusp2,Rab11fip1,Cxcl1,Scn1b,Nos2,Htra1,A530064D06Rik,Klf7,Swap70,Ccr1,Ddit4,Mtus1,Kdr,Ifna5,Ccr3,Adrb2,Gdf15,Sla,Ripk2,Itpr1,Nr4a3,Osm,Sema3c,Adora2a,Irf1,Pim2,Cd69,Hhex,Irf8,Cx3cr1,Clec5a,Olr1,Ifna4,Rgcc,Cd80,Hspa1a,Arg2,Socs1,Il10,Ccnd2,Slpi,Htr2b,Slamf8,Ly6a,Irf4,Hmox1,Pcx,Cish,Cebpd,Ahrr,Slc16a1,Icosl,Nek6,Cdk5r1,Siglece,Sod2,Ifi208,Sphk1,Arhgap26,Ifnb1,Mpp7,P4ha2,Ahr,Gbp2b,Ets2,Tnf,Rras2,Nr4a1,Nfkbiz,Cd200,Pdgfb,Foxp4,Cxcl3,Nfkb2,Cnn3,Alas1,Gfi1,Tagap,Cdc42ep2,Pde4b,Ppm1l,Serpinb9,Il1b,Tle3,Zeb1,Rhoh,Lcn2,Plpp3,Tlr2,Thbs1,Igsf9,Fscn1,Icam1,Pim3,Ifna2,Traf1,Tnfsf15,Ehd1,Ifna6,Dmxl2,Taf4b,Acpp,Ptgs2,Fzd1,Vcam1,Plk3,Tsku,Rapgef5,Gda,Plagl1,Cp,Dusp1,Hopx,Rgs1,Htr2a,Klf2,Ccl7,Gclm,Egr2,Lox,Nqo1,Ccl3,Trem1,Junb,Plat,Myo1b,Cd34,Ccl5,Tarm1,Atm,Tnip3,Peli1,Trib1,Myc,Iigp1,Samsn1,Kcnj2,Ednrb,Eno2,Cd300lf,Tal2,Pilra,Plk2,Ier3,Cx3cl1,Marcksl1,Bcl2a1d,Trim36,Arid5a,Tnfsf10,Trim21,Ccrl2,Ldlr,Serpine1,Frmd6,Irf7,P2ry2,Xcr1,Mmp13,Rsad2,Gja1,Itgal,Tnfsf8,Dusp6,Lif,Tnfsf9,Gem,Pde3b,Pilrb1,Cacna1d,Tnfsf14,Ciita,S100a8,Mx1,Btg2,Vcan,Flrt3,Pdpn,Vegfc,Adgrg6,Bmp2,Fcgr2b,Il12rb1,Jdp2,Il1rn,Mycl,Casp4,Grk3,Ctla2b,Mmp9,Errfi1,Timp1,Cd86,Tnc,Nfkbie,Atp2b4,Rnd1,Cst7,Nfkb1,Dio2,Fos,Saa3,Mx2,Plac8,Arrdc4,Nfkbid,Bcl2l11,Nfil3,Ltbp2,Treml4,Il6,Ccl12,Asns,Ifit1,Glipr2,Csf1,Rasgrp1,Ppp1r12b,Ifit3b,Trib3,Il4ra,Mxd1,Stat4,Hmga2,Il12b,Ppp1r15a,Cxcl10,Flt1,Rhou,Malt1,Ifna1,Bambi,Socs3,Fpr1,Ifrd1,Arhgef3,Phlda1,Irs2,Notch1,Ccnd1,Gna15,Cited2,Il27,Ccne1,Odc1,Hilpda,Zc3h12a,Dusp16,Batf,Cxcl11,Lpar1,Spata13,Rhof,Bcl2a1a,Cxcl2,Clec4e,Rnd3,Scimp,Nfkbia,Tnfaip3,Serpinb9b,Marco,Lrp8,H60b,Adgrl2,Il1a,Csf3,Itgb8,Edn1,Jag1,Kdm6b,Sele,Hsd17b7,Gng4,Plau,Prdm1,Cacnb3,Zfp36,Rffl,Flnb,Syne2,Cxcl9,Cav1,Angpt1,Abtb2,Mmp14,Tmem178,Gsr,Itga9,Inhba,Hspa1b,Pmepa1,Noct,Ifi205,Ptafr,Zhx2,Fpr2,Ptch1,Cd40,Clcf1,Pdlim7,Mefv,Jun,Ifit3,Bcor,Ccl8,Ccl4,Pmaip1,Pou2f2,Procr,Tnfsf4,Znrf3,Hp,Cdc42ep4,Ccl22,Egr1,Clec4n,Ralgds,Prag1,Tfec,Sdc4,Nes,Rcan1,Cd38,Tlr9,Cxcl14,Sdc2,Spsb1
GO:0005125	cytokine activity	1.13828534341454e-31	-71.250614837404	214	46	0.100436681222707	458	20217	20306,15967,16153,20302,13614,20304,17329,15969,20310,20296,56066,50930,326623,14825,15965,12985,16175,16181,21857,18413,12156,15968,23886,20303,20299,22164,21926,15962,20307,246779,57266,21949,16176,21950,16878,330122,20293,16193,16323,12977,20312,22035,56708,16160,15945,15977	Ccl7,Ifna4,Il10,Ccl3,Edn1,Ccl5,Cxcl9,Ifna6,Cxcl2,Ccl2,Cxcl11,Tnfsf14,Tnfsf15,Cxcl1,Ifna2,Csf3,Il1a,Il1rn,Timp1,Osm,Bmp2,Ifna5,Gdf15,Ccl4,Ccl22,Tnfsf4,Tnf,Ifna1,Ccl8,Il27,Cxcl14,Tnfsf8,Il1b,Tnfsf9,Lif,Cxcl3,Ccl12,Il6,Inhba,Csf1,Cx3cl1,Tnfsf10,Clcf1,Il12b,Cxcl10,Ifnb1
GO:0005126	cytokine receptor binding	6.50606631611542e-30	-67.2048177687519	327	53	0.115720524017467	458	20217	16323,20293,16193,12977,246746,15977,15945,16160,20312,56708,22035,15962,21926,54199,20307,20303,22164,20299,330122,18008,16176,21949,57266,246779,81897,16878,21950,56066,20296,15965,14825,326623,22029,50930,15969,20310,15968,22341,12156,16161,23886,16181,16175,12985,18413,15490,15967,20306,20302,16153,17329,20304,11600	Inhba,Ccl12,Il6,Csf1,Cd300lf,Ifnb1,Cxcl10,Il12b,Cx3cl1,Clcf1,Tnfsf10,Ifna1,Tnf,Ccrl2,Ccl8,Ccl4,Tnfsf4,Ccl22,Cxcl3,Nes,Il1b,Tnfsf8,Cxcl14,Il27,Tlr9,Lif,Tnfsf9,Cxcl11,Ccl2,Ifna2,Cxcl1,Tnfsf15,Traf1,Tnfsf14,Ifna6,Cxcl2,Ifna5,Vegfc,Bmp2,Il12rb1,Gdf15,Il1rn,Il1a,Csf3,Osm,Hsd17b7,Ifna4,Ccl7,Ccl3,Il10,Cxcl9,Ccl5,Angpt1
GO:0005102	signaling receptor binding	7.43043199712163e-25	-55.5590433255342	1660	109	0.237991266375546	458	20217	20210,223881,15967,193740,12703,16153,16181,320129,192656,18124,21857,18413,20348,11540,12524,15968,14726,22341,12156,23886,11555,16161,71436,16542,20296,170741,14825,50930,18126,20201,16176,246779,67916,24088,69573,21825,330122,384783,18128,14676,104252,14293,18591,15962,68010,21926,23872,15370,11622,15977,16160,15945,50723,12569,20293,16193,12977,12389,11600,17387,18791,20304,245126,17329,20306,20302,13614,16449,15490,22329,667281,12985,16175,320910,17167,14362,15969,20310,15894,56066,15965,22029,326623,21949,18008,81897,57266,16878,21950,17386,14609,20303,22164,407821,20299,18442,54199,18787,20307,20312,19206,56708,22035,214855,246746,231805,13618,14289,16323	Saa3,Rnd1,Ifna4,Hspa1a,Socs1,Il10,Il1rn,Grk3,Ripk2,Nr4a3,Timp1,Osm,Sema3c,Adora2a,Cd86,Ifna5,Pdpn,Vegfc,Bmp2,Gdf15,Adrb2,Il12rb1,Flrt3,Kdr,Ccl2,Pilrb1,Cxcl1,Tnfsf14,Nos2,S100a8,Il1b,Il27,Plpp3,Tlr2,Hilpda,Thbs1,Cxcl3,Irs2,Notch1,Gna15,Cdc42ep2,Fpr1,Pdgfb,Ifna1,Bambi,Tnf,Ets2,Nr4a1,Ahr,Ifnb1,Il12b,Cxcl10,Icosl,Cdk5r1,Ccl12,Il6,Csf1,Cav1,Angpt1,Mmp14,Plat,Ccl5,Tarm1,Cxcl9,Ccl7,Ccl3,Edn1,Jag1,Hsd17b7,Vcam1,H60b,Csf3,Il1a,Itgb8,Marco,Fzd1,Ifna6,Cxcl2,Icam1,Cxcl11,Ifna2,Traf1,Tnfsf15,Tnfsf8,Nes,Tlr9,Cxcl14,Lif,Tnfsf9,Mmp13,Gja1,Ccl4,Tnfsf4,Znrf3,Ccl22,P2ry2,Ccrl2,Serpine1,Ccl8,Cx3cl1,Ptch1,Clcf1,Tnfsf10,Arid5a,Cd300lf,Pilra,Ednrb,Fpr2,Inhba
GO:0048018	receptor ligand activity	1.90466776818867e-21	-47.7099793594067	488	53	0.115720524017467	458	20217	20304,17329,20210,13614,16449,20302,16153,15967,20306,23886,15968,12156,22341,20348,18413,21857,16181,12985,16175,14825,15965,50930,326623,20296,56066,20310,71436,15969,104252,330122,16878,21950,21949,16176,246779,57266,20307,15962,21926,22164,20299,20303,18591,15977,16160,15945,56708,22035,20312,12977,16323,16193,20293	Ccl5,Cxcl9,Saa3,Edn1,Jag1,Ccl3,Il10,Ifna4,Ccl7,Gdf15,Ifna5,Bmp2,Vegfc,Sema3c,Osm,Timp1,Il1rn,Csf3,Il1a,Cxcl1,Ifna2,Tnfsf14,Tnfsf15,Ccl2,Cxcl11,Cxcl2,Flrt3,Ifna6,Cdc42ep2,Cxcl3,Lif,Tnfsf9,Tnfsf8,Il1b,Il27,Cxcl14,Ccl8,Ifna1,Tnf,Tnfsf4,Ccl22,Ccl4,Pdgfb,Ifnb1,Il12b,Cxcl10,Clcf1,Tnfsf10,Cx3cl1,Csf1,Inhba,Il6,Ccl12
GO:0030546	signaling receptor activator activity	3.34445029345755e-21	-47.1469846095835	494	53	0.115720524017467	458	20217	21926,15962,20307,18591,20303,20299,22164,330122,104252,57266,246779,16176,21949,21950,16878,20293,16193,16323,12977,15945,16160,15977,20312,56708,22035,16449,13614,20306,15967,16153,20302,20210,17329,20304,56066,20296,326623,50930,15965,14825,15969,71436,20310,22341,12156,15968,23886,12985,16175,16181,21857,20348,18413	Tnf,Ifna1,Ccl8,Pdgfb,Ccl4,Ccl22,Tnfsf4,Cxcl3,Cdc42ep2,Cxcl14,Il27,Il1b,Tnfsf8,Tnfsf9,Lif,Ccl12,Il6,Inhba,Csf1,Cxcl10,Il12b,Ifnb1,Cx3cl1,Clcf1,Tnfsf10,Jag1,Edn1,Ccl7,Ifna4,Il10,Ccl3,Saa3,Cxcl9,Ccl5,Cxcl11,Ccl2,Tnfsf15,Tnfsf14,Ifna2,Cxcl1,Ifna6,Flrt3,Cxcl2,Vegfc,Bmp2,Ifna5,Gdf15,Csf3,Il1a,Il1rn,Timp1,Sema3c,Osm
GO:0030545	receptor regulator activity	4.50915797842043e-20	-44.5455914248126	523	53	0.115720524017467	458	20217	20304,17329,20210,13614,16449,20302,16153,15967,20306,23886,15968,12156,22341,21857,18413,20348,16181,12985,16175,14825,15965,50930,326623,20296,56066,20310,71436,15969,104252,330122,16878,21950,21949,16176,246779,57266,20307,15962,21926,22164,20299,20303,18591,15977,16160,15945,22035,56708,20312,12977,16323,20293,16193	Ccl5,Cxcl9,Saa3,Edn1,Jag1,Ccl3,Il10,Ifna4,Ccl7,Gdf15,Ifna5,Bmp2,Vegfc,Timp1,Osm,Sema3c,Il1rn,Csf3,Il1a,Cxcl1,Ifna2,Tnfsf14,Tnfsf15,Ccl2,Cxcl11,Cxcl2,Flrt3,Ifna6,Cdc42ep2,Cxcl3,Lif,Tnfsf9,Tnfsf8,Il1b,Il27,Cxcl14,Ccl8,Ifna1,Tnf,Tnfsf4,Ccl22,Ccl4,Pdgfb,Ifnb1,Il12b,Cxcl10,Tnfsf10,Clcf1,Cx3cl1,Csf1,Inhba,Ccl12,Il6
GO:0098772	molecular function regulator	1.03065606086006e-19	-43.718921215122	1730	102	0.222707423580786	458	20217	15968,12156,22341,23886,11555,20715,16181,13025,16438,21857,18413,20348,20296,14825,20266,50930,18126,71436,20210,20568,15559,12700,381290,15967,13011,66214,12703,16153,12444,228775,71302,15977,16160,17872,15945,16193,20293,12977,19419,329251,12569,330122,18128,12443,72536,104252,20723,230837,16176,246779,74734,12447,240354,15962,21926,12702,18591,71704,13136,16175,12985,56066,219140,15965,326623,15969,20310,20706,238393,20304,17329,12389,217944,13614,16449,50778,20306,14630,12297,20302,20312,12047,56708,22035,18788,211770,16323,50780,19730,21949,20708,54720,57266,16878,14579,21950,16476,20307,18787,20303,22164,20299	Ifna5,Bmp2,Vegfc,Gdf15,Adrb2,Serpina3g,Il1rn,Ctla2b,Itpr1,Timp1,Osm,Sema3c,Ccl2,Cxcl1,Scn1b,Tnfsf14,Nos2,Flrt3,Saa3,Slpi,Htr2b,Cish,Atp2b4,Ifna4,Cst7,Rgcc,Socs1,Il10,Ccnd2,Trib3,Arhgap26,Ifnb1,Il12b,Ppp1r15a,Cxcl10,Il6,Ccl12,Csf1,Rasgrp1,Ppp1r12b,Cdk5r1,Cxcl3,Notch1,Ccnd1,Tagap,Cdc42ep2,Serpinb9,Asap3,Il1b,Il27,Rhoh,Ccne1,Malt1,Ifna1,Tnf,Socs3,Pdgfb,Arhgef3,Cd55,Il1a,Csf3,Cxcl11,Spata13,Ifna2,Tnfsf15,Ifna6,Cxcl2,Serpinb9b,Serpina3f,Ccl5,Cxcl9,Cav1,Rapgef5,Edn1,Jag1,Rgs1,Ccl7,Gclm,Cacnb3,Ccl3,Cx3cl1,Bcl2a1d,Clcf1,Tnfsf10,Serpinb2,Trib1,Inhba,Rgs3,Ralgds,Tnfsf8,Serpinb6b,Rcan1,Cxcl14,Lif,Gem,Tnfsf9,Jun,Ccl8,Serpine1,Ccl4,Tnfsf4,Ccl22
GO:0005488	binding	1.64050345754972e-18	-40.9515284928566	13028	379	0.827510917030568	458	20217	20971,57266,54720,81897,74646,13653,19730,56620,242202,20303,58801,56699,15439,16476,17750,71458,11639,19206,54483,15511,226695,12457,12389,286940,12142,18792,99633,667281,17167,16975,12044,21929,20706,327957,18035,53314,70686,56066,23912,15958,246779,12447,69573,230738,384783,12702,14293,71704,15982,21664,15962,240354,14254,228775,16190,17872,15945,15364,667370,224840,16997,15957,27053,16193,319554,329251,12977,20210,231507,66412,223881,12822,18037,21923,12363,17395,21857,74155,215798,13003,18576,12265,12140,21949,16408,67603,21950,58185,14609,54123,16891,54199,18787,64292,16835,17357,22035,246746,21350,231805,13618,211770,60440,67742,11920,18791,17912,245126,20304,15558,16598,20302,13654,16948,18104,58217,16477,74318,12870,50778,13136,14362,15969,72504,19225,93842,15894,14086,22029,21417,24088,74734,21825,12475,330122,373864,72536,14581,11655,242083,18578,29863,244871,23872,20698,15977,75739,59126,20656,12569,83382,20728,215418,20501,16364,110454,12700,18563,12609,20568,74748,108078,245671,11847,193740,12519,16153,12703,15242,16362,18715,13051,18124,18413,11540,12771,23886,12642,20491,328830,93691,12768,74747,20296,67102,18008,12494,15529,244418,21426,22164,19124,18987,20299,407821,15959,20307,83921,21939,67399,56708,387609,14289,16323,65112,19204,99382,11600,17387,104099,112407,68027,14782,67338,319565,17329,22695,12297,13614,16449,213389,216850,20339,14706,15490,68732,16175,12985,21822,215772,320910,229900,15936,20310,56619,74194,219140,14745,17748,18263,18128,12443,14676,17684,17133,27226,68010,69581,13655,20849,17119,16160,20293,384009,19419,18030,12125,14281,17858,243910,13011,18033,13371,381290,320129,16181,16918,13025,12524,14726,74481,14130,22341,12156,16161,81703,17857,71436,80885,12227,170741,12289,20201,50930,16878,14579,17386,319710,23832,18442,20312,15937,28105,12047,214855,20821,20620,16656,16518,13807,667373,17869,414084,67245,12490,14630,20306,14544,217944,76650,19252,22634,319765,22329,12795,17076,244152,19331,20621,13660,235380,56318,223775,15965,326623,16176,230837,20723,21887,67916,16819,71994,74123,18034,104252,228413,231655,17470,18591,66922,21926,15370,80859,11622,14468,71302,18452,50723,227731,100033459,13421,11624,15368,15559,23845,15967,66214,12444,12515,14282,15900,16438,192656,22169,20348,15968,11555,20947,16633,102103,16542,71409,13537,52614,20266,14825,75767,56213,18126	Sdc4,Cxcl14,Rcan1,Tlr9,Spsb1,Egr1,Ralgds,Clec4n,Pde5a,Ccl4,Pmaip1,Cdc42ep4,Hp,Jun,Mt2,Bcor,Ak4,Ptch1,Mefv,Hspa1b,Ifi205,Noct,Cav1,Flnb,Prdm1,Plau,Adgrl2,H60b,Marco,Lrp8,Bcl2a1a,Tnfaip3,Serpinb9b,Scimp,Nfkbia,Batf,Dusp16,Cxcl11,Rhof,Ifit2,Il27,Ccne1,Hilpda,Zc3h12a,Irs2,Socs3,Fpr1,Arhgef3,Ifrd1,Phlda1,Ifna1,Malt1,Flt1,Trib3,Il4ra,Ppp1r15a,Cxcl10,Hmga2,Ifit3b,Treml4,Ltbp2,Ifit1,Asns,Il6,Idi1,Ppp1r12b,Csf1,Saa3,Plac8,Arrdc4,Rnd1,Col18a1,Nfkbie,Tnc,Casp4,Mmp9,Timp1,Errfi1,Adgrg6,Vcan,Pde3b,Ciita,Fabp7,Tnfsf8,Itgal,Dusp6,Tnfsf9,Rsad2,Gja1,Irf7,Lipg,Ccrl2,Serpine1,Ptges,Ldlr,Marcksl1,Tnfsf10,Cd300lf,Tal2,Pilra,Ednrb,Trib1,Iigp1,Samsn1,Atm,Plat,Myo1b,Tarm1,Ccl5,Htr2a,Klf2,Ccl3,Egr2,Lox,Nqo1,Trem1,Junb,Hopx,Cp,Rgs1,Cd55,Fzd1,Ifna6,Taf4b,Ptgs2,Igsf9,Icam1,Fscn1,Traf1,Zeb1,Tlr2,Rhoh,Thbs1,Cd14,Cxcl3,Col27a1,Tagap,Gfi1,Alas1,Ppm1l,Pde4b,Pde7b,Zc3h12c,Ets2,Sphk1,Ifnb1,Mpp7,Nek6,Sod2,Cdk5r1,Siglece,Spic,Csrnp1,Slc16a1,Irf4,Ly6a,Cish,Pcx,Cebpd,Slpi,Slamf8,Olr1,Klf8,Arg2,Hspa1a,Cd80,Il10,Socs1,Hhex,Irf1,Pim2,Cx3cr1,Nr4a3,Osm,Adora2a,Ccr3,Gdf15,Ch25h,Sla,A530064D06Rik,Klf7,Ccr1,Ddit4,Ccl2,D16Ertd472e,Nes,Cd38,Sdc2,Prag1,Tfec,Tnfsf4,Procr,Pou2f2,Ccl22,Znrf3,Ifit3,Ccl8,Cemip2,Cd40,Pdlim7,Clcf1,Zhx2,Fpr2,Inhba,Pmepa1,Ptafr,Abtb2,Angpt1,Mmp14,Itga9,Egln3,Tmem178,Gsr,Rffl,Syne2,Cxcl9,Zfp36,Cacnb3,Edn1,Jag1,Prdm9,Kdm6b,Sele,Gng4,Hsd17b7,Carmil1,Il1a,Csf3,Tgtp1,Adgb,Itgb8,Gbp7,Ier2,Cxcl2,Clec4e,Rnd3,Spata13,Lpar1,Mt1,Odc1,Notch1,Ccnd1,Gna15,Cited2,Maff,Pla2g7,Bambi,Rhou,Egr3,Stat4,Mxd1,Il12b,Ccl12,Glipr2,Rasgrp1,Nfil3,Bcl2l11,Fos,Mx2,Nfkbid,Cst7,Nfkb1,Dio2,Atp2b4,Grk3,Il1rn,Mycl,Ctla2b,Cd86,Pdpn,Batf2,Fcgr2b,Vegfc,Bmp2,Il12rb1,Jdp2,Mx1,Flrt3,Hcar2,Btg2,Pilrb1,Cacna1d,S100a8,Tnfsf14,Lif,Gem,Mmp13,Frmd6,Xcr1,P2ry2,Cx3cl1,Ier3,Trim36,Bcl2a1d,Arid5a,Trim21,Plk2,Hivep3,Kcnj2,Eno2,Ifit1bl1,Myc,Tnip3,Peli1,Cd34,Gclm,Ccl7,Gda,Rapgef5,Srxn1,Dusp1,Plagl1,Igf2bp2,Vcam1,Plk3,Ly75,Tsku,Rab19,Snn,Ehd1,Dmxl2,Acpp,Pim3,Ifna2,Tnfsf15,Il1b,Asap3,Serpinb9,Tle3,Plpp3,Lcn2,Cnn3,Foxp4,Nfkb2,Cdc42ep2,Prrg4,Oasl1,Cd200,Pdgfb,Rras2,Tnf,Nr4a1,Nfkbiz,Ahr,Gbp2b,Arhgap26,P4ha2,Icosl,Slc25a25,Ifi208,Dnase1l3,Ahrr,Hmox1,Htr2b,Clec5a,Ifna4,Rgcc,Ccnd2,Cd69,Fosb,Irf8,Itpr1,Ripk2,Cmpk2,Sema3c,Ifna5,Adrb2,Swap70,Klra2,Mtus1,Kdr,Fmnl2,Dusp2,Adgre4,Scn1b,Cxcl1,Rab11fip1,Htra1,Nos2
GO:0008009	chemokine activity	5.61698367550044e-16	-35.1155666806253	43	16	0.0349344978165939	458	20217	20312,57266,20304,17329,15945,330122,20302,20310,20299,20303,20306,14825,20307,20296,20293,56066	Cx3cl1,Cxcl14,Ccl5,Cxcl9,Cxcl10,Cxcl3,Ccl3,Cxcl2,Ccl22,Ccl4,Ccl7,Cxcl1,Ccl8,Ccl2,Ccl12,Cxcl11
