TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
FOSTER_TOLERANT_MACROPHAGE_DN	FOSTER_TOLERANT_MACROPHAGE_DN	5.29546369663763e-98	-223.98648856565	375	118	0.291358024691358	405	15632	12870,74481,12642,20971,278279,12444,14745,17386,193740,74734,12389,240354,71198,11600,16175,20310,407821,108116,74646,226695,22271,17684,14281,16176,13537,373864,16190,170768,67468,12822,74123,58250,71302,320910,56405,16153,20698,16160,384009,14609,21939,22634,18578,108078,16891,20299,18030,59126,192656,18126,229900,14544,70686,19225,75739,93842,21887,16477,81703,102103,22329,13614,21949,20821,223881,71994,22695,74318,22035,14706,214855,54720,22029,13003,15242,71409,16193,14086,93691,12703,12977,80859,17119,65112,67742,12522,219140,286940,12702,67338,100033459,215418,21929,18033,14362,12609,74194,74155,20501,22164,12524,14538,50723,22785,80910,18128,12515,102693,99382,18263,18787,240672,12297,20621,243910,14676,71704,21923	Cp,Batf2,Ch25h,Sdc4,Tmtc2,Ccnd2,Lpar1,Mmp13,Hspa1a,Rhoh,Cav1,Malt1,Otud1,Angpt1,Il1a,Cxcl2,Znrf3,Slco3a1,Spsb1,Ifi205,Upp1,Cited2,Fos,Il1b,Dusp2,Col27a1,Il4ra,Pfkfb3,Mmd,Col18a1,Foxp4,Chst11,Arhgap26,Itgb8,Dusp14,Il10,Sphk1,Il12b,Glipr2,Gja1,Cd40,Plagl1,Pde4b,Olr1,Lipg,Ccl22,Nfil3,Nek6,Ripk2,Nos2,Gbp7,Gda,Dusp16,Ptgs2,Mpp7,Igsf9,Tle3,Junb,Jdp2,Mtus1,Vcam1,Edn1,Tnfsf8,Trim21,Rnd1,Cnn3,Zfp36,Hopx,Tnfsf10,Gng4,Arid5a,Rcan1,Traf1,Vcan,Hhex,Fmnl2,Il6,Fscn1,Klf7,Socs1,Csf1,Nfkbiz,Mxd1,Pmepa1,Samsn1,Cd83,Spata13,Flnb,Socs3,Rffl,Ifi208,Csrnp1,Tnfaip3,Nfkb1,Fzd1,Cebpd,Rnd3,Errfi1,Slc16a1,Tnfsf4,Cd86,Gcnt2,Icosl,Slc30a4,Gpr84,Notch1,Cd69,Phldb1,Abtb2,Odc1,Serpine1,Dusp5,Cacnb3,Snn,Nfkbid,Gna15,Arhgef3,Tnc
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.5041437756575e-89	-203.425075464371	193	88	0.217283950617284	405	15632	384783,18788,16193,230738,14579,54720,22029,20304,22695,16449,13614,21929,18037,16476,18034,12702,16835,12522,13655,17119,18124,65112,15936,56708,12977,12515,17133,50723,24088,12609,18033,15958,18792,21923,19252,16362,20303,20621,18787,240672,16598,319520,20293,12227,21664,13653,13660,15894,16878,20620,20971,216850,170768,16176,13537,14281,20656,74646,16175,20310,12519,15370,18578,108078,16160,20698,23872,19219,54199,21926,17872,12156,18035,17869,12047,16477,15945,12044,16323,14825,19225,211770,15937,12443,14282,192656,18030,13654	Irs2,Serpinb2,Il6,Zc3h12a,Gem,Rcan1,Traf1,Ccl5,Zfp36,Jag1,Edn1,Tnfaip3,Nfkbie,Jun,Nfkb2,Socs3,Ldlr,Cd83,Egr3,Mxd1,Nr4a3,Pmepa1,Ier2,Clcf1,Csf1,Cd69,Maff,Icosl,Tlr2,Cebpd,Nfkb1,Ifit2,Plau,Tnc,Dusp1,Irf1,Ccl4,Snn,Serpine1,Dusp5,Klf2,Dusp4,Ccl12,Btg2,Phlda1,Egr1,Ehd1,Icam1,Lif,Plk2,Sdc4,Kdm6b,Pfkfb3,Il1b,Dusp2,Fos,Sod2,Spsb1,Il1a,Cxcl2,Cd80,Nr4a1,Pde4b,Olr1,Il12b,Sphk1,Ets2,Ptger4,Ccrl2,Tnf,Ppp1r15a,Bmp2,Nfkbia,Myc,Bcl2a1d,Junb,Cxcl10,Bcl2a1a,Inhba,Cxcl1,Ptgs2,Trib1,Ier3,Ccnd1,Fosb,Ripk2,Nfil3,Egr2
GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	6.06971514595333e-73	-166.285400112774	189	77	0.190123456790123	405	15632	71994,20728,22695,20558,20971,20723,16656,15894,14579,22029,13660,54720,13653,230738,80859,20310,16175,18124,67742,20656,13537,16176,12522,14204,21417,13655,219140,56619,14289,18034,12702,18037,215418,21929,216850,104252,18033,12265,17872,19222,74123,54199,12524,24088,12363,21926,19219,50723,23872,17387,80910,21939,22785,20299,17133,108078,18578,15370,12515,12142,20947,54483,244871,17357,240672,56696,19225,20621,243910,19730,15945,16477,19252,20303,16362,18035,72536	Cnn3,Spic,Zfp36,Slfn4,Sdc4,Serpinb9,Hivep3,Icam1,Gem,Traf1,Ehd1,Rcan1,Egr1,Zc3h12a,Nfkbiz,Cxcl2,Il1a,Nr4a3,Samsn1,Sod2,Dusp2,Il1b,Cd83,Il4i1,Zeb1,Egr3,Spata13,Clec4e,Fpr2,Nfkb2,Socs3,Nfkbie,Csrnp1,Tnfaip3,Kdm6b,Cdc42ep2,Nfkb1,Ciita,Ppp1r15a,Ptgir,Foxp4,Ccrl2,Cd86,Tlr2,Casp4,Tnf,Ptger4,Icosl,Ets2,Mmp14,Gpr84,Cd40,Slc30a4,Ccl22,Maff,Olr1,Pde4b,Nr4a1,Cd69,Prdm1,Swap70,Mefv,Zc3h12c,Marcksl1,Dusp5,Gpr132,Ptgs2,Snn,Nfkbid,Ralgds,Cxcl10,Junb,Dusp1,Ccl4,Irf1,Nfkbia,Tagap
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	8.63351769535811e-65	-147.512379010129	193	72	0.177777777777778	405	15632	11541,17357,244871,12142,56696,15982,240672,15937,15945,12044,16477,19730,14825,72536,16362,12047,19252,74123,19222,71458,74155,19219,12363,54199,12524,24088,16160,13051,23872,17133,12515,15370,20299,102693,80910,21939,15936,67742,18124,20656,16175,71436,80859,219140,11847,13655,13537,12522,14204,12702,18034,16542,16181,216850,215418,18037,22695,20728,12700,23886,20620,15894,16656,18591,20723,12475,20312,22029,13660,12227,18413,16193	Adora2b,Marcksl1,Zc3h12c,Prdm1,Gpr132,Ifrd1,Dusp5,Ier3,Cxcl10,Bcl2a1a,Junb,Ralgds,Cxcl1,Tagap,Irf1,Bcl2a1d,Dusp1,Foxp4,Ptgir,Bcor,Errfi1,Ptger4,Casp4,Ccrl2,Cd86,Tlr2,Il12b,Cx3cr1,Ets2,Maff,Cd69,Nr4a1,Ccl22,Phldb1,Gpr84,Cd40,Ier2,Samsn1,Nr4a3,Sod2,Il1a,Flrt3,Nfkbiz,Spata13,Arg2,Egr3,Dusp2,Cd83,Il4i1,Socs3,Nfkb2,Kdr,Il1rn,Kdm6b,Csrnp1,Nfkbie,Zfp36,Spic,Cish,Gdf15,Plk2,Icam1,Hivep3,Pdgfb,Serpinb9,Cd14,Cx3cl1,Traf1,Ehd1,Btg2,Osm,Il6
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	1.97967930454152e-60	-137.472170715458	186	68	0.167901234567901	405	15632	14609,80910,17133,12515,16153,54199,24088,56405,19219,104252,19206,12156,20303,16362,12047,20339,19252,17869,15977,243910,13371,12044,12125,18787,240672,13654,319520,99382,18030,192656,319710,244871,230738,17386,21664,193740,18413,240354,12227,12389,93691,13660,22029,12642,23886,20304,15894,18591,214855,223775,20558,215418,18037,16181,216850,56619,50778,14281,20296,17684,18218,16176,12522,227731,71436,15936,50930,20656	Gja1,Gpr84,Maff,Cd69,Il10,Ccrl2,Tlr2,Dusp14,Ptger4,Cdc42ep2,Ptch1,Bmp2,Ccl4,Irf1,Bcl2a1d,Sele,Dusp1,Myc,Ifnb1,Nfkbid,Dio2,Bcl2a1a,Bcl2l11,Serpine1,Dusp5,Egr2,Dusp4,Abtb2,Nfil3,Ripk2,Frmd6,Zc3h12c,Zc3h12a,Mmp13,Phlda1,Hspa1a,Osm,Malt1,Btg2,Cav1,Klf7,Ehd1,Traf1,Ch25h,Gdf15,Ccl5,Icam1,Pdgfb,Arid5a,Pim3,Slfn4,Csrnp1,Nfkbie,Il1rn,Kdm6b,Clec4e,Rgs1,Fos,Ccl2,Cited2,Dusp8,Il1b,Cd83,Slc25a25,Flrt3,Ier2,Tnfsf14,Sod2
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	1.65154986986767e-59	-135.350806324545	191	68	0.167901234567901	405	15632	15937,240672,67245,15982,19225,13654,319520,244871,17357,18263,17869,19252,20303,16362,18035,14825,243910,15945,16477,54199,24088,21926,19219,104252,74155,74194,17872,80910,17133,18578,12515,16153,13537,14281,17684,20296,80859,20310,227731,15936,16476,18037,215418,216850,21929,56619,50778,12702,19124,20971,214855,23886,20620,22695,20558,21664,193740,17386,230738,20293,18413,12227,240354,22029,13660,54720,12475,13653	Ier3,Dusp5,Peli1,Ifrd1,Ptgs2,Egr2,Dusp4,Zc3h12c,Marcksl1,Odc1,Myc,Dusp1,Ccl4,Irf1,Nfkbia,Cxcl1,Nfkbid,Cxcl10,Junb,Ccrl2,Tlr2,Tnf,Ptger4,Cdc42ep2,Errfi1,Rnd3,Ppp1r15a,Gpr84,Maff,Pde4b,Cd69,Il10,Dusp2,Fos,Cited2,Ccl2,Nfkbiz,Cxcl2,Slc25a25,Ier2,Jun,Nfkbie,Csrnp1,Kdm6b,Tnfaip3,Clec4e,Rgs1,Socs3,Procr,Sdc4,Arid5a,Gdf15,Plk2,Zfp36,Slfn4,Phlda1,Hspa1a,Mmp13,Zc3h12a,Ccl12,Osm,Btg2,Malt1,Traf1,Ehd1,Rcan1,Cd14,Egr1
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	3.58310779260971e-58	-132.273704871327	183	66	0.162962962962963	405	15632	15982,19225,70686,15937,18442,240672,319710,12569,244871,17357,18263,192656,319520,13654,19252,17869,20303,12047,16362,20339,12125,12044,243910,54199,24088,74155,12156,19206,104252,12515,80910,14609,16153,13537,12522,16176,14281,20296,17684,17119,20656,15936,227731,216850,16476,18037,215418,56619,15894,214855,23886,20304,20620,20558,93691,71198,18413,12227,240354,21664,193740,230738,17386,12475,14579,13660	Ifrd1,Ptgs2,Dusp16,Ier3,P2ry2,Dusp5,Frmd6,Cdk5r1,Zc3h12c,Marcksl1,Odc1,Ripk2,Dusp4,Egr2,Dusp1,Myc,Ccl4,Bcl2a1d,Irf1,Sele,Bcl2l11,Bcl2a1a,Nfkbid,Ccrl2,Tlr2,Errfi1,Bmp2,Ptch1,Cdc42ep2,Cd69,Gpr84,Gja1,Il10,Dusp2,Cd83,Il1b,Fos,Ccl2,Cited2,Mxd1,Sod2,Ier2,Slc25a25,Kdm6b,Jun,Nfkbie,Csrnp1,Clec4e,Icam1,Arid5a,Gdf15,Ccl5,Plk2,Slfn4,Klf7,Otud1,Osm,Btg2,Malt1,Phlda1,Hspa1a,Zc3h12a,Mmp13,Cd14,Gem,Ehd1
GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_DN	GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_DN	9.68575766082369e-57	-128.976693776523	191	66	0.162962962962963	405	15632	14289,18034,23845,231805,15957,387609,18037,16763,18124,71436,80859,12977,14204,16176,20296,11988,13653,14579,22029,54720,93691,240354,21664,11655,16193,69863,238377,13614,16449,18591,23886,56620,19124,76650,20723,19730,81703,16477,327766,12044,14825,243910,18792,13618,22169,19252,12047,244871,17357,192656,20947,319520,13654,93842,80885,240672,80910,667373,16975,15958,12795,54199,58185,24088,12524,12363	Fpr2,Nfkb2,Clec5a,Pilra,Ifit1,Zhx2,Nfkbie,Lad1,Nr4a3,Flrt3,Nfkbiz,Csf1,Il4i1,Il1b,Ccl2,Slc7a2,Egr1,Gem,Traf1,Rcan1,Klf7,Malt1,Phlda1,Alas1,Il6,Ttc39b,Gpr68,Edn1,Jag1,Pdgfb,Gdf15,Clec4n,Procr,Srxn1,Serpinb9,Ralgds,Jdp2,Junb,Tmem26,Bcl2a1a,Cxcl1,Nfkbid,Plau,Ednrb,Cmpk2,Dusp1,Bcl2a1d,Zc3h12c,Marcksl1,Ripk2,Swap70,Dusp4,Egr2,Igsf9,Hcar2,Dusp5,Gpr84,Ifit1bl1,Lrp8,Ifit2,Plk3,Ccrl2,Rsad2,Tlr2,Cd86,Casp4
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	2.25611828144421e-55	-125.828534352693	191	65	0.160493827160494	405	15632	11541,269346,54483,192656,56696,18787,18442,16174,15945,16323,19419,54123,18035,16362,20339,14676,17869,19222,20266,18033,21857,320910,16518,19219,50723,24088,54199,16160,17387,16153,20698,18578,12515,108078,20299,17167,21939,17119,12977,16175,16835,14726,16176,23845,50778,16190,19204,13614,14293,20304,326623,11622,15894,16878,22035,11988,12475,20312,13136,18413,12227,20293,14745,16193,12985	Adora2b,Slc28a2,Mefv,Ripk2,Gpr132,Serpine1,P2ry2,Il18rap,Cxcl10,Inhba,Rasgrp1,Irf7,Nfkbia,Irf1,Sele,Gna15,Myc,Ptgir,Scn1b,Nfkb1,Timp1,Itgb8,Kcnj2,Ptger4,Icosl,Tlr2,Ccrl2,Il12b,Mmp14,Il10,Sphk1,Pde4b,Cd69,Olr1,Ccl22,Marco,Cd40,Mxd1,Csf1,Il1a,Ldlr,Pdpn,Il1b,Clec5a,Rgs1,Il4ra,Ptafr,Edn1,Fpr1,Ccl5,Tnfsf15,Ahr,Icam1,Lif,Tnfsf10,Slc7a2,Cd14,Cx3cl1,Cd55,Osm,Btg2,Ccl12,Lpar1,Il6,Csf3
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	1.07719058284147e-54	-124.265238682018	164	61	0.150617283950617	405	15632	18033,14538,235380,21926,12363,58185,54199,16160,16153,12515,18578,384009,21939,18126,11541,192656,64292,19225,16819,70686,14825,58217,22329,18035,17470,20303,19252,22695,114644,13614,223881,14293,20304,214855,19124,71409,12475,64095,240354,20293,16193,17386,11655,108116,26570,20656,17119,67742,16175,414084,20310,80859,14726,16176,13537,12702,18034,56619,16181,21929,170768	Nfkb1,Gcnt2,Dmxl2,Tnf,Casp4,Rsad2,Ccrl2,Il12b,Il10,Cd69,Pde4b,Glipr2,Cd40,Nos2,Adora2b,Ripk2,Ptges,Ptgs2,Lcn2,Dusp16,Cxcl1,Trem1,Vcam1,Nfkbia,Cd200,Ccl4,Dusp1,Zfp36,Slc13a3,Edn1,Rnd1,Fpr1,Ccl5,Arid5a,Procr,Fmnl2,Cd14,Gpr35,Malt1,Ccl12,Il6,Mmp13,Alas1,Slco3a1,Slc7a11,Sod2,Mxd1,Samsn1,Il1a,Tnip3,Cxcl2,Nfkbiz,Pdpn,Il1b,Dusp2,Socs3,Nfkb2,Clec4e,Il1rn,Tnfaip3,Pfkfb3
