TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01764	MAPKPHPHTASE	2.3749284256779e-09	-19.8582985364706	10	7	0.0395480225988701	177	5821	18218,70686,19252,319520,67603,13537,240672	Dusp8,Dusp16,Dusp1,Dusp4,Dusp6,Dusp2,Dusp5
PR00437	SMALLCYTKCXC	2.95823337774007e-07	-15.0335033926419	11	6	0.0338983050847458	177	5821	56066,330122,14825,17329,15945,20310	Cxcl11,Cxcl3,Cxcl1,Cxcl9,Cxcl10,Cxcl2
PR00042	LEUZIPPRFOS	5.25839457167498e-05	-9.8530996993185	8	4	0.0225988700564972	177	5821	14282,53314,81703,14281	Fosb,Batf,Jdp2,Fos
PR00266	INTERFERONAB	6.19359487152914e-05	-9.68940979215678	24	6	0.0338983050847458	177	5821	15968,15969,15965,15967,15977,15962	Ifna5,Ifna6,Ifna2,Ifna4,Ifnb1,Ifna1
PR00267	INTFRNREGFCT	9.24070774036692e-05	-9.2893069869721	9	4	0.0225988700564972	177	5821	54123,15900,16362,16364	Irf7,Irf8,Irf1,Irf4
PR01234	TNECROSISFCT	0.000516737346320391	-7.56797584674548	6	3	0.0169491525423729	177	5821	326623,21926,50930	Tnfsf15,Tnf,Tnfsf14
PR00264	INTERLEUKIN1	0.000516737346320391	-7.56797584674548	6	3	0.0169491525423729	177	5821	16176,16181,16175	Il1b,Il1rn,Il1a
PR00433	IL6GCSFMGF	0.00091952883002039	-6.99164916039251	2	2	0.0112994350282486	177	5821	16193,12985	Il6,Csf3
PR01284	NUCLEARECPTR	0.00270327886155226	-5.9132898495833	3	2	0.0112994350282486	177	5821	18124,15370	Nr4a3,Nr4a1
PR00043	LEUZIPPRJUN	0.00270327886155226	-5.9132898495833	3	2	0.0112994350282486	177	5821	16476,16477	Jun,Junb
PR00860	MTVERTEBRATE	0.00529842360927782	-5.24034593487753	4	2	0.0112994350282486	177	5821	17750,17748	Mt2,Mt1
PR01910	ADSPHPHTASEB	0.00529842360927782	-5.24034593487753	4	2	0.0112994350282486	177	5821	56405,19252	Dusp14,Dusp1
PR01867	BCL2RLATEDA1	0.00529842360927782	-5.24034593487753	4	2	0.0112994350282486	177	5821	12044,12047	Bcl2a1a,Bcl2a1d
PR01908	ADSPHPHTASE	0.00785703866575389	-4.84634550361514	14	3	0.0169491525423729	177	5821	56405,19252,13537	Dusp14,Dusp1,Dusp2
PR00044	LEUZIPPRMYC	0.00865451934391321	-4.74967362697256	5	2	0.0112994350282486	177	5821	16918,17869	Mycl,Myc
PR00057	NFKBTNSCPFCT	0.00865451934391321	-4.74967362697256	5	2	0.0112994350282486	177	5821	18034,18033	Nfkb2,Nfkb1
PR00424	ADENOSINER	0.00865451934391321	-4.74967362697256	5	2	0.0112994350282486	177	5821	11541,11540	Adora2b,Adora2a
PR00657	CCCHEMOKINER	0.0115603428386198	-4.46017475885762	16	3	0.0169491525423729	177	5821	12771,54199,12768	Ccr3,Ccrl2,Ccr1
PR01472	ICAMVCAM1	0.0127234103426038	-4.3643116483096	6	2	0.0112994350282486	177	5821	15894,22329	Icam1,Vcam1
PR00195	DYNAMIN	0.0174591376479042	-4.04789211994481	7	2	0.0112994350282486	177	5821	17857,17858	Mx1,Mx2
PR00387	PDIESTERASE1	0.0187135588979122	-3.97850694310663	19	3	0.0169491525423729	177	5821	18578,29863,242202	Pde4b,Pde7b,Pde5a
PR00676	MASPIN	0.0228178512106256	-3.78021210153105	8	2	0.0112994350282486	177	5821	20723,20706	Serpinb9,Serpinb9b
PR01788	PROSTANOIDR	0.0228178512106256	-3.78021210153105	8	2	0.0112994350282486	177	5821	19219,19222	Ptger4,Ptgir
PR02100	GENEIEX1	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	15937	Ier3
PR01563	G2ARECEPTOR	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	56696	Gpr132
PR00651	5HT2BRECEPTR	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	15559	Htr2b
PR01564	OGR1RECEPTOR	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	238377	Gpr68
PR00594	P2Y2PRNOCPTR	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	18442	P2ry2
PR01132	CONNEXINA1	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	14609	Gja1
PR01285	HMRNUCRECPTR	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	15370	Nr4a1
PR01834	VEGFRECEPTR2	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	16542	Kdr
PR01703	MNSODISMTASE	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	20656	Sod2
PR01108	CHEMOKINER3	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	12771	Ccr3
PR01833	VEGFRECEPTR1	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	14254	Flt1
PR00586	PRSTNOIDEP4R	0.0304071465381542	-3.49307761470584	1	1	0.00564971751412429	177	5821	19219	Ptger4
