TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-168256	Immune System	2.1892516732884e-12	-26.8474613321883	1678	102	0.373626373626374	273	8608	18126,231507,54123,12475,16878,15894,14130,16161,20821,28105,12703,15977,80910,18037,12524,14825,54483,18035,18792,18033,17470,56620,23912,15968,217306,74646,16174,238393,23845,228775,384783,15370,56708,192656,22329,16190,19204,20310,50930,21929,50723,15962,14293,14281,15969,16153,19419,15965,67245,56318,15967,20708,68713,16181,16193,330122,12182,286940,16175,240672,319520,24088,22164,67603,246779,16476,14289,16408,13136,326623,20568,58217,21949,17395,16819,108078,21926,18413,12700,21950,16438,15511,18591,12519,224840,14190,245126,12985,16176,16160,12702,240354,15439,21939,18034,16362,20201,246746,11600,12490,81897,15937	Nos2,Plac8,Irf7,Cd14,Lif,Icam1,Fcgr2b,Il12rb1,Trim21,Trim36,Socs1,Ifnb1,Gpr84,Nfkbie,Cd86,Cxcl1,Mefv,Nfkbia,Plau,Nfkb1,Cd200,Clec4n,Rhof,Ifna5,Cd300e,Spsb1,Il18rap,Serpina3f,Clec5a,Trib3,Irs2,Nr4a1,Clcf1,Ripk2,Vcam1,Il4ra,Ptafr,Cxcl2,Tnfsf14,Tnfaip3,Icosl,Ifna1,Fpr1,Fos,Ifna6,Il10,Rasgrp1,Ifna2,Peli1,Acpp,Ifna4,Serpinb6b,Ifitm1,Il1rn,Il6,Cxcl3,Bst1,Flnb,Il1a,Dusp5,Dusp4,Tlr2,Tnfsf4,Dusp6,Il27,Jun,Fpr2,Itgal,Cd55,Tnfsf15,Slpi,Trem1,Tnfsf8,Mmp9,Lcn2,Olr1,Tnf,Osm,Cish,Tnfsf9,Itpr1,Hspa1b,Pdgfb,Cd80,Treml4,Fgl2,Tarm1,Csf3,Il1b,Il12b,Socs3,Malt1,Hp,Cd40,Nfkb2,Irf1,S100a8,Cd300lf,Angpt1,Cd34,Tlr9,Ier3
R-MMU-373076	Class A/1 (Rhodopsin-like receptors)	2.73355602217973e-10	-22.0202475961278	299	33	0.120879120879121	273	8608	13051,17329,74191,80885,13618,11541,56696,11540,13614,11555,238377,64095,15558,330122,14293,19219,14825,12771,15559,20310,110168,19222,18442,14745,56066,20304,14289,54199,23832,19204,20312,15945,58182	Cx3cr1,Cxcl9,P2ry13,Hcar2,Ednrb,Adora2b,Gpr132,Adora2a,Edn1,Adrb2,Gpr68,Gpr35,Htr2a,Cxcl3,Fpr1,Ptger4,Cxcl1,Ccr3,Htr2b,Cxcl2,Gpr18,Ptgir,P2ry2,Lpar1,Cxcl11,Ccl5,Fpr2,Ccrl2,Xcr1,Ptafr,Cx3cl1,Cxcl10,Prokr1
R-MMU-109582	Hemostasis	1.1003301444027e-08	-18.3250704779032	515	42	0.153846153846154	273	8608	15969,108078,19222,19419,26570,242202,11600,12389,21825,16362,15962,20339,18792,22341,16975,14726,18791,68732,20971,58217,18787,18576,18788,15977,16408,21857,13660,19124,381290,15529,80879,18591,20501,16438,14676,54123,238393,15965,17133,15967,18126,15968	Ifna6,Olr1,Ptgir,Rasgrp1,Slc7a11,Pde5a,Angpt1,Cav1,Thbs1,Irf1,Ifna1,Sele,Plau,Vegfc,Lrp8,Pdpn,Plat,Carmil1,Sdc4,Trem1,Serpine1,Pde3b,Serpinb2,Ifnb1,Itgal,Timp1,Ehd1,Procr,Atp2b4,Sdc2,Slc16a3,Pdgfb,Slc16a1,Itpr1,Gna15,Irf7,Serpina3f,Ifna2,Maff,Ifna4,Nos2,Ifna5
R-MMU-1280215	Cytokine Signaling in Immune system	2.54132559985214e-08	-17.4879949093534	510	41	0.15018315018315	273	8608	18034,326623,16190,21939,12703,15977,192656,16153,18033,19419,15969,15962,50930,21949,11600,16878,16174,16181,21950,16193,15967,15968,21926,15965,67245,18413,12700,12985,16176,16160,12702,22164,67603,56708,246779,16161,18591,286940,16175,240672,384783	Nfkb2,Tnfsf15,Il4ra,Cd40,Socs1,Ifnb1,Ripk2,Il10,Nfkb1,Rasgrp1,Ifna6,Ifna1,Tnfsf14,Tnfsf8,Angpt1,Lif,Il18rap,Il1rn,Tnfsf9,Il6,Ifna4,Ifna5,Tnf,Ifna2,Peli1,Osm,Cish,Csf3,Il1b,Il12b,Socs3,Tnfsf4,Dusp6,Clcf1,Il27,Il12rb1,Pdgfb,Flnb,Il1a,Dusp5,Irs2
R-MMU-380108	Chemokine receptors bind chemokines	3.37027049632882e-08	-17.2056877368363	50	12	0.043956043956044	273	8608	15945,330122,23832,20312,54199,20304,56066,12771,17329,14825,20310,13051	Cxcl10,Cxcl3,Xcr1,Cx3cl1,Ccrl2,Ccl5,Cxcl11,Ccr3,Cxcl9,Cxcl1,Cxcl2,Cx3cr1
R-MMU-500792	GPCR ligand binding	3.95352838250507e-08	-17.0460723023662	401	35	0.128205128205128	273	8608	15558,238377,64095,330122,14706,11541,13614,11540,11555,56696,13618,80885,74191,13051,17329,20312,23832,19204,58182,15945,13136,54199,14289,18442,56066,14745,110168,19222,20304,19219,14293,20310,14825,12771,15559	Htr2a,Gpr68,Gpr35,Cxcl3,Gng4,Adora2b,Edn1,Adora2a,Adrb2,Gpr132,Ednrb,Hcar2,P2ry13,Cx3cr1,Cxcl9,Cx3cl1,Xcr1,Ptafr,Prokr1,Cxcl10,Cd55,Ccrl2,Fpr2,P2ry2,Cxcl11,Lpar1,Gpr18,Ptgir,Ccl5,Ptger4,Fpr1,Cxcl2,Cxcl1,Ccr3,Htr2b
R-MMU-168928	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	6.80270628999367e-08	-16.5033602271223	53	12	0.043956043956044	273	8608	16362,15962,21929,18035,15969,18033,15977,15965,15967,15968,54123,18034	Irf1,Ifna1,Tnfaip3,Nfkbia,Ifna6,Nfkb1,Ifnb1,Ifna2,Ifna4,Ifna5,Irf7,Nfkb2
R-MMU-933541	TRAF6 mediated IRF7 activation	2.99517125144099e-07	-15.0210942419134	23	8	0.0293040293040293	273	8608	15969,16362,15965,15977,54123,15962,15968,15967	Ifna6,Irf1,Ifna2,Ifnb1,Irf7,Ifna1,Ifna5,Ifna4
R-MMU-168249	Innate Immune System	1.5107638984955e-06	-13.4028951420148	1177	66	0.241758241758242	273	8608	19419,15937,81897,15969,14293,14281,15962,21929,20310,16362,11600,20201,18034,19204,15439,240354,192656,16176,15370,245126,14190,12519,18591,384783,15511,23845,228775,238393,23912,15968,217306,18033,16819,108078,56620,18035,18792,12524,80910,14825,54483,17395,58217,20568,13136,16408,15977,14289,67603,20821,16476,24088,14130,319520,240672,12182,54123,12475,330122,20708,18126,15967,231507,67245,15965,56318	Rasgrp1,Ier3,Tlr9,Ifna6,Fpr1,Fos,Ifna1,Tnfaip3,Cxcl2,Irf1,Angpt1,S100a8,Nfkb2,Ptafr,Hp,Malt1,Ripk2,Il1b,Nr4a1,Tarm1,Fgl2,Cd80,Pdgfb,Irs2,Hspa1b,Clec5a,Trib3,Serpina3f,Rhof,Ifna5,Cd300e,Nfkb1,Lcn2,Olr1,Clec4n,Nfkbia,Plau,Cd86,Gpr84,Cxcl1,Mefv,Mmp9,Trem1,Slpi,Cd55,Itgal,Ifnb1,Fpr2,Dusp6,Trim21,Jun,Tlr2,Fcgr2b,Dusp4,Dusp5,Bst1,Irf7,Cd14,Cxcl3,Serpinb6b,Nos2,Ifna4,Plac8,Peli1,Ifna2,Acpp
R-MMU-909733	Interferon alpha/beta signaling	1.65351792069087e-06	-13.3126054665483	28	8	0.0293040293040293	273	8608	15962,15967,15968,15965,15977,12703,12702,15969	Ifna1,Ifna4,Ifna5,Ifna2,Ifnb1,Socs1,Socs3,Ifna6
R-MMU-75205	Dissolution of Fibrin Clot	4.82756101408826e-06	-12.2411691838653	5	4	0.0146520146520147	273	8608	18792,18791,18788,18787	Plau,Plat,Serpinb2,Serpine1
R-MMU-912694	Regulation of IFNA signaling	1.17126739775274e-05	-11.3548390565056	26	7	0.0256410256410256	273	8608	15967,15968,15962,15977,15965,12703,15969	Ifna4,Ifna5,Ifna1,Ifnb1,Ifna2,Socs1,Ifna6
