TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00199	SCY	5.36011094763567e-14	-30.5572066278624	35	15	0.0487012987012987	308	9567	20304,56066,15945,20296,20302,17329,20299,20303,20293,20307,14825,20312,330122,20310,20306	Ccl5,Cxcl11,Cxcl10,Ccl2,Ccl3,Cxcl9,Ccl22,Ccl4,Ccl12,Ccl8,Cxcl1,Cx3cl1,Cxcl3,Cxcl2,Ccl7
SM00207	TNF	2.98503933005579e-07	-15.0244827283025	16	7	0.0227272727272727	308	9567	21949,22035,22164,21926,50930,21950,326623	Tnfsf8,Tnfsf10,Tnfsf4,Tnf,Tnfsf14,Tnfsf9,Tnfsf15
SM00338	BRLZ	4.09056703733926e-06	-12.4068269575829	51	10	0.0324675324675325	308	9567	16477,12609,16476,18030,81703,14282,17133,14281,53314,74481	Junb,Cebpd,Jun,Nfil3,Jdp2,Fosb,Maff,Fos,Batf,Batf2
SM00450	RHOD	5.26530497885892e-06	-12.1543714883468	23	7	0.0227272727272727	308	9567	70686,19252,240672,18218,13537,319520,67603	Dusp16,Dusp1,Dusp5,Dusp8,Dusp2,Dusp4,Dusp6
SM00195	DSPc	1.16105741202442e-05	-11.3635943129823	35	8	0.025974025974026	308	9567	67603,319520,70686,56405,19252,18218,240672,13537	Dusp6,Dusp4,Dusp16,Dusp14,Dusp1,Dusp8,Dusp5,Dusp2
SM00076	IFabd	8.738875369441e-05	-9.34514395984762	24	6	0.0194805194805195	308	9567	15962,15965,15977,15967,15968,15969	Ifna1,Ifna2,Ifnb1,Ifna4,Ifna5,Ifna6
SM00348	IRF	0.000116795614894532	-9.05508503198613	9	4	0.012987012987013	308	9567	16364,16362,15900,54123	Irf4,Irf1,Irf8,Irf7
SM00409	IG	0.000201011073626063	-8.51215055875577	377	26	0.0844155844155844	308	9567	58217,98365,83382,14130,71306,217306,13003,50723,17470,328830,381484,245126,22329,16174,20348,14254,15894,224840,71566,16542,93842,246746,12519,240354,320148,12522	Trem1,Slamf9,Siglece,Fcgr2b,Mfap3l,Cd300e,Vcan,Icosl,Cd200,A530064D06Rik,Gm5150,Tarm1,Vcam1,Il18rap,Sema3c,Flt1,Icam1,Treml4,Clmp,Kdr,Igsf9,Cd300lf,Cd80,Malt1,B430306N03Rik,Cd83
SM00126	IL6	0.00103319653610907	-6.87509784933332	2	2	0.00649350649350649	308	9567	12985,16193	Csf3,Il6
SM00080	LIF_OSM	0.00103319653610907	-6.87509784933332	2	2	0.00649350649350649	308	9567	18413,16878	Osm,Lif
SM01243	IRF-3	0.00105034600238895	-6.85863564300978	7	3	0.00974025974025974	308	9567	54123,15900,16364	Irf7,Irf8,Irf4
SM00093	SERPIN	0.00360910274345183	-5.62429608505067	62	7	0.0227272727272727	308	9567	20708,238393,18788,18787,20706,20723,20715	Serpinb6b,Serpina3f,Serpinb2,Serpine1,Serpinb9b,Serpinb9,Serpina3g
SM00471	HDc	0.00574798834512569	-5.15890533840734	23	4	0.012987012987013	308	9567	18578,29863,18576,242202	Pde4b,Pde7b,Pde3b,Pde5a
SM00302	GED	0.0142224374971281	-4.25293445599648	6	2	0.00649350649350649	308	9567	17858,17857	Mx2,Mx1
SM00034	CLECT	0.0144841162063843	-4.23470266402447	119	9	0.0292207792207792	308	9567	20339,13003,23845,16633,56619,12515,108078,56620,17076	Sele,Vcan,Clec5a,Klra2,Clec4e,Cd69,Olr1,Clec4n,Ly75
SM01332	Cyclin_C	0.0160722144152323	-4.13066331064061	17	3	0.00974025974025974	308	9567	12443,12447,12444	Ccnd1,Ccne1,Ccnd2
SM00179	EGF_CA	0.0168116398352112	-4.08568378514683	122	9	0.0292207792207792	308	9567	16997,16975,20339,13003,16449,16835,52614,21825,18128	Ltbp2,Lrp8,Sele,Vcan,Jag1,Ldlr,Adgre4,Thbs1,Notch1
SM00053	DYNc	0.0194912740955178	-3.93778839584365	7	2	0.00649350649350649	308	9567	17857,17858	Mx1,Mx2
SM00253	SOCS	0.0251018068145712	-3.6848154507909	20	3	0.00974025974025974	308	9567	12703,12702,12700	Socs1,Socs3,Cish
SM00969	SOCS_box	0.0251579869277081	-3.68257986117335	35	4	0.012987012987013	308	9567	12703,74646,12702,12700	Socs1,Spsb1,Socs3,Cish
SM00114	CARD	0.0320240606636272	-3.44126776297605	9	2	0.00649350649350649	308	9567	239319,12363	Card6,Casp4
SM00141	PDGF	0.0320240606636272	-3.44126776297605	9	2	0.00649350649350649	308	9567	18591,22341	Pdgfb,Vegfc
SM00470	ParB	0.0321940002096039	-3.43597517268745	1	1	0.00324675324675325	308	9567	76650	Srxn1
SM01342	TAN	0.0321940002096039	-3.43597517268745	1	1	0.00324675324675325	308	9567	11920	Atm
SM00186	FBG	0.0323519214828799	-3.43108186311043	22	3	0.00974025974025974	308	9567	11600,21923,14190	Angpt1,Tnc,Fgl2
