TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.950.30	-	1.01372866696496e-06	-13.8018752754226	9	7	0.00927152317880795	755	8819	20558,20556,20557,276950,237886,327978,20555	Slfn4,Slfn2,Slfn3,Slfn8,Slfn9,Slfn5,Slfn1
1.10.1410.20	-	1.77078790293304e-05	-10.9415008745312	12	7	0.00927152317880795	755	8819	23961,23960,246727,23962,231655,246730,246728	Oas1b,Oas1g,Oas3,Oasl2,Oasl1,Oas1a,Oas2
2.60.40.630	-	8.23703514970907e-05	-9.4042849977252	7	5	0.00662251655629139	755	8819	20846,20849,20847,20850,20848	Stat1,Stat4,Stat2,Stat5a,Stat3
1.10.532.10	-	8.23703514970907e-05	-9.4042849977252	7	5	0.00662251655629139	755	8819	20846,20848,20850,20847,20849	Stat1,Stat3,Stat5a,Stat2,Stat4
2.60.40.10	-	9.54829719682053e-05	-9.25656263037349	736	92	0.121854304635762	755	8819	71740,17295,246256,16160,21356,19294,20351,14254,170741,20353,74185,16456,319448,21923,20348,320148,14990,80719,60533,17470,328830,246154,12522,231805,213233,545812,50498,12524,16542,15975,380732,15894,14130,110557,68497,12986,28105,13003,14961,16001,14969,240354,12266,20266,15015,246746,83382,16174,22329,15039,12519,14960,16190,71306,217306,98365,19698,93842,16186,16330,71566,74748,72333,19271,16068,52118,75345,328833,140559,18596,14129,50723,19696,18033,16164,399558,54394,237253,15018,58217,18034,385658,286940,224840,26362,239849,381484,15042,15024,16161,17318,245126	Nectin4,Met,Fcgr4,Il12b,Tapbp,Nectin2,Sema4a,Flt1,Pilrb1,Sema4c,Gbe1,F11r,Fndc3a,Tnc,Sema3c,B430306N03Rik,H2-M2,Igsf6,Cd274,Cd200,A530064D06Rik,Vasn,Cd83,Pilra,Tapbpl,Pilrb2,Ebi3,Cd86,Kdr,Ifnar1,Milr1,Icam1,Fcgr2b,H2-Q6,Arel1,Csf3r,Trim36,Vcan,H2-Ab1,Igf1r,H2-Eb1,Malt1,C3,Scn1b,H2-Q4,Cd300lf,Siglece,Il18rap,Vcam1,H2-T22,Cd80,H2-Aa,Il4ra,Mfap3l,Cd300e,Slamf9,Relb,Igsf9,Il2rg,Inpp5b,Clmp,Slamf8,Palld,Ptprj,Il18bp,Pvr,Slamf7,Treml2,Igsf8,Pdgfrb,Fcgr1,Icosl,Rel,Nfkb1,Il13ra1,Flrt2,Crlf3,Lrp11,H2-Q7,Trem1,Nfkb2,Nxpe3,Flnb,Treml4,Axl,Cd200r4,Gm5150,H2-T24,H2-T10,Il12rb1,Mid1,Tarm1
3.30.505.10	-	0.000316138950444778	-8.05932872442698	109	21	0.0278145695364238	755	8819	12929,192157,16452,74030,56792,20779,20850,17973,20963,20847,17096,14191,12702,20849,20491,20848,15162,12703,12700,20846,16822	Crkl,Socs7,Jak2,Rin2,Stap1,Src,Stat5a,Nck1,Syk,Stat2,Lyn,Fgr,Socs3,Stat4,Sla,Stat3,Hck,Socs1,Cish,Stat1,Lcp2
2.170.150.30	-	0.000625177005319692	-7.37747573981233	3	3	0.00397350993377483	755	8819	80861,230073,71586	Dhx58,Ddx58,Ifih1
3.30.720.50	-	0.000793886936997233	-7.13856950358544	10	5	0.00662251655629139	755	8819	101187,74198,243771,78781,547253	Parp11,Dtx2,Parp12,Zc3hav1,Parp14
1.20.5.120	-	0.00234072624670832	-6.05729403592364	4	3	0.00397350993377483	755	8819	621823,19188,19186	Psme2b,Psme2,Psme1
1.20.120.180	-	0.00234072624670832	-6.05729403592364	4	3	0.00397350993377483	755	8819	19186,621823,19188	Psme1,Psme2b,Psme2
3.40.250.10	-	0.00237165466721843	-6.04416739562154	23	7	0.00927152317880795	755	8819	67603,70686,18218,13537,19252,240672,319520	Dusp6,Dusp16,Dusp8,Dusp2,Dusp1,Dusp5,Dusp4
1.10.150.60	-	0.00658787467635791	-5.02252448986561	15	5	0.00662251655629139	755	8819	214855,16468,71371,238247,75605	Arid5a,Jarid2,Arid5b,Arid4a,Kdm5b
3.40.50.12190	-	0.00732029967584478	-4.91710401252385	2	2	0.00264900662251656	755	8819	208263,240832	Tor1aip1,Tor1aip2
3.10.260.40	-	0.00732029967584478	-4.91710401252385	2	2	0.00264900662251656	755	8819	71458,320376	Bcor,Bcorl1
2.60.40.340	-	0.00735638079620336	-4.91218720683123	10	4	0.00529801324503311	755	8819	19696,18034,18033,19698	Rel,Nfkb2,Nfkb1,Relb
3.40.50.10140	-	0.0078629217066971	-4.84559702320189	28	7	0.00927152317880795	755	8819	24088,21899,142980,81897,16174,17874,21897	Tlr2,Tlr6,Tlr3,Tlr9,Il18rap,Myd88,Tlr1
3.60.20.10	-	0.00873522759348101	-4.74039128038569	22	6	0.00794701986754967	755	8819	16912,27053,19175,26443,16913,19171	Psmb9,Asns,Psmb6,Psma6,Psmb8,Psmb10
3.30.500.10	-	0.00877933440755541	-4.73535468200418	50	10	0.0132450331125828	755	8819	14990,15024,19124,110557,15042,15015,15039,15018,379043,667281	H2-M2,H2-T10,Procr,H2-Q6,H2-T24,H2-Q4,H2-T22,H2-Q7,Raet1e,H60b
1.20.1270.10	-	0.0107866761445426	-4.52944359679446	11	4	0.00529801324503311	755	8819	15505,193740,15512,15511	Hsph1,Hspa1a,Hspa2,Hspa1b
3.40.50.1240	-	0.0117603775002916	-4.44301923666193	17	5	0.00662251655629139	755	8819	11432,170768,17330,56318,72828	Acp2,Pfkfb3,Minpp1,Acpp,Ubash3b
2.30.29.30	-	0.0140431630706754	-4.26561961582429	398	47	0.0622516556291391	755	8819	22350,319924,22323,380921,75901,50780,19159,101809,110253,14026,20947,52857,69217,23797,210293,213783,114715,83436,71720,56193,14083,71302,384783,71801,102693,57915,26556,17909,98432,71704,224093,98496,231002,224860,19386,230837,215632,244650,73728,216991,109135,219140,68732,209630,319710,56792,320129	Ezr,Apba1,Vasp,Dgkh,Dcp1a,Rgs3,Cyth3,Spred3,Triobp,Evl,Swap70,Gramd1a,Plekha4,Akt3,Dock10,Plekhg1,Spred1,Plekha2,Osbpl3,Plek,Ptk2,Arhgap26,Irs2,Plekhf2,Phldb1,Tbc1d1,Homer1,Myo10,Phlpp1,Arhgef3,Fam43a,Pid1,Plekhn1,Plcl2,Ranbp2,Asap3,Psd4,Phlpp2,Psd,Adap2,Plekha5,Spata13,Carmil1,Frmd4a,Frmd6,Stap1,Grk3
2.60.34.10	-	0.0151011741273319	-4.19298278140721	12	4	0.00529801324503311	755	8819	15505,193740,15512,15511	Hsph1,Hspa1a,Hspa2,Hspa1b
1.10.101.10	-	0.0168277141542055	-4.08472809971822	7	3	0.00397350993377483	755	8819	17395,17386,17387	Mmp9,Mmp13,Mmp14
2.130.10.130	-	0.0191595263845635	-3.95495522571344	19	5	0.00662251655629139	755	8819	16401,16408,16402,16410,104099	Itga4,Itgal,Itga5,Itgav,Itga9
1.10.10.1880	-	0.0207105450166238	-3.87711228732875	3	2	0.00264900662251656	755	8819	223989,100121	Marf1,Tdrd7
1.20.1560.10	-	0.0237932593282957	-3.73835295991967	20	5	0.00662251655629139	755	8819	21355,27416,239273,21354,17250	Tap2,Abcc5,Abcc4,Tap1,Abcc1
3.60.40.10	-	0.026620644145601	-3.62606826850173	14	4	0.00529801324503311	755	8819	243382,242083,244650,98432	Ppm1k,Ppm1l,Phlpp2,Phlpp1
1.10.1300.10	-	0.0290917188782442	-3.53730171993452	21	5	0.00662251655629139	755	8819	18578,18576,29863,242202,18574	Pde4b,Pde3b,Pde7b,Pde5a,Pde1b
3.30.40.10	-	0.0303274121951074	-3.49570328254695	438	49	0.0649006622516556	755	8819	230674,170737,18854,70797,26374,75234,22033,20128,74198,76073,234135,53621,71956,76681,246198,231712,407821,71801,22670,66597,81018,268749,209387,75605,384309,69368,319236,236451,67118,30945,67338,75841,18711,219131,70998,209200,51902,17318,68350,22030,20821,80751,628705,74315,11796,94094,17246,56736,219132	Kdm4a,Znrf1,Pml,Ankib1,Cop1,Rnf19b,Traf5,Trim30a,Dtx2,Pcgf5,Nsd3,Cnot4,Rnf135,Trim12a,Mllt6,Trafd1,Znrf3,Plekhf2,Trim26,Trim13,Rnf114,Rnf31,Trim30d,Kdm5b,Trim56,Wdfy1,Trim12c,Phf11b,Bfar,Rnf19a,Rffl,Rnf139,Pikfyve,Phf11a,Phf6,Dtx3l,Rnf24,Mid1,Mul1,Traf2,Trim21,Rnf34,Phf11c,Rnf145,Birc3,Trim34a,Mdm2,Rnf14,Phf11d
