TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
19697	Rela (v-rel reticuloendotheliosis viral oncogene homolog A (avian))	5.14996817256447e-07	-14.4791051163863	41	16	0.0212483399734396	753	7778	16193,433759,15977,16476,16160,18033,20310,15945,18126,93759,18034,18035,20339,17684,12044,18036	Il6,Hdac1,Ifnb1,Jun,Il12b,Nfkb1,Cxcl2,Cxcl10,Nos2,Sirt1,Nfkb2,Nfkbia,Sele,Cited2,Bcl2a1a,Nfkbib
19766	Ripk1 (receptor (TNFRSF)-interacting serine-threonine kinase 1)	9.2660952246697e-07	-13.8917335872338	21	11	0.0146082337317397	753	7778	21926,16151,22030,16176,18412,56532,52440,21929,142980,12370,26410	Tnf,Ikbkg,Traf2,Il1b,Sqstm1,Ripk3,Tax1bp1,Tnfaip3,Tlr3,Casp8,Map3k8
22034	Traf6 (TNF receptor-associated factor 6)	1.86369149537854e-06	-13.1929513621698	100	26	0.0345285524568393	753	7778	18412,16364,68652,17874,192656,15511,142980,21929,73914,20963,58185,17684,26390,103213,15512,240354,231712,21939,16151,211550,13806,52440,54123,11461,17872,230738	Sqstm1,Irf4,Tab2,Myd88,Ripk2,Hspa1b,Tlr3,Tnfaip3,Irak3,Syk,Rsad2,Cited2,Mapkbp1,Traf3ip2,Hspa2,Malt1,Trafd1,Cd40,Ikbkg,Tifa,Eno1,Tax1bp1,Irf7,Actb,Ppp1r15a,Zc3h12a
26401	Map3k1 (mitogen-activated protein kinase kinase kinase 1)	2.79750689423441e-06	-12.7867819323364	19	10	0.0132802124833997	753	7778	26398,16151,21939,26395,20848,22030,26921,11796,16476,11797	Map2k4,Ikbkg,Cd40,Map2k1,Stat3,Traf2,Map4k4,Birc3,Jun,Birc2
18033	Nfkb1 (nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105)	2.79750689423441e-06	-12.7867819323364	19	10	0.0132802124833997	753	7778	19698,18126,433759,16193,26410,80859,18034,18035,20339,18033	Relb,Nos2,Hdac1,Il6,Map3k8,Nfkbiz,Nfkb2,Nfkbia,Sele,Nfkb1
26409	Map3k7 (mitogen-activated protein kinase kinase kinase 7)	3.06330318115057e-06	-12.6960167532456	41	15	0.0199203187250996	753	7778	69922,22030,16151,21939,414084,242083,68652,103213,11797,11796,240354,17874,20963,26398,142980	Vrk2,Traf2,Ikbkg,Cd40,Tnip3,Ppm1l,Tab2,Traf3ip2,Birc2,Birc3,Malt1,Myd88,Syk,Map2k4,Tlr3
15979	Ifngr1 (interferon gamma receptor 1)	8.40261782826629e-06	-11.6869672544444	5	5	0.00664010624169987	753	7778	12703,16452,19255,20846,75234	Socs1,Jak2,Ptpn2,Stat1,Rnf19b
16150	Ikbkb (inhibitor of kappaB kinase beta)	0.000110971492527563	-9.1062372137129	22	9	0.0119521912350598	753	7778	18035,71648,18036,12142,268749,21926,21939,16151,17684	Nfkbia,Optn,Nfkbib,Prdm1,Rnf31,Tnf,Cd40,Ikbkg,Cited2
74256	Cyld (CYLD lysine 63 deubiquitinase)	0.000134574605236327	-8.91339182693172	18	8	0.0106241699867198	753	7778	14281,20848,268749,192656,16151,12370,18412,16476	Fos,Stat3,Rnf31,Ripk2,Ikbkg,Casp8,Sqstm1,Jun
21929	Tnfaip3 (tumor necrosis factor, alpha-induced protein 3)	0.000166786081711953	-8.69879851449509	23	9	0.0119521912350598	753	7778	16176,52440,22030,12362,21929,414084,21926,57783,16151	Il1b,Tax1bp1,Traf2,Casp1,Tnfaip3,Tnip3,Tnf,Tnip1,Ikbkg
