TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR030385	G_IRG_dom	9.21204274039862e-17	-36.9234349593073	16	15	0.0104895104895105	1430	19984	60440,432555,15953,620913,15944,225594,240328,21822,245240,667214,54396,210146,631323,16145,240327	Iigp1,Gm5431,Ifi47,Gm12185,Irgm1,Gm4841,F830016B08Rik,Tgtp1,9930111J21Rik2,9930111J21Rik1,Irgm2,Irgq,Gm12250,Igtp,Gm4951
IPR007743	Immunity-related_GTPase-like	1.2183138028844e-15	-34.3413086209698	15	14	0.00979020979020979	1430	19984	15944,225594,620913,240328,15953,21822,245240,432555,60440,667214,631323,240327,16145,54396	Irgm1,Gm4841,Gm12185,F830016B08Rik,Ifi47,Tgtp1,9930111J21Rik2,Gm5431,Iigp1,9930111J21Rik1,Gm12250,Gm4951,Igtp,Irgm2
IPR040205	HIN-200	2.72630968472642e-12	-26.6280721850251	12	11	0.00769230769230769	1430	19984	226695,381308,15951,236312,545384,15950,623121,100033459,226691,100040462,383619	Ifi205,Ifi211,Ifi204,Ifi209,Ifi214,Ifi203,Ifi213,Ifi208,Ifi207,Mndal,Aim2
IPR036048	Interleukin_8-like_sf	1.03837884426583e-11	-25.2907753295701	37	18	0.0125874125874126	1430	19984	20299,56066,15945,20307,20306,57266,20308,20293,20304,14825,330122,20310,20296,20302,56744,20312,20303,17329	Ccl22,Cxcl11,Cxcl10,Ccl8,Ccl7,Cxcl14,Ccl9,Ccl12,Ccl5,Cxcl1,Cxcl3,Cxcl2,Ccl2,Ccl3,Pf4,Cx3cl1,Ccl4,Cxcl9
IPR001811	Chemokine_IL8-like_dom	1.03837884426583e-11	-25.2907753295701	37	18	0.0125874125874126	1430	19984	15945,20306,20307,57266,20308,20293,20299,56066,14825,20296,20310,20302,330122,56744,20303,20312,17329,20304	Cxcl10,Ccl7,Ccl8,Cxcl14,Ccl9,Ccl12,Ccl22,Cxcl11,Cxcl1,Ccl2,Cxcl2,Ccl3,Cxcl3,Pf4,Ccl4,Cx3cl1,Cxcl9,Ccl5
IPR011029	DEATH-like_dom_sf	8.10365283530083e-11	-23.2361210955902	84	26	0.0181818181818182	1430	19984	12633,71586,107607,54483,192656,11783,15950,11796,239319,18034,12370,100040462,12362,14102,73914,12363,240354,17874,268973,18033,12366,216799,11797,257632,383619,108960	Cflar,Ifih1,Nod1,Mefv,Ripk2,Apaf1,Ifi203,Birc3,Card6,Nfkb2,Casp8,Mndal,Casp1,Fas,Irak3,Casp4,Malt1,Myd88,Nlrc4,Nfkb1,Casp2,Nlrp3,Birc2,Nod2,Aim2,Irak2
IPR004021	HIN200/IF120x	4.49753171364645e-10	-21.5223221917283	10	9	0.00629370629370629	1430	19984	226691,383619,100040462,545384,15951,381308,236312,226695,15950	Ifi207,Aim2,Mndal,Ifi214,Ifi204,Ifi211,Ifi209,Ifi205,Ifi203
IPR004020	DAPIN	9.48959609452431e-09	-18.4730697863974	27	13	0.00909090909090909	1430	19984	226691,623121,100033459,15951,236312,381308,545384,54483,383619,100040462,226695,15950,216799	Ifi207,Ifi213,Ifi208,Ifi204,Ifi209,Ifi211,Ifi214,Mefv,Aim2,Mndal,Ifi205,Ifi203,Nlrp3
IPR006117	2-5-oligoadenylate_synth_CS	7.1086195389852e-08	-16.4593726766556	8	7	0.0048951048951049	1430	19984	23960,246728,246730,23961,23962,231655,246727	Oas1g,Oas2,Oas1a,Oas1b,Oasl2,Oasl1,Oas3
IPR013783	Ig-like_fold	1.00088128518564e-07	-16.1172147538765	736	92	0.0643356643356643	1430	19984	20348,71740,15042,16456,98365,320148,18034,26362,12524,246154,58217,21923,16542,21356,16174,17295,52118,60533,246746,22329,12522,19271,545812,328830,14969,319448,68497,213233,399558,380732,328833,71306,50498,74748,50723,381484,80719,14254,20353,19696,83382,18596,93842,239849,245126,72333,14130,14129,16001,16164,217306,15039,71566,20266,246256,385658,240354,15975,15018,16190,110557,12519,14990,14961,74185,237253,16330,20351,17318,75345,170741,17470,19698,54394,16161,15894,16160,15015,16186,224840,19294,18033,140559,231805,12986,13003,12266,286940,16068,28105,14960,15024	Sema3c,Nectin4,H2-T24,F11r,Slamf9,B430306N03Rik,Nfkb2,Axl,Cd86,Vasn,Trem1,Tnc,Kdr,Tapbp,Il18rap,Met,Pvr,Cd274,Cd300lf,Vcam1,Cd83,Ptprj,Pilrb2,A530064D06Rik,H2-Eb1,Fndc3a,Arel1,Tapbpl,Flrt2,Milr1,Treml2,Mfap3l,Ebi3,Slamf8,Icosl,Gm5150,Igsf6,Flt1,Sema4c,Rel,Siglece,Pdgfrb,Igsf9,Cd200r4,Tarm1,Palld,Fcgr2b,Fcgr1,Igf1r,Il13ra1,Cd300e,H2-T22,Clmp,Scn1b,Fcgr4,Nxpe3,Malt1,Ifnar1,H2-Q7,Il4ra,H2-Q6,Cd80,H2-M2,H2-Ab1,Gbe1,Lrp11,Inpp5b,Sema4a,Mid1,Slamf7,Pilrb1,Cd200,Relb,Crlf3,Il12rb1,Icam1,Il12b,H2-Q4,Il2rg,Treml4,Nectin2,Nfkb1,Igsf8,Pilra,Csf3r,Vcan,C3,Flnb,Il18bp,Trim36,H2-Aa,H2-T10
