TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04668	TNF signaling pathway	7.34051494680328e-26	-57.8738034214394	107	51	0.0715287517531557	713	7931	22029,11797,19225,22033,20310,330122,23797,20312,18033,16476,16193,15894,16477,16168,12977,20293,12702,26395,20304,16878,20296,12633,21929,432555,14281,13614,11796,12369,21938,17395,18035,17387,14102,21926,15945,22030,12370,18707,20339,26410,14825,16151,22329,56532,16176,68652,15953,257632,12367,26398,74568	Traf1,Birc2,Ptgs2,Traf5,Cxcl2,Cxcl3,Akt3,Cx3cl1,Nfkb1,Jun,Il6,Icam1,Junb,Il15,Csf1,Ccl12,Socs3,Map2k1,Ccl5,Lif,Ccl2,Cflar,Tnfaip3,Gm5431,Fos,Edn1,Birc3,Casp7,Tnfrsf1b,Mmp9,Nfkbia,Mmp14,Fas,Tnf,Cxcl10,Traf2,Casp8,Pik3cd,Sele,Map3k8,Cxcl1,Ikbkg,Vcam1,Ripk3,Il1b,Tab2,Ifi47,Nod2,Casp3,Map2k4,Mlkl
mmu04668	TNF signaling pathway	7.34051494680328e-26	-57.8738034214394	107	51	0.0715287517531557	713	7931	22033,20310,22029,11797,19225,20312,18033,16476,330122,23797,12977,20293,12702,26395,16193,15894,16477,16168,13614,11796,12369,21938,20304,16878,21929,12633,20296,432555,14281,22030,12370,18707,17395,18035,17387,14102,15945,21926,20339,26410,14825,15953,257632,16151,56532,22329,16176,68652,74568,12367,26398	Traf5,Cxcl2,Traf1,Birc2,Ptgs2,Cx3cl1,Nfkb1,Jun,Cxcl3,Akt3,Csf1,Ccl12,Socs3,Map2k1,Il6,Icam1,Junb,Il15,Edn1,Birc3,Casp7,Tnfrsf1b,Ccl5,Lif,Tnfaip3,Cflar,Ccl2,Gm5431,Fos,Traf2,Casp8,Pik3cd,Mmp9,Nfkbia,Mmp14,Fas,Cxcl10,Tnf,Sele,Map3k8,Cxcl1,Ifi47,Nod2,Ikbkg,Ripk3,Vcam1,Il1b,Tab2,Mlkl,Casp3,Map2k4
mmu05168	Herpes simplex infection	1.14109271953814e-25	-57.4326409956267	212	73	0.102384291725105	713	7931	18035,13163,54123,14102,21926,22030,56489,15957,110557,12370,142980,71586,72504,21354,23960,16149,15962,230073,24088,81897,15965,17874,14961,16151,16452,246730,16160,16176,12266,68652,15969,19106,12367,13063,15015,50930,15977,15968,22029,667373,15975,18036,15024,246728,246727,22033,14990,18854,14960,20846,18033,20684,16476,54721,231805,15967,16193,20847,14969,16168,15018,12702,20293,15042,20304,15039,21355,53319,230979,20296,14281,19294,23961	Nfkbia,Daxx,Irf7,Fas,Tnf,Traf2,Ikbke,Ifit1,H2-Q6,Casp8,Tlr3,Ifih1,Taf4b,Tap1,Oas1g,Cd74,Ifna1,Ddx58,Tlr2,Tlr9,Ifna2,Myd88,H2-Ab1,Ikbkg,Jak2,Oas1a,Il12b,Il1b,C3,Tab2,Ifna6,Eif2ak2,Casp3,Cycs,H2-Q4,Tnfsf14,Ifnb1,Ifna5,Traf1,Ifit1bl1,Ifnar1,Nfkbib,H2-T10,Oas2,Oas3,Traf5,H2-M2,Pml,H2-Aa,Stat1,Nfkb1,Sp100,Jun,Tyk2,Pilra,Ifna4,Il6,Stat2,H2-Eb1,Il15,H2-Q7,Socs3,Ccl12,H2-T24,Ccl5,H2-T22,Tap2,Nxf1,Tnfrsf14,Ccl2,Fos,Nectin2,Oas1b
ko05168	Herpes simplex infection	1.14109271953814e-25	-57.4326409956267	212	73	0.102384291725105	713	7931	15965,81897,230073,15962,16149,24088,23960,72504,71586,21354,142980,22030,56489,110557,12370,15957,21926,13163,18035,14102,54123,50930,15977,15015,12367,13063,19106,15969,16176,16160,12266,68652,14961,16151,16452,17874,246730,18033,20684,16476,54721,231805,20846,18854,14960,22033,14990,15975,18036,246727,246728,15024,667373,22029,15968,23961,19294,20296,230979,53319,14281,20304,21355,15039,12702,20293,15042,15018,14969,16168,15967,20847,16193	Ifna2,Tlr9,Ddx58,Ifna1,Cd74,Tlr2,Oas1g,Taf4b,Ifih1,Tap1,Tlr3,Traf2,Ikbke,H2-Q6,Casp8,Ifit1,Tnf,Daxx,Nfkbia,Fas,Irf7,Tnfsf14,Ifnb1,H2-Q4,Casp3,Cycs,Eif2ak2,Ifna6,Il1b,Il12b,C3,Tab2,H2-Ab1,Ikbkg,Jak2,Myd88,Oas1a,Nfkb1,Sp100,Jun,Tyk2,Pilra,Stat1,Pml,H2-Aa,Traf5,H2-M2,Ifnar1,Nfkbib,Oas3,Oas2,H2-T10,Ifit1bl1,Traf1,Ifna5,Oas1b,Nectin2,Ccl2,Tnfrsf14,Nxf1,Fos,Ccl5,Tap2,H2-T22,Socs3,Ccl12,H2-T24,H2-Q7,H2-Eb1,Il15,Ifna4,Stat2,Il6
ko04621	NOD-like receptor signaling pathway	3.11595189551055e-25	-56.4280926348596	169	64	0.0897615708274895	713	7931	16438,16176,68652,239319,14468,16151,17874,192656,246730,56532,268749,21353,257632,15969,55932,16173,107607,15977,15951,21926,268973,18035,54123,22030,56489,12370,15962,14825,23960,12363,15965,237038,15967,16193,20847,20293,69538,20296,21929,20304,59027,23961,383619,229900,69146,11796,12362,18036,15975,246727,246728,11797,15968,20310,14469,216799,22033,330122,18033,54721,16476,20846,54483,22166	Itpr1,Il1b,Tab2,Card6,Gbp2b,Ikbkg,Myd88,Ripk2,Oas1a,Ripk3,Rnf31,Tank,Nod2,Ifna6,Gbp3,Il18,Nod1,Ifnb1,Ifi204,Tnf,Nlrc4,Nfkbia,Irf7,Traf2,Ikbke,Casp8,Ifna1,Cxcl1,Oas1g,Casp4,Ifna2,Nox1,Ifna4,Il6,Stat2,Ccl12,Antxr1,Ccl2,Tnfaip3,Ccl5,Nampt,Oas1b,Aim2,Gbp7,Gsdmd,Birc3,Casp1,Nfkbib,Ifnar1,Oas3,Oas2,Birc2,Ifna5,Cxcl2,Gbp2,Nlrp3,Traf5,Cxcl3,Nfkb1,Tyk2,Jun,Stat1,Mefv,Txn1
mmu04621	NOD-like receptor signaling pathway	3.11595189551055e-25	-56.4280926348596	169	64	0.0897615708274895	713	7931	107607,16173,15977,68652,14468,239319,16438,16176,192656,56532,246730,16151,17874,21353,257632,268749,55932,15969,14825,15962,23960,12363,15965,21926,15951,54123,268973,18035,12370,56489,22030,20296,21929,20304,59027,383619,69146,229900,23961,11796,16193,20847,237038,15967,20293,69538,330122,16476,54721,18033,54483,22166,20846,246727,246728,18036,15975,12362,11797,15968,14469,20310,216799,22033	Nod1,Il18,Ifnb1,Tab2,Gbp2b,Card6,Itpr1,Il1b,Ripk2,Ripk3,Oas1a,Ikbkg,Myd88,Tank,Nod2,Rnf31,Gbp3,Ifna6,Cxcl1,Ifna1,Oas1g,Casp4,Ifna2,Tnf,Ifi204,Irf7,Nlrc4,Nfkbia,Casp8,Ikbke,Traf2,Ccl2,Tnfaip3,Ccl5,Nampt,Aim2,Gsdmd,Gbp7,Oas1b,Birc3,Il6,Stat2,Nox1,Ifna4,Ccl12,Antxr1,Cxcl3,Jun,Tyk2,Nfkb1,Mefv,Txn1,Stat1,Oas3,Oas2,Nfkbib,Ifnar1,Casp1,Birc2,Ifna5,Gbp2,Cxcl2,Nlrp3,Traf5
ko05164	Influenza A	5.85801498805158e-23	-51.1916463318996	168	61	0.0855539971949509	713	7931	23797,18033,16476,54721,20846,15511,15975,12362,18036,246727,246728,11461,15968,18854,14960,216799,58185,20296,53319,20304,56417,23961,15894,14969,16175,15967,20847,16193,12265,12702,20293,26395,230073,15962,22035,23960,71586,15965,21926,15945,18035,14102,54123,142980,18707,56489,13063,26398,16173,15977,16160,16176,16452,193740,14961,17874,246730,15512,19106,17858,15969	Akt3,Nfkb1,Jun,Tyk2,Stat1,Hspa1b,Ifnar1,Casp1,Nfkbib,Oas3,Oas2,Actb,Ifna5,Pml,H2-Aa,Nlrp3,Rsad2,Ccl2,Nxf1,Ccl5,Adar,Oas1b,Icam1,H2-Eb1,Il1a,Ifna4,Stat2,Il6,Ciita,Socs3,Ccl12,Map2k1,Ddx58,Ifna1,Tnfsf10,Oas1g,Ifih1,Ifna2,Tnf,Cxcl10,Nfkbia,Fas,Irf7,Tlr3,Pik3cd,Ikbke,Cycs,Map2k4,Il18,Ifnb1,Il12b,Il1b,Jak2,Hspa1a,H2-Ab1,Myd88,Oas1a,Hspa2,Eif2ak2,Mx2,Ifna6
mmu05164	Influenza A	5.85801498805158e-23	-51.1916463318996	168	61	0.0855539971949509	713	7931	23797,16476,54721,18033,15511,20846,246728,246727,18036,12362,15975,15968,11461,14960,18854,216799,53319,58185,20296,56417,20304,23961,14969,15894,12265,16193,20847,15967,16175,26395,12702,20293,22035,15962,230073,71586,23960,15965,15945,21926,54123,14102,18035,142980,18707,56489,26398,13063,16173,15977,16160,16176,15512,246730,17874,14961,193740,16452,17858,19106,15969	Akt3,Jun,Tyk2,Nfkb1,Hspa1b,Stat1,Oas2,Oas3,Nfkbib,Casp1,Ifnar1,Ifna5,Actb,H2-Aa,Pml,Nlrp3,Nxf1,Rsad2,Ccl2,Adar,Ccl5,Oas1b,H2-Eb1,Icam1,Ciita,Il6,Stat2,Ifna4,Il1a,Map2k1,Socs3,Ccl12,Tnfsf10,Ifna1,Ddx58,Ifih1,Oas1g,Ifna2,Cxcl10,Tnf,Irf7,Fas,Nfkbia,Tlr3,Pik3cd,Ikbke,Map2k4,Cycs,Il18,Ifnb1,Il12b,Il1b,Hspa2,Oas1a,Myd88,H2-Ab1,Hspa1a,Jak2,Mx2,Eif2ak2,Ifna6
ko05162	Measles	1.98902056394672e-19	-43.0614744282315	135	50	0.0701262272089762	713	7931	20848,15968,18036,15975,246728,246727,23797,15511,20846,18033,54721,15967,16175,16193,20847,56417,20850,21929,23961,18035,12447,54123,14102,16186,56489,18707,71586,23960,15962,230073,22035,24088,81897,56382,12444,15965,17874,193740,16452,246730,15512,12443,16160,16176,14130,68652,15969,17858,19106,15977	Stat3,Ifna5,Nfkbib,Ifnar1,Oas2,Oas3,Akt3,Hspa1b,Stat1,Nfkb1,Tyk2,Ifna4,Il1a,Il6,Stat2,Adar,Stat5a,Tnfaip3,Oas1b,Nfkbia,Ccne1,Irf7,Fas,Il2rg,Ikbke,Pik3cd,Ifih1,Oas1g,Ifna1,Ddx58,Tnfsf10,Tlr2,Tlr9,Rab9,Ccnd2,Ifna2,Myd88,Hspa1a,Jak2,Oas1a,Hspa2,Ccnd1,Il12b,Il1b,Fcgr2b,Tab2,Ifna6,Mx2,Eif2ak2,Ifnb1
mmu05162	Measles	1.98902056394672e-19	-43.0614744282315	135	50	0.0701262272089762	713	7931	16193,20847,16175,15967,21929,20850,56417,23961,246727,246728,15975,18036,15968,20848,23797,54721,18033,15511,20846,68652,14130,16176,16160,12443,246730,15512,16452,193740,17874,19106,17858,15969,15977,16186,14102,54123,18035,12447,18707,56489,24088,22035,230073,15962,23960,71586,15965,12444,56382,81897	Il6,Stat2,Il1a,Ifna4,Tnfaip3,Stat5a,Adar,Oas1b,Oas3,Oas2,Ifnar1,Nfkbib,Ifna5,Stat3,Akt3,Tyk2,Nfkb1,Hspa1b,Stat1,Tab2,Fcgr2b,Il1b,Il12b,Ccnd1,Oas1a,Hspa2,Jak2,Hspa1a,Myd88,Eif2ak2,Mx2,Ifna6,Ifnb1,Il2rg,Fas,Irf7,Nfkbia,Ccne1,Pik3cd,Ikbke,Tlr2,Tnfsf10,Ddx58,Ifna1,Oas1g,Ifih1,Ifna2,Ccnd2,Rab9,Tlr9
