TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF05049	IIGP	1.33401157538333e-15	-34.250585770256	15	14	0.0103857566765579	1348	18711	620913,60440,245240,15944,432555,225594,240327,16145,631323,54396,21822,667214,15953,240328	Gm12185,Iigp1,9930111J21Rik2,Irgm1,Gm5431,Gm4841,Gm4951,Igtp,Gm12250,Irgm2,Tgtp1,9930111J21Rik1,Ifi47,F830016B08Rik
PF00048	IL8	1.15620764100864e-11	-25.1832906485644	37	18	0.013353115727003	1348	18711	56744,20312,57266,20293,20310,17329,20296,56066,20307,20303,20302,20308,20304,15945,20306,14825,330122,20299	Pf4,Cx3cl1,Cxcl14,Ccl12,Cxcl2,Cxcl9,Ccl2,Cxcl11,Ccl8,Ccl4,Ccl3,Ccl9,Ccl5,Cxcl10,Ccl7,Cxcl1,Cxcl3,Ccl22
PF02760	HIN	4.77113805946726e-10	-21.4632660666071	10	9	0.00667655786350148	1348	18711	15950,383619,236312,100040462,226695,15951,381308,226691,545384	Ifi203,Aim2,Ifi209,Mndal,Ifi205,Ifi204,Ifi211,Ifi207,Ifi214
PF02758	PYRIN	1.02668598563464e-08	-18.3943446186354	27	13	0.00964391691394659	1348	18711	226695,236312,226691,15951,381308,15950,383619,623121,100040462,545384,100033459,54483,216799	Ifi205,Ifi209,Ifi207,Ifi204,Ifi211,Ifi203,Aim2,Ifi213,Mndal,Ifi214,Ifi208,Mefv,Nlrp3
PF00619	CARD	2.70823245216575e-07	-15.1217994605355	24	11	0.00816023738872404	1348	18711	107607,239319,12362,11797,12363,192656,268973,12366,257632,11796,11783	Nod1,Card6,Casp1,Birc2,Casp4,Ripk2,Nlrc4,Casp2,Nod2,Birc3,Apaf1
PF04326	AlbA_2	3.13992261428248e-07	-14.9738974964748	9	7	0.00519287833827893	1348	18711	20557,20556,327978,237886,20555,20558,276950	Slfn3,Slfn2,Slfn5,Slfn9,Slfn1,Slfn4,Slfn8
PF00644	PARP	2.89310038904589e-06	-12.7531818318997	15	8	0.00593471810089021	1348	18711	101187,243771,99929,235587,52552,547253,78781,671535	Parp11,Parp12,Tiparp,Parp3,Parp8,Parp14,Zc3hav1,Parp10
PF10421	OAS1_C	5.69114367486223e-06	-12.0765993326837	12	7	0.00519287833827893	1348	18711	246730,246727,23962,23960,23961,231655,246728	Oas1a,Oas3,Oasl2,Oas1g,Oas1b,Oasl1,Oas2
PF02841	GBP_C	1.1561274940574e-05	-11.3678494118244	13	7	0.00519287833827893	1348	18711	229900,236573,17472,14469,14468,76074,55932	Gbp7,Gbp9,Gbp4,Gbp2,Gbp2b,Gbp8,Gbp3
PF01017	STAT_alpha	3.57810399507992e-05	-10.2380924151636	7	5	0.00370919881305638	1348	18711	20847,20846,20849,20848,20850	Stat2,Stat1,Stat4,Stat3,Stat5a
PF02864	STAT_bind	3.57810399507992e-05	-10.2380924151636	7	5	0.00370919881305638	1348	18711	20847,20846,20848,20849,20850	Stat2,Stat1,Stat3,Stat4,Stat5a
PF02865	STAT_int	3.57810399507992e-05	-10.2380924151636	7	5	0.00370919881305638	1348	18711	20850,20849,20848,20846,20847	Stat5a,Stat4,Stat3,Stat1,Stat2
PF02263	GBP	3.81205834165573e-05	-10.1747561745588	15	7	0.00519287833827893	1348	18711	229900,236573,14468,14469,17472,55932,76074	Gbp7,Gbp9,Gbp2b,Gbp2,Gbp4,Gbp3,Gbp8
PF00017	SH2	5.41502389509853e-05	-9.82374817176643	97	19	0.0140949554896142	1348	18711	16822,20848,17973,12929,20846,20779,20849,17096,14191,16452,20963,192157,20491,12700,12702,12703,20850,20847,15162	Lcp2,Stat3,Nck1,Crkl,Stat1,Src,Stat4,Lyn,Fgr,Jak2,Syk,Socs7,Sla,Cish,Socs3,Socs1,Stat5a,Stat2,Hck
PF00643	zf-B_box	8.6144275489323e-05	-9.35948704537777	61	14	0.0103857566765579	1348	18711	17318,20821,76681,22670,28105,74735,66597,94094,319236,18854,384309,20128,209387,54483	Mid1,Trim21,Trim12a,Trim26,Trim36,Trim14,Trim13,Trim34a,Trim12c,Pml,Trim56,Trim30a,Trim30d,Mefv
PF01909	NTP_transf_2	8.74836805836113e-05	-9.34405828961128	12	6	0.00445103857566766	1348	18711	246730,246727,210106,23960,214290,246728	Oas1a,Oas3,Tent4a,Oas1g,Tut7,Oas2
PF00605	IRF	0.000189873856328638	-8.56915062035212	9	5	0.00370919881305638	1348	18711	54123,16364,16362,15900,16363	Irf7,Irf4,Irf1,Irf8,Irf2
PF07686	V-set	0.000264503015016424	-8.23765790780301	163	25	0.0185459940652819	1348	18711	52118,83382,224840,140559,12522,16456,13003,12519,58217,239849,381484,213233,320148,217306,20266,12524,60533,328833,328830,50723,71566,19294,98365,71740,246746	Pvr,Siglece,Treml4,Igsf8,Cd83,F11r,Vcan,Cd80,Trem1,Cd200r4,Gm5150,Tapbpl,B430306N03Rik,Cd300e,Scn1b,Cd86,Cd274,Treml2,A530064D06Rik,Icosl,Clmp,Nectin2,Slamf9,Nectin4,Cd300lf
PF01582	TIR	0.000333349342377982	-8.00631954166957	20	7	0.00519287833827893	1348	18711	16174,81897,21897,17874,24088,142980,21899	Il18rap,Tlr9,Tlr1,Myd88,Tlr2,Tlr3,Tlr6
PF11648	RIG-I_C-RD	0.000373148058704111	-7.89353527685489	3	3	0.00222551928783383	1348	18711	80861,71586,230073	Dhx58,Ifih1,Ddx58
PF11928	DUF3446	0.000373148058704111	-7.89353527685489	3	3	0.00222551928783383	1348	18711	13655,13654,13653	Egr3,Egr2,Egr1
PF09848	DUF2075	0.000373148058704111	-7.89353527685489	3	3	0.00222551928783383	1348	18711	327978,276950,237886	Slfn5,Slfn8,Slfn9
