TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01764	MAPKPHPHTASE	4.33882414623449e-07	-14.6504922736026	10	7	0.018716577540107	374	5821	19252,240672,319520,13537,18218,70686,67603	Dusp1,Dusp5,Dusp4,Dusp2,Dusp8,Dusp16,Dusp6
PR00437	SMALLCYTKCXC	1.12742930658882e-06	-13.6955704667913	11	7	0.018716577540107	374	5821	56066,56744,14825,330122,17329,15945,20310	Cxcl11,Pf4,Cxcl1,Cxcl3,Cxcl9,Cxcl10,Cxcl2
PR00376	IL1BCENZYME	1.1385515537503e-05	-11.383168577304	10	6	0.0160427807486631	374	5821	12366,12367,12363,12362,12369,12370	Casp2,Casp3,Casp4,Casp1,Casp7,Casp8
PR00042	LEUZIPPRFOS	5.0813373394426e-05	-9.88735098222978	8	5	0.0133689839572193	374	5821	14282,81703,14281,11910,53314	Fosb,Jdp2,Fos,Atf3,Batf
PR00057	NFKBTNSCPFCT	7.96605523042293e-05	-9.43773604696555	5	4	0.0106951871657754	374	5821	18034,19698,18033,19696	Nfkb2,Relb,Nfkb1,Rel
PR00267	INTFRNREGFCT	0.000108311920558082	-9.13049534022618	9	5	0.0133689839572193	374	5821	16363,16362,15900,16364,54123	Irf2,Irf1,Irf8,Irf4,Irf7
PR00141	PROTEASOME	0.000502487771578375	-7.59593925349456	7	4	0.0106951871657754	374	5821	19171,16912,16913,19175	Psmb10,Psmb9,Psmb8,Psmb6
PR01867	BCL2RLATEDA1	0.00100260732527771	-6.90515134688018	4	3	0.00802139037433155	374	5821	12044,12047,12045	Bcl2a1a,Bcl2a1d,Bcl2a1b
PR00266	INTERFERONAB	0.00337430806830877	-5.69156499247386	24	6	0.0160427807486631	374	5821	15967,15965,15969,15968,15977,15962	Ifna4,Ifna2,Ifna6,Ifna5,Ifnb1,Ifna1
PR00963	MARCKS	0.00411774880731542	-5.49244867094626	2	2	0.0053475935828877	374	5821	17118,17357	Marcks,Marcksl1
PR00433	IL6GCSFMGF	0.00411774880731542	-5.49244867094626	2	2	0.0053475935828877	374	5821	16193,12985	Il6,Csf3
PR00930	HIGHMOBLTYIY	0.00411774880731542	-5.49244867094626	2	2	0.0053475935828877	374	5821	15364,15361	Hmga2,Hmga1
PR01185	INTEGRINA	0.00454491378686237	-5.39374652031976	18	5	0.0133689839572193	374	5821	16410,104099,16401,16402,16408	Itgav,Itga9,Itga4,Itga5,Itgal
