TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-168256	Immune System	6.37772031486057e-29	-64.9221569807437	1678	272	0.359313077939234	757	8608	23845,18412,17164,16190,12929,16160,81018,240047,74096,75234,17973,16151,56318,12475,54721,12367,17079,14990,14960,240354,98432,13427,19271,21897,14961,18036,21929,20847,20963,17470,100038882,239849,50909,23912,13169,26398,16161,18033,114715,16363,224794,72065,74153,20779,330122,19419,20568,20708,74646,19088,240672,68713,12266,16570,17246,11796,56791,19255,16408,18413,19188,12985,52440,26443,228775,16819,22030,230073,16175,16362,15962,16186,78388,20821,12798,18591,12490,18641,22166,17311,20310,69146,18034,21926,72621,18707,20850,15969,16822,14191,16476,230979,67138,246746,15042,19171,21949,212032,50723,15439,380711,56620,12703,67245,16878,15370,28105,14190,81897,227960,257632,15968,17096,21355,16859,107607,14289,15018,19175,383619,319520,66681,19186,15024,58217,14083,15937,12370,24088,110557,12519,22164,22194,231507,11461,50930,17909,60533,16452,17395,108078,12524,12702,69116,245126,226849,68652,24110,224840,16912,20430,16438,54483,11783,56489,229841,75345,54123,12986,216799,99683,17874,15511,19698,16153,15015,22329,77371,30945,15039,21941,209200,16176,14293,16173,14825,18793,15894,19325,16193,244650,11600,76295,76089,50498,67603,240028,238393,384309,80910,20848,17295,170737,192656,16913,50770,21354,18596,15965,16706,18035,21899,13424,18792,16410,15975,16181,20201,384783,78757,14281,14026,11717,21950,142980,667034,16174,16169,19696,16164,246256,13136,12700,22323,19294,56708,246779,27007,53380,14969,18754,16068,58203,14130,73834,17474,73699,13690,16168,11797,74125,12362,106052,621823,18037,108960,20343,217306,14129,15967,20846,16149,18574,73914,286940,15977,21939,19204,13032,16401,68195,18126,326623,328833,26410,100037283,26395,21938,12182,12575,21356,93694	Clec5a,Sqstm1,Mapkapk2,Il4ra,Crkl,Il12b,Rnf114,Mmp25,Hvcn1,Rnf19b,Nck1,Ikbkg,Acpp,Cd14,Tyk2,Casp3,Cd180,H2-M2,H2-Aa,Malt1,Phlpp1,Dync1i2,Ptprj,Tlr1,H2-Ab1,Nfkbib,Tnfaip3,Stat2,Syk,Cd200,Isg15,Cd200r4,C1ra,Rhof,Dbnl,Map2k4,Il12rb1,Nfkb1,Spred1,Irf2,Enpp4,Rap2c,Uba7,Src,Cxcl3,Rasgrp1,Slpi,Serpinb6b,Spsb1,Prkar2b,Dusp5,Ifitm1,C3,Kif3c,Mdm2,Birc3,Ube2l6,Ptpn2,Itgal,Osm,Psme2,Csf3,Tax1bp1,Psma6,Trib3,Lcn2,Traf2,Ddx58,Il1a,Irf1,Ifna1,Il2rg,Mvp,Trim21,Cnn2,Pdgfb,Cd34,Pfkl,Txn1,Kitl,Cxcl2,Gsdmd,Nfkb2,Tnf,Pdzd11,Pik3cd,Stat5a,Ifna6,Lcp2,Fgr,Jun,Tnfrsf14,Herc6,Cd300lf,H2-T24,Psmb10,Tnfsf8,Hk3,Icosl,Hp,Rap1gap2,Clec4n,Socs1,Peli1,Lif,Nr4a1,Trim36,Fgl2,Tlr9,Gca,Nod2,Ifna5,Lyn,Tap2,Lgals9,Nod1,Fpr2,H2-Q7,Psmb6,Aim2,Dusp4,Pgm1,Psme1,H2-T10,Trem1,Ptk2,Ier3,Casp8,Tlr2,H2-Q6,Cd80,Tnfsf4,Ube2e1,Plac8,Actb,Tnfsf14,Myo10,Cd274,Jak2,Mmp9,Olr1,Cd86,Socs3,Ubr4,Tarm1,Ppp2r5a,Tab2,Usp18,Treml4,Psmb9,Cyfip1,Itpr1,Mefv,Apaf1,Ikbke,Cenpe,Slamf7,Irf7,Csf3r,Nlrp3,Sec24b,Myd88,Hspa1b,Relb,Il10,H2-Q4,Vcam1,Sec24a,Rnf19a,H2-T22,Tnfrsf8,Dtx3l,Il1b,Fpr1,Il18,Cxcl1,Plaur,Icam1,Rab10,Il6,Phlpp2,Angpt1,Atp11b,Rapgef2,Ebi3,Dusp6,Lnpep,Serpina3f,Trim56,Gpr84,Stat3,Met,Znrf1,Ripk2,Psmb8,Atp11a,Tap1,Pdgfrb,Ifna2,Ksr1,Nfkbia,Tlr6,Dync1h1,Plau,Itgav,Ifnar1,Il1rn,S100a8,Irs2,Rictor,Fos,Evl,Ampd3,Tnfsf9,Tlr3,Pnp2,Il18rap,Il15ra,Rel,Il13ra1,Fcgr4,Cd55,Cish,Vasp,Nectin2,Clcf1,Il27,Klrk1,Psmd10,H2-Eb1,Prkce,Il18bp,Zbp1,Fcgr2b,Atp6v1d,Clec4d,Ppp2r1b,Eif4g2,Il15,Birc2,Armc8,Casp1,Fbxo4,Psme2b,Nfkbie,Irak2,Sell,Cd300e,Fcgr1,Ifna4,Stat1,Cd74,Pde1b,Irak3,Flnb,Ifnb1,Cd40,Ptafr,Ctsc,Itga4,Rnaset2b,Nos2,Tnfsf15,Treml2,Map3k8,Rnaset2a,Map2k1,Tnfrsf1b,Bst1,Cdkn1a,Tapbp,Clec2d
R-MMU-1280215	Cytokine Signaling in Immune system	4.92143123130064e-18	-39.8529322850211	510	106	0.14002642007926	757	8608	22164,22194,326623,14083,21939,19186,19175,15977,286940,15967,20846,73914,107607,108960,24110,68652,226849,12702,21938,16452,26395,50930,26410,53380,19171,246779,56708,21949,12700,230979,16164,16169,16174,18707,15969,20850,21926,18034,16859,621823,11797,12362,15968,17096,257632,16168,13690,73699,16878,12703,16068,67245,22030,19188,12985,26443,17295,20848,11796,18413,19255,192656,16913,56791,240672,67603,76089,50498,19419,21950,384783,16181,17311,18591,15975,16706,15962,16186,15965,18596,16175,16153,19698,54721,12367,17874,12986,16151,12929,16190,16160,18412,16912,11600,74153,16193,20779,16173,114715,18033,16161,21941,20847,20963,16176,100038882	Tnfsf4,Ube2e1,Tnfsf15,Ptk2,Cd40,Psme1,Psmb6,Ifnb1,Flnb,Ifna4,Stat1,Irak3,Nod1,Irak2,Usp18,Tab2,Ppp2r5a,Socs3,Tnfrsf1b,Jak2,Map2k1,Tnfsf14,Map3k8,Psmd10,Psmb10,Il27,Clcf1,Tnfsf8,Cish,Tnfrsf14,Il13ra1,Il15ra,Il18rap,Pik3cd,Ifna6,Stat5a,Tnf,Nfkb2,Lgals9,Psme2b,Birc2,Casp1,Ifna5,Lyn,Nod2,Il15,Eif4g2,Ppp2r1b,Lif,Socs1,Il18bp,Peli1,Traf2,Psme2,Csf3,Psma6,Met,Stat3,Birc3,Osm,Ptpn2,Ripk2,Psmb8,Ube2l6,Dusp5,Dusp6,Rapgef2,Ebi3,Rasgrp1,Tnfsf9,Irs2,Il1rn,Kitl,Pdgfb,Ifnar1,Ksr1,Ifna1,Il2rg,Ifna2,Pdgfrb,Il1a,Il10,Relb,Tyk2,Casp3,Myd88,Csf3r,Ikbkg,Crkl,Il4ra,Il12b,Sqstm1,Psmb9,Angpt1,Uba7,Il6,Src,Il18,Spred1,Nfkb1,Il12rb1,Tnfrsf8,Stat2,Syk,Il1b,Isg15
R-MMU-168249	Innate Immune System	1.01207667900492e-13	-29.92160187116	1177	175	0.231175693527081	757	8608	73834,17474,73699,18754,58203,14130,74125,12362,621823,246256,13136,667034,27007,53380,26395,100037283,26410,21938,12182,12575,15977,108960,20343,217306,14129,15967,18574,68195,18126,19204,13032,15039,16176,19325,244650,11600,14293,14825,18793,11783,56489,16912,20430,54483,216799,17874,15511,19698,15015,54123,16410,18596,15965,16706,21899,18035,13424,18792,20201,384783,78757,14281,11717,142980,67603,238393,384309,80910,76295,76089,17295,16913,192656,50770,15370,67245,15968,17096,14190,81897,227960,257632,16822,14191,16476,18034,72621,18707,15969,15439,56620,15042,19171,212032,17909,16452,17395,12524,108078,11461,231507,226849,68652,69116,245126,319520,66681,383619,19175,15024,19186,107607,14289,15018,12519,58217,14083,15937,24088,12370,110557,21929,18036,20963,19271,21897,72065,20779,330122,13169,23912,50909,26398,18033,114715,224794,16363,23845,17164,56318,12475,17079,14990,240354,98432,240047,74096,17973,16151,78388,20821,12798,15962,16362,16186,20310,69146,18591,18641,17311,22166,20708,19088,240672,12266,19419,20568,19188,52440,26443,228775,16819,230073,17246,16408	Atp6v1d,Clec4d,Ppp2r1b,Prkce,Zbp1,Fcgr2b,Armc8,Casp1,Psme2b,Fcgr4,Cd55,Pnp2,Klrk1,Psmd10,Map2k1,Rnaset2a,Map3k8,Tnfrsf1b,Bst1,Cdkn1a,Ifnb1,Irak2,Sell,Cd300e,Fcgr1,Ifna4,Pde1b,Rnaset2b,Nos2,Ptafr,Ctsc,H2-T22,Il1b,Rab10,Phlpp2,Angpt1,Fpr1,Cxcl1,Plaur,Apaf1,Ikbke,Psmb9,Cyfip1,Mefv,Nlrp3,Myd88,Hspa1b,Relb,H2-Q4,Irf7,Itgav,Pdgfrb,Ifna2,Ksr1,Tlr6,Nfkbia,Dync1h1,Plau,S100a8,Irs2,Rictor,Fos,Ampd3,Tlr3,Dusp6,Serpina3f,Trim56,Gpr84,Atp11b,Rapgef2,Met,Psmb8,Ripk2,Atp11a,Nr4a1,Peli1,Ifna5,Lyn,Fgl2,Tlr9,Gca,Nod2,Lcp2,Fgr,Jun,Nfkb2,Pdzd11,Pik3cd,Ifna6,Hp,Clec4n,H2-T24,Psmb10,Hk3,Myo10,Jak2,Mmp9,Cd86,Olr1,Actb,Plac8,Ppp2r5a,Tab2,Ubr4,Tarm1,Dusp4,Pgm1,Aim2,Psmb6,H2-T10,Psme1,Nod1,Fpr2,H2-Q7,Cd80,Trem1,Ptk2,Ier3,Tlr2,Casp8,H2-Q6,Tnfaip3,Nfkbib,Syk,Ptprj,Tlr1,Rap2c,Src,Cxcl3,Dbnl,Rhof,C1ra,Map2k4,Nfkb1,Spred1,Enpp4,Irf2,Clec5a,Mapkapk2,Acpp,Cd14,Cd180,H2-M2,Malt1,Phlpp1,Mmp25,Hvcn1,Nck1,Ikbkg,Mvp,Trim21,Cnn2,Ifna1,Irf1,Il2rg,Cxcl2,Gsdmd,Pdgfb,Pfkl,Kitl,Txn1,Serpinb6b,Prkar2b,Dusp5,C3,Rasgrp1,Slpi,Psme2,Tax1bp1,Psma6,Trib3,Lcn2,Ddx58,Mdm2,Itgal
R-MMU-1280218	Adaptive Immune System	7.07428351988051e-13	-27.9771400397962	594	105	0.138705416116248	757	8608	15024,19186,21939,19175,16149,15018,18037,20343,14129,217306,328833,12519,16401,110557,58217,15937,12524,60533,26410,93694,224840,226849,68652,12575,21356,230979,19696,16822,18707,14969,53380,50723,27007,380711,19171,22323,19294,246746,67138,15042,73699,28105,15370,106052,621823,21355,17096,68713,16570,12266,74646,240028,19419,21354,19188,228775,26443,17246,17295,170737,16913,16408,192656,20821,16410,18035,13424,18596,78757,14026,384783,17311,18591,12490,81018,16438,16912,14990,14960,240354,15015,98432,99683,17973,16151,229841,75345,75234,209200,20963,17470,18036,15039,13427,19271,14961,22329,77371,30945,15894,74153,244650,20779,239849,18033	H2-T10,Psme1,Cd40,Psmb6,Cd74,H2-Q7,Nfkbie,Sell,Fcgr1,Cd300e,Treml2,Cd80,Itga4,H2-Q6,Trem1,Ier3,Cd86,Cd274,Map3k8,Clec2d,Treml4,Ppp2r5a,Tab2,Cdkn1a,Tapbp,Tnfrsf14,Rel,Lcp2,Pik3cd,H2-Eb1,Psmd10,Icosl,Klrk1,Rap1gap2,Psmb10,Vasp,Nectin2,Cd300lf,Herc6,H2-T24,Ppp2r1b,Trim36,Nr4a1,Fbxo4,Psme2b,Tap2,Lyn,Ifitm1,Kif3c,C3,Spsb1,Lnpep,Rasgrp1,Tap1,Psme2,Trib3,Psma6,Mdm2,Met,Znrf1,Psmb8,Itgal,Ripk2,Trim21,Itgav,Nfkbia,Dync1h1,Pdgfrb,Rictor,Evl,Irs2,Kitl,Pdgfb,Cd34,Rnf114,Itpr1,Psmb9,H2-M2,H2-Aa,Malt1,H2-Q4,Phlpp1,Sec24b,Nck1,Ikbkg,Cenpe,Slamf7,Rnf19b,Dtx3l,Syk,Cd200,Nfkbib,H2-T22,Dync1i2,Ptprj,H2-Ab1,Vcam1,Sec24a,Rnf19a,Icam1,Uba7,Phlpp2,Src,Cd200r4,Nfkb1
R-MMU-449147	Signaling by Interleukins	1.76794328209669e-10	-22.4560340465016	388	73	0.0964332892998679	757	8608	384783,226849,68652,12702,18591,17311,16181,16452,26395,26410,18596,16175,16706,16186,19188,12985,26443,20848,14083,17295,16913,192656,18413,19175,67603,19186,240672,108960,107607,19419,20846,76089,50498,73914,12362,16193,20779,11600,621823,16859,16161,18033,114715,16173,257632,16168,16878,73699,20963,16176,16068,67245,54721,12367,17874,16153,53380,19171,12986,56708,16151,246779,16164,16169,16160,16190,12929,18034,16912,18412,18707,16174,20850	Irs2,Ppp2r5a,Tab2,Socs3,Pdgfb,Kitl,Il1rn,Jak2,Map2k1,Map3k8,Pdgfrb,Il1a,Ksr1,Il2rg,Psme2,Csf3,Psma6,Stat3,Ptk2,Met,Psmb8,Ripk2,Osm,Psmb6,Dusp6,Psme1,Dusp5,Irak2,Nod1,Rasgrp1,Stat1,Rapgef2,Ebi3,Irak3,Casp1,Il6,Src,Angpt1,Psme2b,Lgals9,Il12rb1,Nfkb1,Spred1,Il18,Nod2,Il15,Lif,Ppp2r1b,Syk,Il1b,Il18bp,Peli1,Tyk2,Casp3,Myd88,Il10,Psmd10,Psmb10,Csf3r,Clcf1,Ikbkg,Il27,Il13ra1,Il15ra,Il12b,Il4ra,Crkl,Nfkb2,Psmb9,Sqstm1,Pik3cd,Il18rap,Stat5a
R-MMU-109582	Hemostasis	4.05026020816391e-10	-21.6270698019565	515	88	0.116248348745046	757	8608	16456,17133,18754,56744,17096,80879,20912,15968,13660,19073,14191,16822,54216,16402,19222,18787,20501,15969,18707,20969,15529,14733,14676,16452,108078,18788,104709,16578,17135,15977,16975,68732,380921,20343,15081,18574,26570,16149,15967,18126,242202,58217,14083,19124,16401,71946,20971,20339,381290,20963,70839,13139,22341,20779,56055,14058,11600,18791,16363,18793,21857,16438,12389,17134,229841,54123,14726,20539,18576,20737,15965,18792,50934,16186,15962,16362,18783,21825,18591,22145,16570,238393,19088,19419,56193,320207,16408,239273	F11r,Maff,Prkce,Pf4,Lyn,Slc16a3,Stxbp3,Ifna5,Ehd1,Srgn,Fgr,Lcp2,Pcdh7,Itga5,Ptgir,Serpine1,Slc16a1,Ifna6,Pik3cd,Sdc1,Sdc2,Gpc1,Gna15,Jak2,Olr1,Serpinb2,Pik3r6,Kif9,Mafk,Ifnb1,Lrp8,Carmil1,Dgkh,Sell,H3f3b,Pde1b,Slc7a11,Cd74,Ifna4,Nos2,Pde5a,Trem1,Ptk2,Procr,Itga4,Endod1,Sdc4,Sele,Atp2b4,Syk,P2ry12,Dgka,Vegfc,Src,Gtpbp2,F10,Angpt1,Plat,Irf2,Plaur,Timp1,Itpr1,Cav1,Mafg,Cenpe,Irf7,Pdpn,Slc7a5,Pde3b,Spn,Ifna2,Plau,Slc7a8,Il2rg,Ifna1,Irf1,Pla2g4a,Thbs1,Pdgfb,Tuba4a,Kif3c,Serpina3f,Prkar2b,Rasgrp1,Plek,Pik3r5,Itgal,Abcc4
R-MMU-913531	Interferon Signaling	2.10194577833988e-08	-17.6778172671015	61	21	0.0277410832232497	757	8608	12703,15965,20846,15967,15969,15962,286940,15977,16452,15975,20847,100038882,12702,13690,56791,19255,15968,54721,74153,24110,22194	Socs1,Ifna2,Stat1,Ifna4,Ifna6,Ifna1,Flnb,Ifnb1,Jak2,Ifnar1,Stat2,Isg15,Socs3,Eif4g2,Ube2l6,Ptpn2,Ifna5,Tyk2,Uba7,Usp18,Ube2e1
R-MMU-168928	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	4.68377157561774e-08	-16.8765770663536	53	19	0.0250990752972259	757	8608	16151,16363,54123,18033,230073,17874,15968,52440,15969,15962,16362,15967,18035,18034,15965,56489,21929,18036,15977	Ikbkg,Irf2,Irf7,Nfkb1,Ddx58,Myd88,Ifna5,Tax1bp1,Ifna6,Ifna1,Irf1,Ifna4,Nfkbia,Nfkb2,Ifna2,Ikbke,Tnfaip3,Nfkbib,Ifnb1
R-MMU-909733	Interferon alpha/beta signaling	1.82975545474603e-07	-15.5139133243208	28	13	0.0171730515191546	757	8608	15965,12703,15962,15969,20846,15967,15977,20847,15975,12702,54721,15968,24110	Ifna2,Socs1,Ifna1,Ifna6,Stat1,Ifna4,Ifnb1,Stat2,Ifnar1,Socs3,Tyk2,Ifna5,Usp18
R-MMU-5218859	Regulated Necrosis	4.0137490446571e-07	-14.7283699225543	14	9	0.011889035667107	757	8608	11797,22035,74568,22030,11796,12633,14102,56532,12370	Birc2,Tnfsf10,Mlkl,Traf2,Birc3,Cflar,Fas,Ripk3,Casp8
