TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00199	SCY	6.77734209641774e-10	-21.1122659260259	35	17	0.0206561360874848	823	9567	17329,330122,20302,20310,20312,20293,20306,20304,56744,15945,20299,20303,20296,14825,20307,56066,20308	Cxcl9,Cxcl3,Ccl3,Cxcl2,Cx3cl1,Ccl12,Ccl7,Ccl5,Pf4,Cxcl10,Ccl22,Ccl4,Ccl2,Cxcl1,Ccl8,Cxcl11,Ccl9
SM01289	PYRIN	8.2649708874531e-08	-16.3086545350748	27	13	0.0157958687727825	823	9567	15951,15950,623121,381308,100040462,545384,226695,216799,54483,226691,100033459,383619,236312	Ifi204,Ifi203,Ifi213,Ifi211,Mndal,Ifi214,Ifi205,Nlrp3,Mefv,Ifi207,Ifi208,Aim2,Ifi209
SM00115	CASc	8.24392021603026e-06	-11.7060345728055	11	7	0.00850546780072904	823	9567	12362,12363,12633,12370,12367,12366,12369	Casp1,Casp4,Cflar,Casp8,Casp3,Casp2,Casp7
SM00114	CARD	2.6658080562096e-05	-10.5324182427262	9	6	0.00729040097205346	823	9567	12366,239319,12362,11797,11796,12363	Casp2,Card6,Casp1,Birc2,Birc3,Casp4
SM00964	STAT_int	8.43991812088867e-05	-9.37995285772593	7	5	0.00607533414337789	823	9567	20850,20848,20849,20847,20846	Stat5a,Stat3,Stat4,Stat2,Stat1
SM00207	TNF	0.000194443432143891	-8.54536927451362	16	7	0.00850546780072904	823	9567	21949,22164,21926,22035,50930,21950,326623	Tnfsf8,Tnfsf4,Tnf,Tnfsf10,Tnfsf14,Tnfsf9,Tnfsf15
SM00338	BRLZ	0.00028015567220153	-8.18016513714196	51	13	0.0157958687727825	823	9567	14281,14282,81703,18030,17135,16476,17134,53314,74481,11910,17133,12609,16477	Fos,Fosb,Jdp2,Nfil3,Mafk,Jun,Mafg,Batf,Batf2,Atf3,Maff,Cebpd,Junb
SM00336	BBOX	0.000305869551187714	-8.09235185021311	58	14	0.0170109356014581	823	9567	66597,94094,54483,18854,20128,74735,17318,76681,384309,319236,22670,209387,28105,20821	Trim13,Trim34a,Mefv,Pml,Trim30a,Trim14,Mid1,Trim12a,Trim56,Trim12c,Trim26,Trim30d,Trim36,Trim21
SM00348	IRF	0.000437125224350016	-7.73529084934091	9	5	0.00607533414337789	823	9567	54123,16363,16362,15900,16364	Irf7,Irf2,Irf1,Irf8,Irf4
SM00461	WH1	0.00138448411007056	-6.58242769243569	11	5	0.00607533414337789	823	9567	114715,14026,22323,101809,26556	Spred1,Evl,Vasp,Spred3,Homer1
SM00184	RING	0.00203236189526636	-6.19855666705932	228	33	0.040097205346294	823	9567	67118,80751,74315,70797,66597,26374,11796,75841,76073,22033,17318,170737,30945,209200,11797,71956,75234,74198,94094,22030,28105,407821,22670,209387,81018,20821,67338,18854,20128,319236,51902,384309,76681	Bfar,Rnf34,Rnf145,Ankib1,Trim13,Cop1,Birc3,Rnf139,Pcgf5,Traf5,Mid1,Znrf1,Rnf19a,Dtx3l,Birc2,Rnf135,Rnf19b,Dtx2,Trim34a,Traf2,Trim36,Znrf3,Trim26,Trim30d,Rnf114,Trim21,Rffl,Pml,Trim30a,Trim12c,Rnf24,Trim56,Trim12a
SM00252	SH2	0.00222528971117315	-6.10786816457133	101	18	0.0218712029161604	823	9567	20963,20779,17973,20491,17096,12703,14191,74030,16452,12929,192157,56792,12702,12700,20847,15162,16822,20850	Syk,Src,Nck1,Sla,Lyn,Socs1,Fgr,Rin2,Jak2,Crkl,Socs7,Stap1,Socs3,Cish,Stat2,Hck,Lcp2,Stat5a
