TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP1253	Type II interferon signaling (IFNG)	4.98211199154836e-14	-30.6303374060944	33	22	0.0407407407407407	540	4813	20846,20847,15958,15977,17329,15894,16176,19106,21354,16452,18126,15900,16364,100038882,16363,12703,12265,16912,16362,15945,14468,12702	Stat1,Stat2,Ifit2,Ifnb1,Cxcl9,Icam1,Il1b,Eif2ak2,Tap1,Jak2,Nos2,Irf8,Irf4,Isg15,Irf2,Socs1,Ciita,Psmb9,Irf1,Cxcl10,Gbp2b,Socs3
WP1254	Apoptosis	1.18375911717598e-11	-25.1597409555022	83	33	0.0611111111111111	540	4813	22029,13063,21938,16151,12363,12367,16476,16364,11796,54123,16362,12633,22030,18036,26398,14102,11783,21926,16001,17869,12362,17246,18035,12366,16363,11797,12125,58801,18037,18033,22035,12369,12370	Traf1,Cycs,Tnfrsf1b,Ikbkg,Casp4,Casp3,Jun,Irf4,Birc3,Irf7,Irf1,Cflar,Traf2,Nfkbib,Map2k4,Fas,Apaf1,Tnf,Igf1r,Myc,Casp1,Mdm2,Nfkbia,Casp2,Irf2,Birc2,Bcl2l11,Pmaip1,Nfkbie,Nfkb1,Tnfsf10,Casp7,Casp8
WP222	Cytokines and Inflammatory Response	2.13023210284194e-07	-15.3618647087032	27	14	0.0259259259259259	540	4813	16168,330122,16160,14969,12985,12977,16175,16153,15977,14825,16176,16193,15962,21926	Il15,Cxcl3,Il12b,H2-Eb1,Csf3,Csf1,Il1a,Il10,Ifnb1,Cxcl1,Il1b,Il6,Ifna1,Tnf
WP3632	Lung fibrosis	2.69188674042868e-07	-15.12785331271	61	22	0.0407407407407407	540	4813	20304,20302,20310,17750,17257,70086,50770,12985,18591,18792,21857,21926,20303,17395,20296,16160,12771,15368,16176,244548,16193,13614	Ccl5,Ccl3,Cxcl2,Mt2,Mecp2,Cysltr2,Atp11a,Csf3,Pdgfb,Plau,Timp1,Tnf,Ccl4,Mmp9,Ccl2,Il12b,Ccr3,Hmox1,Il1b,Elmod2,Il6,Edn1
WP246	TNF-alpha NF-kB Signaling Pathway	3.14017532596791e-07	-14.9738170163014	181	44	0.0814814814814815	540	4813	13728,23881,18854,16648,18036,433759,22029,26410,57783,27215,12367,11797,19698,12370,12369,21926,21941,22033,18035,18201,20846,14083,11796,80859,22030,12633,68652,21353,20779,18034,56532,192656,12389,21938,16151,69721,19696,21929,18037,18033,16709,211550,56489,12366	Mark2,G3bp2,Pml,Kpna3,Nfkbib,Hdac1,Traf1,Map3k8,Tnip1,Azi2,Casp3,Birc2,Relb,Casp8,Casp7,Tnf,Tnfrsf8,Traf5,Nfkbia,Nsmaf,Stat1,Ptk2,Birc3,Nfkbiz,Traf2,Cflar,Tab2,Tank,Src,Nfkb2,Ripk3,Ripk2,Cav1,Tnfrsf1b,Ikbkg,Nkiras1,Rel,Tnfaip3,Nfkbie,Nfkb1,Ktn1,Tifa,Ikbke,Casp2
WP2292	Chemokine signaling pathway	1.36514386497007e-06	-13.5042507392986	184	43	0.0796296296296296	540	4813	20296,15945,18036,12929,14696,56744,12768,17096,66066,20306,20310,26395,17329,18035,20846,14083,14706,14701,19108,20303,20307,14191,20848,20299,12771,20847,18707,16151,20308,20293,23797,56066,20304,16452,23832,18033,20302,13051,20312,57266,15162,14825,320207	Ccl2,Cxcl10,Nfkbib,Crkl,Gnb4,Pf4,Ccr1,Lyn,Gng11,Ccl7,Cxcl2,Map2k1,Cxcl9,Nfkbia,Stat1,Ptk2,Gng4,Gng12,Prkx,Ccl4,Ccl8,Fgr,Stat3,Ccl22,Ccr3,Stat2,Pik3cd,Ikbkg,Ccl9,Ccl12,Akt3,Cxcl11,Ccl5,Jak2,Xcr1,Nfkb1,Ccl3,Cx3cr1,Cx3cl1,Cxcl14,Hck,Cxcl1,Pik3r5
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	3.08207775461495e-06	-12.689906592762	320	63	0.116666666666667	540	4813	15977,18707,98432,320910,16151,17311,21923,14254,15251,16890,57915,18596,14701,15965,12977,16410,14936,11600,17246,320207,235542,20525,16452,16542,170768,54635,23797,16186,244650,14696,226849,12986,15967,12827,16408,73699,15975,104099,18413,19325,16401,15968,12815,16402,18591,14083,14706,16001,15962,26395,18126,384783,22341,12575,21825,16190,15969,14745,74747,12985,17295,17763,66066	Ifnb1,Pik3cd,Phlpp1,Itgb8,Ikbkg,Kitl,Tnc,Flt1,Hif1a,Lipe,Tbc1d1,Pdgfrb,Gng12,Ifna2,Csf1,Itgav,Gys1,Angpt1,Mdm2,Pik3r5,Ppp2r3a,Slc2a1,Jak2,Kdr,Pfkfb3,Pdgfc,Akt3,Il2rg,Phlpp2,Gnb4,Ppp2r5a,Csf3r,Ifna4,Col4a2,Itgal,Ppp2r1b,Ifnar1,Itga9,Osm,Rab10,Itga4,Ifna5,Col11a2,Itga5,Pdgfb,Ptk2,Gng4,Igf1r,Ifna1,Map2k1,Nos2,Irs2,Vegfc,Cdkn1a,Thbs1,Il4ra,Ifna6,Lpar1,Ddit4,Csf3,Met,Mtcp1,Gng11
WP493	MAPK signaling pathway	8.48589431376359e-06	-11.6771052654493	159	37	0.0685185185185185	540	4813	67603,12369,12370,13163,18033,14281,23797,16175,193740,18591,12366,12362,17869,240672,26921,14102,15370,26398,26395,11479,53608,21926,19419,17164,12929,68652,18596,22030,319520,16476,12367,16151,12475,16176,26410,19252,17187	Dusp6,Casp7,Casp8,Daxx,Nfkb1,Fos,Akt3,Il1a,Hspa1a,Pdgfb,Casp2,Casp1,Myc,Dusp5,Map4k4,Fas,Nr4a1,Map2k4,Map2k1,Acvr1b,Map3k6,Tnf,Rasgrp1,Mapkapk2,Crkl,Tab2,Pdgfrb,Traf2,Dusp4,Jun,Casp3,Ikbkg,Cd14,Il1b,Map3k8,Dusp1,Max
WP387	IL-6 signaling Pathway	2.07351337116638e-05	-10.7836810156895	99	26	0.0481481481481481	540	4813	73699,20848,433759,17164,14191,71978,12702,12569,226849,17096,20850,12367,16476,16193,54721,18033,13163,14281,16452,15162,14083,20846,21939,26398,26395,235542	Ppp2r1b,Stat3,Hdac1,Mapkapk2,Fgr,Ppp2r2a,Socs3,Cdk5r1,Ppp2r5a,Lyn,Stat5a,Casp3,Jun,Il6,Tyk2,Nfkb1,Daxx,Fos,Jak2,Hck,Ptk2,Stat1,Cd40,Map2k4,Map2k1,Ppp2r3a
WP37	IL-1 Signaling Pathway	2.22105180679467e-05	-10.7149445944431	37	14	0.0259259259259259	540	4813	18035,12362,16181,16176,26395,108960,67245,18033,18036,68652,73914,17874,18412,16175	Nfkbia,Casp1,Il1rn,Il1b,Map2k1,Irak2,Peli1,Nfkb1,Nfkbib,Tab2,Irak3,Myd88,Sqstm1,Il1a
WP2902	p53 signaling	2.54150473768141e-05	-10.5801691429391	67	20	0.037037037037037	540	4813	58801,75747,17873,26374,11920,12443,12447,12444,12370,18787,12575,21825,14102,11783,12452,13063,12367,17246,23882,12521	Pmaip1,Sesn3,Gadd45b,Cop1,Atm,Ccnd1,Ccne1,Ccnd2,Casp8,Serpine1,Cdkn1a,Thbs1,Fas,Apaf1,Ccng2,Cycs,Casp3,Mdm2,Gadd45g,Cd82
WP88	Toll Like Receptor signaling	2.64224322386665e-05	-10.5412972025977	33	13	0.0240740740740741	540	4813	68652,16151,142980,18034,18033,12370,12367,108960,24088,56489,17874,73914,19106	Tab2,Ikbkg,Tlr3,Nfkb2,Nfkb1,Casp8,Casp3,Irak2,Tlr2,Ikbke,Myd88,Irak3,Eif2ak2
WP450	IL-2 Signaling Pathway	5.7677689440706e-05	-9.76064012403012	76	21	0.0388888888888889	540	4813	17096,14815,12700,64685,18707,20846,20850,26395,15962,20963,15894,20848,12929,18033,23872,384783,16452,17164,16186,12703,12702	Lyn,Nr3c1,Cish,Nmi,Pik3cd,Stat1,Stat5a,Map2k1,Ifna1,Syk,Icam1,Stat3,Crkl,Nfkb1,Ets2,Irs2,Jak2,Mapkapk2,Il2rg,Socs1,Socs3
WP571	FAS pathway and Stress induction of HSP regulation	0.000107323521381509	-9.13966272096687	37	13	0.0240740740740741	540	4813	21926,14102,11783,26398,16476,12367,16175,12633,13163,192656,17164,12369,12370	Tnf,Fas,Apaf1,Map2k4,Jun,Casp3,Il1a,Cflar,Daxx,Ripk2,Mapkapk2,Casp7,Casp8
WP447	Adipogenesis genes	0.000112856467543079	-9.08939374537193	133	30	0.0555555555555556	540	4813	20846,11622,59027,14815,12609,21887,21926,14102,384783,12703,20850,13654,12156,228775,20847,15361,19650,93691,22259,23849,16193,15251,18787,16890,20848,16878,12702,18413,17873,14362	Stat1,Ahr,Nampt,Nr3c1,Cebpd,Tle3,Tnf,Fas,Irs2,Socs1,Stat5a,Egr2,Bmp2,Trib3,Stat2,Hmga1,Rbl1,Klf7,Nr1h3,Klf6,Il6,Hif1a,Serpine1,Lipe,Stat3,Lif,Socs3,Osm,Gadd45b,Fzd1
WP2432	Spinal Cord Injury	0.000143575726786942	-8.84864794915504	98	24	0.0444444444444444	540	4813	11853,12367,16193,16176,17395,14609,12443,20296,12227,15945,58250,22695,14825,17869,13653,13003,21926,15370,15894,14281,20310,18126,14130,16175	Rhoc,Casp3,Il6,Il1b,Mmp9,Gja1,Ccnd1,Ccl2,Btg2,Cxcl10,Chst11,Zfp36,Cxcl1,Myc,Egr1,Vcan,Tnf,Nr4a1,Icam1,Fos,Cxcl2,Nos2,Fcgr2b,Il1a
WP166	Apoptosis Modulation by HSP70	0.000230505663095041	-8.37523512708733	17	8	0.0148148148148148	540	4813	193740,14102,11783,18033,12370,12369,12366,12367	Hspa1a,Fas,Apaf1,Nfkb1,Casp8,Casp7,Casp2,Casp3
WP412	Oxidative Stress	0.000582394289119028	-7.44836286690077	28	10	0.0185185185185185	540	4813	16477,14782,20656,14281,18033,50493,15368,18104,14629,17748	Junb,Gsr,Sod2,Fos,Nfkb1,Txnrd1,Hmox1,Nqo1,Gclc,Mt1
