TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR001811	Chemokine_IL8-like_dom	3.96429157823467e-17	-37.7666194105684	37	16	0.0347826086956522	460	19984	14825,20299,20306,20304,20310,20312,56066,20303,15945,20307,20293,20302,17329,330122,20296,57266	Cxcl1,Ccl22,Ccl7,Ccl5,Cxcl2,Cx3cl1,Cxcl11,Ccl4,Cxcl10,Ccl8,Ccl12,Ccl3,Cxcl9,Cxcl3,Ccl2,Cxcl14
IPR036048	Interleukin_8-like_sf	3.96429157823467e-17	-37.7666194105684	37	16	0.0347826086956522	460	19984	20312,20307,15945,20303,56066,20306,20299,14825,20310,20304,57266,20296,20302,17329,330122,20293	Cx3cl1,Ccl8,Cxcl10,Ccl4,Cxcl11,Ccl7,Ccl22,Cxcl1,Cxcl2,Ccl5,Cxcl14,Ccl2,Ccl3,Cxcl9,Cxcl3,Ccl12
IPR008343	MKP	3.69948411070834e-10	-21.7176575495498	10	7	0.0152173913043478	460	19984	240672,67603,319520,19252,13537,70686,18218	Dusp5,Dusp6,Dusp4,Dusp1,Dusp2,Dusp16,Dusp8
IPR039809	Chemokine_b/g/d	6.40021826465768e-10	-21.1695188363036	22	9	0.0195652173913043	460	19984	20304,20293,20302,20299,20306,20303,20307,20296,20312	Ccl5,Ccl12,Ccl3,Ccl22,Ccl7,Ccl4,Ccl8,Ccl2,Cx3cl1
IPR000827	Chemokine_CC_CS	8.12215729882804e-10	-20.9312551338572	16	8	0.0173913043478261	460	19984	20307,20303,20296,20293,20302,20304,20299,20306	Ccl8,Ccl4,Ccl2,Ccl12,Ccl3,Ccl5,Ccl22,Ccl7
IPR018048	Chemokine_CXC_CS	2.79657708682723e-08	-17.3922845435862	10	6	0.0130434782608696	460	19984	20310,17329,330122,56066,15945,14825	Cxcl2,Cxcl9,Cxcl3,Cxcl11,Cxcl10,Cxcl1
IPR001089	Chemokine_CXC	6.03280691151674e-08	-16.6234683503902	11	6	0.0130434782608696	460	19984	15945,56066,14825,17329,330122,20310	Cxcl10,Cxcl11,Cxcl1,Cxcl9,Cxcl3,Cxcl2
IPR009079	4_helix_cytokine-like_core	6.09211339640416e-08	-16.6136856951065	84	13	0.0282608695652174	460	19984	56708,15969,15962,16153,15965,15967,16193,15977,16878,12985,18413,12977,15968	Clcf1,Ifna6,Ifna1,Il10,Ifna2,Ifna4,Il6,Ifnb1,Lif,Csf3,Osm,Csf1,Ifna5
IPR036179	Ig-like_dom_sf	6.99340238851406e-08	-16.475713555271	501	33	0.0717391304347826	460	19984	16160,217306,240354,22329,58217,231805,14254,13003,16542,75202,245126,15894,328830,16174,71566,50723,12519,170741,320148,71306,12522,20348,83382,381484,14130,98365,74748,12524,246746,20266,17470,224840,93842	Il12b,Cd300e,Malt1,Vcam1,Trem1,Pilra,Flt1,Vcan,Kdr,Spaca6,Tarm1,Icam1,A530064D06Rik,Il18rap,Clmp,Icosl,Cd80,Pilrb1,B430306N03Rik,Mfap3l,Cd83,Sema3c,Siglece,Gm5150,Fcgr2b,Slamf9,Slamf8,Cd86,Cd300lf,Scn1b,Cd200,Treml4,Igsf9
IPR033899	CXC_Chemokine_domain	1.18310317603965e-07	-15.9499548541779	12	6	0.0130434782608696	460	19984	14825,15945,56066,330122,17329,20310	Cxcl1,Cxcl10,Cxcl11,Cxcl3,Cxcl9,Cxcl2
IPR006052	TNF_dom	1.29750564900281e-07	-15.8576519611505	19	7	0.0152173913043478	460	19984	326623,21950,50930,22164,21949,21926,22035	Tnfsf15,Tnfsf9,Tnfsf14,Tnfsf4,Tnfsf8,Tnf,Tnfsf10
IPR004827	bZIP	3.66134792501259e-07	-14.8202642858229	54	10	0.0217391304347826	460	19984	53314,16477,18030,14281,14282,12609,74481,17133,81703,16476	Batf,Junb,Nfil3,Fos,Fosb,Cebpd,Batf2,Maff,Jdp2,Jun
IPR000837	AP-1	7.38300435970871e-07	-14.1189150003751	9	5	0.0108695652173913	460	19984	81703,14281,14282,53314,74481	Jdp2,Fos,Fosb,Batf,Batf2
