TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr4 C4|4 42.03 cM	mouse chr4 C4|4 42.03 cM	7.13926785255038e-05	-9.5473152355361	5	3	0.00636942675159236	471	24173	15969,15967,15968	Ifna6,Ifna4,Ifna5
mouse chr11 A1|11 2.94 cM	mouse chr11 A1|11 2.94 cM	0.000378857271735343	-7.87835101553765	2	2	0.00424628450106157	471	24173	18413,16878	Osm,Lif
mouse chr4 C1|4 34.06 cM	mouse chr4 C1|4 34.06 cM	0.000378857271735343	-7.87835101553765	2	2	0.00424628450106157	471	24173	21949,21923	Tnfsf8,Tnc
mouse chr13 A3.2|13 13.79 cM	mouse chr13 A3.2|13 13.79 cM	0.000378857271735343	-7.87835101553765	2	2	0.00424628450106157	471	24173	20706,20723	Serpinb9b,Serpinb9
mouse chr4	mouse chr4	0.000396805576546293	-7.83206412885621	436	20	0.0424628450106157	471	24173	17357,18578,15967,21949,14745,15969,15968,15965,14579,16918,50780,15962,192656,21350,67916,15977,21923,16476,19204,11639	Marcksl1,Pde4b,Ifna4,Tnfsf8,Lpar1,Ifna6,Ifna5,Ifna2,Gem,Mycl,Rgs3,Ifna1,Ripk2,Tal2,Plpp3,Ifnb1,Tnc,Jun,Ptafr,Ak4
mouse chr8	mouse chr8	0.0024956450404925	-5.99320804992909	334	15	0.0318471337579618	471	24173	244418,17750,18104,14782,17748,16477,15439,16161,15900,18791,15368,384783,11988,15936,20312	Prag1,Mt2,Nqo1,Gsr,Mt1,Junb,Hp,Il12rb1,Irf8,Plat,Hmox1,Irs2,Slc7a2,Ier2,Cx3cl1
mouse chr13	mouse chr13	0.00346075728847603	-5.6662678443592	279	13	0.0276008492569002	471	24173	18030,20706,13003,16323,13025,14706,13024,20723,19206,14538,20708,12522,13614	Nfil3,Serpinb9b,Vcan,Inhba,Ctla2b,Gng4,Ctla2a,Serpinb9,Ptch1,Gcnt2,Serpinb6b,Cd83,Edn1
mouse chr9 F4|9 75.05 cM	mouse chr9 F4|9 75.05 cM	0.00364367428181285	-5.61476268837288	5	2	0.00424628450106157	471	24173	12771,12768	Ccr3,Ccr1
mouse chr5	mouse chr5	0.0037124065423	-5.59607494896143	383	16	0.0339702760084926	471	24173	20310,15945,14254,14190,23912,16542,320129,12182,14362,231507,14086,17329,16193,14825,14581,12494	Cxcl2,Cxcl10,Flt1,Fgl2,Rhof,Kdr,Grk3,Bst1,Fzd1,Plac8,Fscn1,Cxcl9,Il6,Cxcl1,Gfi1,Cd38
mouse chr19|19 C1	mouse chr19|19 C1	0.00464285319008053	-5.37242619006939	56	5	0.0106157112526539	471	24173	667370,15959,15957,15958,12642	Ifit3b,Ifit3,Ifit1,Ifit2,Ch25h
