TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00472	SMALL_CYTOKINES_CC	3.34889530065243e-09	-19.5146353064918	16	8	0.0217983651226158	367	13278	20293,20306,20307,20304,20299,20303,20302,20296	Ccl12,Ccl7,Ccl8,Ccl5,Ccl22,Ccl4,Ccl3,Ccl2
PS00471	SMALL_CYTOKINES_CXC	8.18684733095789e-08	-16.3181518614713	10	6	0.0163487738419619	367	13278	330122,56066,20310,17329,14825,15945	Cxcl3,Cxcl11,Cxcl2,Cxcl9,Cxcl1,Cxcl10
PS50217	BZIP	1.07133033524818e-06	-13.7466093777825	51	10	0.0272479564032698	367	13278	14281,16477,12609,17133,53314,81703,14282,18030,16476,74481	Fos,Junb,Cebpd,Maff,Batf,Jdp2,Fosb,Nfil3,Jun,Batf2
PS50054	TYR_PHOSPHATASE_DUAL	1.42679971818418e-06	-13.4600765809777	31	8	0.0217983651226158	367	13278	319520,19252,67603,13537,18218,240672,56405,70686	Dusp4,Dusp1,Dusp6,Dusp2,Dusp8,Dusp5,Dusp14,Dusp16
PS50206	RHODANESE_3	1.94696376620292e-06	-13.1492394418127	23	7	0.0190735694822888	367	13278	13537,67603,70686,18218,240672,19252,319520	Dusp2,Dusp6,Dusp16,Dusp8,Dusp5,Dusp1,Dusp4
PS00036	BZIP_BASIC	3.05396763173585e-06	-12.6990689498698	34	8	0.0217983651226158	367	13278	14281,16477,53314,81703,74481,16476,18030,14282	Fos,Junb,Batf,Jdp2,Batf2,Jun,Nfil3,Fosb
PS50049	TNF_2	4.09246005502533e-06	-12.4063642882801	17	6	0.0163487738419619	367	13278	21926,21949,22035,50930,326623,21950	Tnf,Tnfsf8,Tnfsf10,Tnfsf14,Tnfsf15,Tnfsf9
PS00252	INTERFERON_A_B_D	4.09246005502533e-06	-12.4063642882801	17	6	0.0163487738419619	367	13278	15967,15962,15965,15977,15969,15968	Ifna4,Ifna1,Ifna2,Ifnb1,Ifna6,Ifna5
PS00251	TNF_1	6.32322358426078e-06	-11.9712814190415	11	5	0.0136239782016349	367	13278	21950,21949,22035,21926,22164	Tnfsf9,Tnfsf8,Tnfsf10,Tnf,Tnfsf4
PS00601	IRF_1	6.48080625945485e-05	-9.64408053959054	9	4	0.0108991825613079	367	13278	16362,54123,15900,16364	Irf1,Irf7,Irf8,Irf4
PS51507	IRF_2	6.48080625945485e-05	-9.64408053959054	9	4	0.0108991825613079	367	13278	16364,15900,54123,16362	Irf4,Irf8,Irf7,Irf1
PS50835	IG_LIKE	6.816728336851e-05	-9.59354582421964	456	28	0.0762942779291553	367	13278	71306,98365,16542,74748,240354,320148,381484,71566,16174,13003,12524,83382,20348,12522,17470,12519,58217,75202,16160,245126,328830,14130,14254,50723,22329,15894,224840,93842	Mfap3l,Slamf9,Kdr,Slamf8,Malt1,B430306N03Rik,Gm5150,Clmp,Il18rap,Vcan,Cd86,Siglece,Sema3c,Cd83,Cd200,Cd80,Trem1,Spaca6,Il12b,Tarm1,A530064D06Rik,Fcgr2b,Flt1,Icosl,Vcam1,Icam1,Treml4,Igsf9
PS00253	INTERLEUKIN_1	0.000200957228783527	-8.51241846467041	5	3	0.00817438692098093	367	13278	16175,16181,16176	Il1a,Il1rn,Il1b
PS51420	RHO	0.000221640711269362	-8.41445290485025	21	5	0.0136239782016349	367	13278	69581,223881,23912,74194,74734	Rhou,Rnd1,Rhof,Rnd3,Rhoh
PS00284	SERPIN	0.000367591720731886	-7.90853769022853	49	7	0.0190735694822888	367	13278	20708,18787,20706,20715,20723,18788,238393	Serpinb6b,Serpine1,Serpinb9b,Serpina3g,Serpinb9,Serpinb2,Serpina3f
PS00590	LIF_OSM	0.000761929046293163	-7.17965712171394	2	2	0.00544959128065395	367	13278	16878,18413	Lif,Osm
PS00254	INTERLEUKIN_6	0.000761929046293163	-7.17965712171394	2	2	0.00544959128065395	367	13278	16193,12985	Il6,Csf3
PS50056	TYR_PHOSPHATASE_2	0.00175061704539114	-6.34778695582819	81	8	0.0217983651226158	367	13278	67603,13537,240672,18218,70686,56405,319520,19252	Dusp6,Dusp2,Dusp5,Dusp8,Dusp16,Dusp14,Dusp4,Dusp1
PS00292	CYCLINS	0.00217475124725835	-6.13084099005875	10	3	0.00817438692098093	367	13278	12443,12444,12447	Ccnd1,Ccnd2,Ccne1
PS51845	PDEASE_I_2	0.00236666939496516	-6.04627163080146	21	4	0.0108991825613079	367	13278	18578,29863,242202,18576	Pde4b,Pde7b,Pde5a,Pde3b
PS00126	PDEASE_I_1	0.00236666939496516	-6.04627163080146	21	4	0.0108991825613079	367	13278	18576,242202,29863,18578	Pde3b,Pde5a,Pde7b,Pde4b
PS00383	TYR_PHOSPHATASE_1	0.00312794606048556	-5.76737870053805	70	7	0.0190735694822888	367	13278	13537,56405,70686,240672,18218,319520,19252	Dusp2,Dusp14,Dusp16,Dusp5,Dusp8,Dusp4,Dusp1
PS50026	EGF_3	0.00375833012551379	-5.5837805357837	200	13	0.0354223433242507	367	13278	16997,20339,230157,16975,21923,16835,13003,21825,18791,19225,18792,16449,18128	Ltbp2,Sele,Tmeff1,Lrp8,Tnc,Ldlr,Vcan,Thbs1,Plat,Ptgs2,Plau,Jag1,Notch1
PS00203	METALLOTHIONEIN_VRT	0.00440571438010785	-5.42485285791706	4	2	0.00544959128065395	367	13278	17750,17748	Mt2,Mt1
PS00964	SYNDECAN	0.00440571438010785	-5.42485285791706	4	2	0.00544959128065395	367	13278	15529,20971	Sdc2,Sdc4
PS51718	G_DYNAMIN_2	0.00607653196413647	-5.10332114637984	14	3	0.00817438692098093	367	13278	17857,13660,17858	Mx1,Ehd1,Mx2
PS01204	REL_1	0.0072088858141654	-4.93244087302965	5	2	0.00544959128065395	367	13278	18034,18033	Nfkb2,Nfkb1
PS50078	POLO_BOX	0.0072088858141654	-4.93244087302965	5	2	0.00544959128065395	367	13278	12795,20620	Plk3,Plk2
PS00546	CYSTEINE_SWITCH	0.00744182177593302	-4.90063959775444	15	3	0.00817438692098093	367	13278	17386,17387,17395	Mmp13,Mmp14,Mmp9
PS51716	G_IRG	0.00897392148212253	-4.71343252095152	16	3	0.00817438692098093	367	13278	21822,60440,240327	Tgtp1,Iigp1,Gm4951
PS51388	GED	0.0106164930687667	-4.54534653721631	6	2	0.00544959128065395	367	13278	17857,17858	Mx1,Mx2
PS00410	G_DYNAMIN_1	0.0106164930687667	-4.54534653721631	6	2	0.00544959128065395	367	13278	17858,17857	Mx2,Mx1
PS00615	C_TYPE_LECTIN_1	0.0140849556045969	-4.26264802962207	52	5	0.0136239782016349	367	13278	56619,56620,17076,13003,20339	Clec4e,Clec4n,Ly75,Vcan,Sele
PS01187	EGF_CA	0.014457815562317	-4.23652014127631	93	7	0.0190735694822888	367	13278	16835,13003,18128,16449,16997,16975,52614	Ldlr,Vcan,Notch1,Jag1,Ltbp2,Lrp8,Adgre4
PS00022	EGF_1	0.0145883349134872	-4.22753304814958	162	10	0.0272479564032698	367	13278	18792,13003,16449,18128,21923,16997,18791,230157,20339,320910	Plau,Vcan,Jag1,Notch1,Tnc,Ltbp2,Plat,Tmeff1,Sele,Itgb8
PS00249	PDGF_1	0.0145931645731677	-4.2272020398183	7	2	0.00544959128065395	367	13278	18591,22341	Pdgfb,Vegfc
PS00024	HEMOPEXIN	0.0146074759383196	-4.22622183075117	19	3	0.00817438692098093	367	13278	17395,17387,17386	Mmp9,Mmp14,Mmp13
PS01186	EGF_2	0.0149310081468503	-4.20431514480449	212	12	0.0326975476839237	367	13278	21923,16835,13003,21825,16997,230157,20339,320910,16975,16449,18128,18791	Tnc,Ldlr,Vcan,Thbs1,Ltbp2,Tmeff1,Sele,Itgb8,Lrp8,Jag1,Notch1,Plat
PS50041	C_TYPE_LECTIN_2	0.0151073687400556	-4.19257265816243	116	8	0.0217983651226158	367	13278	13003,17076,23845,56620,56619,20339,12515,108078	Vcan,Ly75,Clec5a,Clec4n,Clec4e,Sele,Cd69,Olr1
PS50225	SOCS	0.0152945467678031	-4.18025893452162	35	4	0.0108991825613079	367	13278	12702,12703,12700,74646	Socs3,Socs1,Cish,Spsb1
PS00010	ASX_HYDROXYL	0.0169687020398372	-4.07638468823352	96	7	0.0190735694822888	367	13278	16975,52614,16997,13003,18128,16449,16835	Lrp8,Adgre4,Ltbp2,Vcan,Notch1,Jag1,Ldlr
PS00240	RECEPTOR_TYR_KIN_III	0.0191050131777387	-3.95780450833011	8	2	0.00544959128065395	367	13278	14254,16542	Flt1,Kdr
PS00297	HSP70_1	0.0191050131777387	-3.95780450833011	8	2	0.00544959128065395	367	13278	15511,193740	Hspa1b,Hspa1a
PS50278	PDGF_2	0.024119581484637	-3.7247312586569	9	2	0.00544959128065395	367	13278	22341,18591	Vegfc,Pdgfb
PS01080	BH1	0.024119581484637	-3.7247312586569	9	2	0.00544959128065395	367	13278	12047,12044	Bcl2a1d,Bcl2a1a
PS01258	BH2	0.024119581484637	-3.7247312586569	9	2	0.00544959128065395	367	13278	12047,12044	Bcl2a1d,Bcl2a1a
PS50104	TIR	0.024618635069925	-3.70425159965199	23	3	0.00817438692098093	367	13278	81897,16174,24088	Tlr9,Il18rap,Tlr2
PS50824	DAPIN	0.024618635069925	-3.70425159965199	23	3	0.00817438692098093	367	13278	54483,100033459,226695	Mefv,Ifi208,Ifi205
PS51642	HEMOPEXIN_2	0.0275732382220601	-3.59090960628945	24	3	0.00817438692098093	367	13278	17386,17387,17395	Mmp13,Mmp14,Mmp9
PS50209	CARD	0.0275732382220601	-3.59090960628945	24	3	0.00817438692098093	367	13278	12363,239319,192656	Casp4,Card6,Ripk2
PS00088	SOD_MN	0.0276397047750193	-3.58850196121716	1	1	0.00272479564032698	367	13278	20656	Sod2
PS50254	REL_2	0.0296057890434055	-3.51978536098385	10	2	0.00544959128065395	367	13278	18034,18033	Nfkb2,Nfkb1
PS50088	ANK_REPEAT	0.0327572730415016	-3.41863026395336	211	11	0.0299727520435967	367	13278	99382,329251,18034,18037,80859,18033,71458,18035,243910,18128,230837	Abtb2,Ppp1r12b,Nfkb2,Nfkbie,Nfkbiz,Nfkb1,Bcor,Nfkbia,Nfkbid,Notch1,Asap3
PS00329	HSP70_2	0.0355338813735618	-3.33726863276647	11	2	0.00544959128065395	367	13278	15511,193740	Hspa1b,Hspa1a
PS50888	BHLH	0.035668616901692	-3.33348405519652	112	7	0.0190735694822888	367	13278	21350,17869,21426,11624,11622,16918,17119	Tal2,Myc,Tfec,Ahrr,Ahr,Mycl,Mxd1
PS50009	RASGEF_CAT	0.0411797643414526	-3.18980830004451	28	3	0.00817438692098093	367	13278	19730,217944,19419	Ralgds,Rapgef5,Rasgrp1
PS00023	FN2_1	0.041875380731745	-3.17305719677687	12	2	0.00544959128065395	367	13278	17076,17395	Ly75,Mmp9
PS50208	CASPASE_P20	0.041875380731745	-3.17305719677687	12	2	0.00544959128065395	367	13278	12363,240354	Casp4,Malt1
PS50293	TPR_REGION	0.0418862823821248	-3.17279689510577	116	7	0.0190735694822888	367	13278	278279,15959,15958,18452,667373,15957,667370	Tmtc2,Ifit3,Ifit2,P4ha2,Ifit1bl1,Ifit1,Ifit3b
PS50297	ANK_REP_REGION	0.0422870747998462	-3.16327379991028	220	11	0.0299727520435967	367	13278	18034,80859,18033,18128,243910,18037,329251,99382,71458,18035,230837	Nfkb2,Nfkbiz,Nfkb1,Notch1,Nfkbid,Nfkbie,Ppp1r12b,Abtb2,Bcor,Nfkbia,Asap3
PS00650	G_PROTEIN_RECEP_F2_2	0.045020292341127	-3.10064194994118	29	3	0.00817438692098093	367	13278	99633,215798,52614	Adgrl2,Adgrg6,Adgre4
