TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00048	IL8	5.87195943510459e-17	-37.3737581978011	37	16	0.0361990950226244	442	18711	57266,330122,20293,20296,20302,20310,20307,20304,14825,20312,15945,20303,20299,20306,56066,17329	Cxcl14,Cxcl3,Ccl12,Ccl2,Ccl3,Cxcl2,Ccl8,Ccl5,Cxcl1,Cx3cl1,Cxcl10,Ccl4,Ccl22,Ccl7,Cxcl11,Cxcl9
PF00001	7tm_1	6.27433069924211e-10	-21.1893841120867	299	28	0.0633484162895928	442	18711	19204,12771,19219,12768,23832,14289,58182,110168,64095,15558,11540,18442,353346,13051,11555,54199,64450,14293,74191,238377,15559,14745,19222,80885,13618,56696,80910,11541	Ptafr,Ccr3,Ptger4,Ccr1,Xcr1,Fpr2,Prokr1,Gpr18,Gpr35,Htr2a,Adora2a,P2ry2,Gpr141,Cx3cr1,Adrb2,Ccrl2,Gpr85,Fpr1,P2ry13,Gpr68,Htr2b,Lpar1,Ptgir,Hcar2,Ednrb,Gpr132,Gpr84,Adora2b
PF00581	Rhodanese	6.917044013843e-07	-14.1841071382196	23	7	0.0158371040723982	442	18711	319520,18218,70686,13537,67603,240672,19252	Dusp4,Dusp8,Dusp16,Dusp2,Dusp6,Dusp5,Dusp1
PF07686	V-set	1.66055256211123e-06	-13.3083601422426	163	16	0.0361990950226244	442	18711	50723,13003,12522,217306,58217,71566,320148,224840,381484,12524,12519,83382,98365,246746,20266,328830	Icosl,Vcan,Cd83,Cd300e,Trem1,Clmp,B430306N03Rik,Treml4,Gm5150,Cd86,Cd80,Siglece,Slamf9,Cd300lf,Scn1b,A530064D06Rik
PF00229	TNF	2.45029405456359e-06	-12.9193025183389	18	6	0.0135746606334842	442	18711	326623,50930,21950,21949,21926,22035	Tnfsf15,Tnfsf14,Tnfsf9,Tnfsf8,Tnf,Tnfsf10
PF00170	bZIP_1	3.016029591703e-06	-12.7115692962941	28	7	0.0158371040723982	442	18711	74481,16477,81703,16476,53314,14282,14281	Batf2,Junb,Jdp2,Jun,Batf,Fosb,Fos
PF00782	DSPc	3.60498683115999e-06	-12.5331924401716	40	8	0.0180995475113122	442	18711	319520,18218,70686,56405,240672,67603,13537,19252	Dusp4,Dusp8,Dusp16,Dusp14,Dusp5,Dusp6,Dusp2,Dusp1
PF11928	DUF3446	1.30945981140272e-05	-11.2433107705078	3	3	0.00678733031674208	442	18711	13653,13654,13655	Egr1,Egr2,Egr3
PF00143	Interferon	1.5750357831955e-05	-11.0586474734615	24	6	0.0135746606334842	442	18711	15977,15969,15967,15968,15965,15962	Ifnb1,Ifna6,Ifna4,Ifna5,Ifna2,Ifna1
PF00605	IRF	3.52292105168524e-05	-10.2536349752618	9	4	0.00904977375565611	442	18711	16364,54123,16362,15900	Irf4,Irf7,Irf1,Irf8
PF10401	IRF-3	0.000426941700414488	-7.75886308704427	7	3	0.00678733031674208	442	18711	16364,54123,15900	Irf4,Irf7,Irf8
PF02267	Rib_hydrolayse	0.000556788263894159	-7.4933255269425	2	2	0.00452488687782805	442	18711	12494,12182	Cd38,Bst1
PF02394	IL1_propep	0.000556788263894159	-7.4933255269425	2	2	0.00452488687782805	442	18711	16176,16175	Il1b,Il1a
PF01291	LIF_OSM	0.000556788263894159	-7.4933255269425	2	2	0.00452488687782805	442	18711	16878,18413	Lif,Osm
PF00079	Serpin	0.000627785122588969	-7.3733126115292	62	7	0.0158371040723982	442	18711	20706,238393,20723,18788,20708,20715,18787	Serpinb9b,Serpina3f,Serpinb9,Serpinb2,Serpinb6b,Serpina3g,Serpine1
PF00008	EGF	0.000836470744063886	-7.0863190123703	65	7	0.0158371040723982	442	18711	18128,18791,19225,13003,16449,20339,16997	Notch1,Plat,Ptgs2,Vcan,Jag1,Sele,Ltbp2
PF00340	IL1	0.000989095670381398	-6.91871949655958	9	3	0.00678733031674208	442	18711	16175,16181,16176	Il1a,Il1rn,Il1b
PF00233	PDEase_I	0.00133615614967027	-6.61795833220173	21	4	0.00904977375565611	442	18711	242202,29863,18578,18576	Pde5a,Pde7b,Pde4b,Pde3b
PF03957	Jun	0.00164417559548006	-6.41051617814921	3	2	0.00452488687782805	442	18711	16476,16477	Jun,Junb
PF17988	VEGFR-2_TMD	0.00164417559548006	-6.41051617814921	3	2	0.00452488687782805	442	18711	14254,16542	Flt1,Kdr
