TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr17 B1|17 17.98 cM	mouse chr17 B1|17 17.98 cM	1.0618390781013e-06	-13.7555081738375	31	11	0.00751366120218579	1464	24173	21355,13163,21356,14969,14960,21354,14961,14312,12815,16912,16913	Tap2,Daxx,Tapbp,H2-Eb1,H2-Aa,Tap1,H2-Ab1,Brd2,Col11a2,Psmb9,Psmb8
mouse chr17	mouse chr17	0.000100027663985692	-9.21006377037701	376	42	0.0286885245901639	1464	24173	12575,193740,14293,15024,14961,15015,15361,26373,50498,14312,15016,16912,15018,18519,22700,21926,21355,15042,15039,18712,20656,21356,12266,14969,18038,15511,110557,21354,14960,16988,407803,630499,22670,16913,14990,19106,12815,19252,100504333,52614,13163,104215	Cdkn1a,Hspa1a,Fpr1,H2-T10,H2-Ab1,H2-Q4,Hmga1,Clcn7,Ebi3,Brd2,H2-Q5,Psmb9,H2-Q7,Kat2b,Zfp40,Tnf,Tap2,H2-T24,H2-T22,Pim1,Sod2,Tapbp,C3,H2-Eb1,Nfkbil1,Hspa1b,H2-Q6,Tap1,H2-Aa,Lst1,BC051226,H2-K2,Trim26,Psmb8,H2-M2,Eif2ak2,Col11a2,Dusp1,Gm16712,Adgre4,Daxx,Rhoq
mouse chr1|1 H3	mouse chr1|1 H3	0.000224200458311097	-8.40297000312181	69	13	0.00887978142076503	1464	24173	98365,74748,236312,71740,383619,98256,381308,545384,15490,100033459,623121,75345,226691	Slamf9,Slamf8,Ifi209,Nectin4,Aim2,Kmo,Ifi211,Ifi214,Hsd17b7,Ifi208,Ifi213,Slamf7,Ifi207
mouse chr1	mouse chr1	0.000291936741463853	-8.13897341798799	395	42	0.0286885245901639	1464	24173	12227,13518,20339,102639566,59014,22033,20846,14859,15284,381290,18788,246256,15950,12370,93842,16329,100040462,11910,140559,12490,13136,20343,226695,22164,12633,50778,14130,52392,20684,17219,14367,15951,19225,16456,20849,170755,18783,17912,22782,18514,16153,75605	Btg2,Dst,Sele,Ptgs2os2,Rrs1,Traf5,Stat1,Gsta3,Hlx,Atp2b4,Serpinb2,Fcgr4,Ifi203,Casp8,Igsf9,Inpp1,Mndal,Atf3,Igsf8,Cd34,Cd55,Sell,Ifi205,Tnfsf4,Cflar,Rgs1,Fcgr2b,D1Ertd622e,Sp100,Mcm6,Fzd5,Ifi204,Ptgs2,F11r,Stat4,Sgk3,Pla2g4a,Myo1b,Slc30a1,Pbx1,Il10,Kdm5b
mouse chr19|19 C1	mouse chr19|19 C1	0.000461572734946021	-7.68087091092297	56	11	0.00751366120218579	1464	24173	12642,54447,27356,15958,15957,59028,226089,15959,60533,667370,112419	Ch25h,Asah2,Insl6,Ifit2,Ifit1,Rcl1,Ric1,Ifit3,Cd274,Ifit3b,Ifit1bl2
mouse chr11|11 B1.2	mouse chr11|11 B1.2	0.000504609974352274	-7.59172475510315	32	8	0.00546448087431694	1464	24173	21822,15944,15953,621823,18356,667214,432555,245240	Tgtp1,Irgm1,Ifi47,Psme2b,Olfr56,9930111J21Rik1,Gm5431,9930111J21Rik2
mouse chr12 B1|12 18.06 cM	mouse chr12 B1|12 18.06 cM	0.000846653979732957	-7.07421847129944	4	3	0.00204918032786885	1464	24173	238130,11861,15982	Dock4,Arl4a,Ifrd1
mouse chr5	mouse chr5	0.00107966605604737	-6.83110349302401	383	39	0.0266393442622951	1464	24173	23912,14362,13486,246730,14254,17472,14825,16193,16542,15505,14581,26433,23960,17329,11461,18671,17355,21897,12494,231507,57915,66988,17135,68152,20310,76800,22223,269682,320129,15945,66681,19159,23961,246728,21899,14190,14086,246727,12182	Rhof,Fzd1,Dr1,Oas1a,Flt1,Gbp4,Cxcl1,Il6,Kdr,Hsph1,Gfi1,Plod3,Oas1g,Cxcl9,Actb,Abcb1a,Aff1,Tlr1,Cd38,Plac8,Tbc1d1,Lap3,Mafk,Fam133b,Cxcl2,Usp42,Uchl1,Golga3,Grk3,Cxcl10,Pgm1,Cyth3,Oas1b,Oas2,Tlr6,Fgl2,Fscn1,Oas3,Bst1
mouse chr4	mouse chr4	0.00117402788641305	-6.74731480452525	436	43	0.0293715846994536	1464	24173	214944,100019,21949,14579,20525,17769,18477,14077,18991,12986,17096,100038882,14745,15965,16476,22166,21350,13806,16918,18578,15969,15977,19204,192656,230674,20544,15967,21938,17357,11639,69743,11603,16330,15962,21941,50780,14191,433759,67916,15968,21923,116940,11610	Mob3b,Mdn1,Tnfsf8,Gem,Slc2a1,Mthfr,Prdx1,Fabp3,Pou3f1,Csf3r,Lyn,Isg15,Lpar1,Ifna2,Jun,Txn1,Tal2,Eno1,Mycl,Pde4b,Ifna6,Ifnb1,Ptafr,Ripk2,Kdm4a,Slc9a1,Ifna4,Tnfrsf1b,Marcksl1,Ak4,Casz1,Agrn,Inpp5b,Ifna1,Tnfrsf8,Rgs3,Fgr,Hdac1,Plpp3,Ifna5,Tnc,Tgs1,Agtrap
mouse chr4 C4|4 42.03 cM	mouse chr4 C4|4 42.03 cM	0.00202097770080958	-6.20417387436245	5	3	0.00204918032786885	1464	24173	15969,15967,15968	Ifna6,Ifna4,Ifna5
mouse chr10|10 A1	mouse chr10|10 A1	0.0020241861768212	-6.20258754719179	39	8	0.00546448087431694	1464	24173	270685,23924,338362,68652,67844,237253,213783,215772	Mthfd1l,Katna1,Ust,Tab2,Rab32,Lrp11,Plekhg1,Adgb
mouse chr11	mouse chr11	0.00280351928920427	-5.87687976202319	550	50	0.0341530054644809	1464	24173	11492,19696,12569,20306,107817,16160,20848,629303,216991,56193,13169,12985,17308,22778,16362,20850,20296,20304,52892,620913,100039796,18452,100034251,71956,16878,245944,20302,17134,26398,16518,16145,20555,18413,20308,20293,12874,20556,80861,20303,67245,246198,109934,15114,18126,56405,16706,12799,19175,20307,54394	Adam19,Rel,Cdk5r1,Ccl7,Jmjd6,Il12b,Stat3,Heatr9,Adap2,Plek,Dbnl,Csf3,Mgat1,Ikzf1,Irf1,Stat5a,Ccl2,Ccl5,Sco1,Gm12185,Tgtp2,P4ha2,Wfdc17,Rnf135,Lif,Vps54,Ccl3,Mafg,Map2k4,Kcnj2,Igtp,Slfn1,Osm,Ccl9,Ccl12,Cpd,Slfn2,Dhx58,Ccl4,Peli1,Mllt6,Abr,Hap1,Nos2,Dusp14,Ksr1,Cnp,Psmb6,Ccl8,Crlf3
mouse chr2|2 C1.1	mouse chr2|2 C1.1	0.00282373571234508	-5.86969455001068	41	8	0.00546448087431694	1464	24173	66205,11477,17076,71409,64685,71684,227937,74194	Cd302,Acvr1,Ly75,Fmnl2,Nmi,Rbm43,Pkp4,Rnd3
