TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51716	G_IRG	3.31514161817768e-16	-35.6428611447638	16	15	0.0144648023143684	1037	13278	54396,15944,620913,210146,15953,60440,667214,21822,16145,432555,240328,631323,225594,245240,240327	Irgm2,Irgm1,Gm12185,Irgq,Ifi47,Iigp1,9930111J21Rik1,Tgtp1,Igtp,Gm5431,F830016B08Rik,Gm12250,Gm4841,9930111J21Rik2,Gm4951
PS50834	HIN_200	9.73834419859717e-10	-20.7497798268817	10	9	0.00867888138862102	1037	13278	381308,236312,545384,15950,383619,100040462,226695,226691,15951	Ifi211,Ifi209,Ifi214,Ifi203,Aim2,Mndal,Ifi205,Ifi207,Ifi204
PS50824	DAPIN	2.04211522130871e-09	-20.0092796930815	23	13	0.0125361620057859	1037	13278	100033459,15951,54483,226695,226691,623121,383619,100040462,216799,236312,15950,545384,381308	Ifi208,Ifi204,Mefv,Ifi205,Ifi207,Ifi213,Aim2,Mndal,Nlrp3,Ifi209,Ifi203,Ifi214,Ifi211
PS00833	25A_SYNTH_2	1.29701103429419e-07	-15.8580332381088	8	7	0.00675024108003857	1037	13278	231655,23960,246727,246730,23961,246728,23962	Oasl1,Oas1g,Oas3,Oas1a,Oas1b,Oas2,Oasl2
PS50208	CASPASE_P20	5.02384612999197e-07	-14.5038998492535	12	8	0.0077145612343298	1037	13278	12363,12362,240354,12369,12633,12370,12366,12367	Casp4,Casp1,Malt1,Casp7,Cflar,Casp8,Casp2,Casp3
PS50209	CARD	6.0421175183279e-07	-14.3193411179467	24	11	0.0106075216972035	1037	13278	107607,192656,12363,12362,268973,11783,11796,257632,239319,12366,11797	Nod1,Ripk2,Casp4,Casp1,Nlrc4,Apaf1,Birc3,Nod2,Card6,Casp2,Birc2
PS51059	PARP_CATALYTIC	7.22863357798071e-07	-14.1400456260128	16	9	0.00867888138862102	1037	13278	101187,547253,78781,243771,671535,235587,80285,52552,99929	Parp11,Parp14,Zc3hav1,Parp12,Parp10,Parp3,Parp9,Parp8,Tiparp
PS00472	SMALL_CYTOKINES_CC	7.22863357798071e-07	-14.1400456260128	16	9	0.00867888138862102	1037	13278	20296,20308,20302,20303,20299,20307,20293,20304,20306	Ccl2,Ccl9,Ccl3,Ccl4,Ccl22,Ccl8,Ccl12,Ccl5,Ccl7
PS00471	SMALL_CYTOKINES_CXC	1.69064889094054e-06	-13.2903981435863	10	7	0.00675024108003857	1037	13278	330122,17329,15945,14825,56744,20310,56066	Cxcl3,Cxcl9,Cxcl10,Cxcl1,Pf4,Cxcl2,Cxcl11
PS00832	25A_SYNTH_1	2.87980787851845e-06	-12.7577869748893	5	5	0.00482160077145612	1037	13278	246728,23962,246727,246730,23960	Oas2,Oasl2,Oas3,Oas1a,Oas1g
PS01121	CASPASE_HIS	1.53006752000099e-05	-11.08761359982	9	6	0.00578592092574735	1037	13278	12369,12366,12363,12362,12367,12370	Casp7,Casp2,Casp4,Casp1,Casp3,Casp8
PS50152	25A_SYNTH_3	1.95967514618893e-05	-10.8401467472048	13	7	0.00675024108003857	1037	13278	246728,23962,23961,246730,246727,23960,231655	Oas2,Oasl2,Oas1b,Oas1a,Oas3,Oas1g,Oasl1
PS50207	CASPASE_P10	3.57157146634289e-05	-10.2399197793817	10	6	0.00578592092574735	1037	13278	12369,12366,12363,12362,12367,12370	Casp7,Casp2,Casp4,Casp1,Casp3,Casp8
PS01122	CASPASE_CYS	3.57157146634289e-05	-10.2399197793817	10	6	0.00578592092574735	1037	13278	12362,12363,12366,12369,12370,12367	Casp1,Casp4,Casp2,Casp7,Casp8,Casp3
PS50001	SH2	3.83041338953361e-05	-10.1699527329981	103	21	0.0202507232401157	1037	13278	20491,16822,192157,12703,14191,12700,20963,20850,17973,56792,17096,20848,20849,74030,12702,15162,20847,20779,12929,16452,20846	Sla,Lcp2,Socs7,Socs1,Fgr,Cish,Syk,Stat5a,Nck1,Stap1,Lyn,Stat3,Stat4,Rin2,Socs3,Hck,Stat2,Src,Crkl,Jak2,Stat1
PS51715	G_GB1_RHD3	6.39138949102417e-05	-9.6579737724845	15	7	0.00675024108003857	1037	13278	14468,55932,17472,236573,229900,14469,76074	Gbp2b,Gbp3,Gbp4,Gbp9,Gbp7,Gbp2,Gbp8
PS50217	BZIP	0.000107972022419674	-9.13363841606942	51	13	0.0125361620057859	1037	13278	74481,17133,18030,17134,81703,11910,53314,12609,17135,14281,16477,14282,16476	Batf2,Maff,Nfil3,Mafg,Jdp2,Atf3,Batf,Cebpd,Mafk,Fos,Junb,Fosb,Jun
PS51420	RHO	0.000109122988995319	-9.123034972425	21	8	0.0077145612343298	1037	13278	170758,223881,74194,11853,104215,69581,74734,23912	Rac3,Rnd1,Rnd3,Rhoc,Rhoq,Rhou,Rhoh,Rhof
PS50918	WWE	0.000137046439340114	-8.89519071628911	12	6	0.00578592092574735	1037	13278	74198,99929,243771,78781,547253,101187	Dtx2,Tiparp,Parp12,Zc3hav1,Parp14,Parp11
PS50835	IG_LIKE	0.000143568159027871	-8.84870065972592	456	58	0.055930568948891	1037	13278	381484,110557,240354,12522,20353,21356,58217,98365,17470,74748,15015,50723,14961,328833,83382,328830,16174,60533,14254,14960,20348,15024,16160,13003,15018,320148,12519,246256,16542,71306,16456,80719,22329,72333,75345,245126,140559,26362,14990,213233,93842,71566,14130,16068,380732,239849,75202,19294,15894,224840,15042,14969,18596,14129,71740,52118,15039,12524	Gm5150,H2-Q6,Malt1,Cd83,Sema4c,Tapbp,Trem1,Slamf9,Cd200,Slamf8,H2-Q4,Icosl,H2-Ab1,Treml2,Siglece,A530064D06Rik,Il18rap,Cd274,Flt1,H2-Aa,Sema3c,H2-T10,Il12b,Vcan,H2-Q7,B430306N03Rik,Cd80,Fcgr4,Kdr,Mfap3l,F11r,Igsf6,Vcam1,Palld,Slamf7,Tarm1,Igsf8,Axl,H2-M2,Tapbpl,Igsf9,Clmp,Fcgr2b,Il18bp,Milr1,Cd200r4,Spaca6,Nectin2,Icam1,Treml4,H2-T24,H2-Eb1,Pdgfrb,Fcgr1,Nectin4,Pvr,H2-T22,Cd86
PS01204	REL_1	0.000173507727725259	-8.65928841936602	5	4	0.0038572806171649	1037	13278	18033,19698,18034,19696	Nfkb1,Relb,Nfkb2,Rel
PS50089	ZF_RING_2	0.000236760437050207	-8.34846174218042	268	38	0.0366441658630665	1037	13278	75234,71956,81018,70797,319236,51902,53621,22033,75841,22670,22030,170737,74315,11796,80751,76681,28105,11797,407821,76073,26374,17318,209387,94094,20128,74198,67118,68350,100978,56736,20821,66597,67338,209200,30945,18854,384309,17246	Rnf19b,Rnf135,Rnf114,Ankib1,Trim12c,Rnf24,Cnot4,Traf5,Rnf139,Trim26,Traf2,Znrf1,Rnf145,Birc3,Rnf34,Trim12a,Trim36,Birc2,Znrf3,Pcgf5,Cop1,Mid1,Trim30d,Trim34a,Trim30a,Dtx2,Bfar,Mul1,Nfxl1,Rnf14,Trim21,Trim13,Rffl,Dtx3l,Rnf19a,Pml,Trim56,Mdm2
PS51507	IRF_2	0.000277788232024999	-8.1886514898624	9	5	0.00482160077145612	1037	13278	54123,15900,16364,16362,16363	Irf7,Irf8,Irf4,Irf1,Irf2
PS00601	IRF_1	0.000277788232024999	-8.1886514898624	9	5	0.00482160077145612	1037	13278	15900,54123,16362,16363,16364	Irf8,Irf7,Irf1,Irf2,Irf4
PS00290	IG_MHC	0.000297259361673036	-8.12090552861502	56	13	0.0125361620057859	1037	13278	15024,15018,14990,213233,14960,15039,21356,110557,83382,15042,15015,14961,14969	H2-T10,H2-Q7,H2-M2,Tapbpl,H2-Aa,H2-T22,Tapbp,H2-Q6,Siglece,H2-T24,H2-Q4,H2-Ab1,H2-Eb1
PS50119	ZF_BBOX	0.000341299636613842	-7.98274976676404	64	14	0.0135004821600771	1037	13278	319236,20128,54483,94094,17318,209387,76681,28105,384309,18854,74735,22670,20821,66597	Trim12c,Trim30a,Mefv,Trim34a,Mid1,Trim30d,Trim12a,Trim36,Trim56,Pml,Trim14,Trim26,Trim21,Trim13
PS50054	TYR_PHOSPHATASE_DUAL	0.000435953701386332	-7.73797450973463	31	9	0.00867888138862102	1037	13278	18218,240672,67446,19252,67603,56405,70686,319520,13537	Dusp8,Dusp5,Dusp28,Dusp1,Dusp6,Dusp14,Dusp16,Dusp4,Dusp2
PS51789	RLR_CTR	0.000475093401151657	-7.65199913925608	3	3	0.00289296046287367	1037	13278	71586,230073,80861	Ifih1,Ddx58,Dhx58
PS00251	TNF_1	0.000891933822741378	-7.02211861788828	11	5	0.00482160077145612	1037	13278	22164,21950,22035,21926,21949	Tnfsf4,Tnfsf9,Tnfsf10,Tnf,Tnfsf8
PS50229	WH1	0.000891933822741378	-7.02211861788828	11	5	0.00482160077145612	1037	13278	14026,22323,26556,101809,114715	Evl,Vasp,Homer1,Spred3,Spred1
PS00036	BZIP_BASIC	0.000916887737712873	-6.99452551663415	34	9	0.00867888138862102	1037	13278	18030,74481,16476,81703,14282,11910,53314,16477,14281	Nfil3,Batf2,Jun,Jdp2,Fosb,Atf3,Batf,Junb,Fos
PS51414	HSR	0.00106861069803723	-6.84139588722623	7	4	0.0038572806171649	1037	13278	434484,109032,20684,381287	Sp140,Sp110,Sp100,A530032D15Rik
PS50049	TNF_2	0.00130617684921843	-6.64065084441758	17	6	0.00578592092574735	1037	13278	50930,21949,22035,21926,21950,326623	Tnfsf14,Tnfsf8,Tnfsf10,Tnf,Tnfsf9,Tnfsf15
PS00252	INTERFERON_A_B_D	0.00130617684921843	-6.64065084441758	17	6	0.00578592092574735	1037	13278	15967,15977,15968,15965,15969,15962	Ifna4,Ifnb1,Ifna5,Ifna2,Ifna6,Ifna1
PS50104	TIR	0.00139818933058418	-6.57257721473786	23	7	0.00675024108003857	1037	13278	21897,81897,16174,17874,24088,21899,142980	Tlr1,Tlr9,Il18rap,Myd88,Tlr2,Tlr6,Tlr3
PS50206	RHODANESE_3	0.00139818933058418	-6.57257721473786	23	7	0.00675024108003857	1037	13278	19252,18218,240672,319520,70686,13537,67603	Dusp1,Dusp8,Dusp5,Dusp4,Dusp16,Dusp2,Dusp6
PS00964	SYNDECAN	0.00178935742904883	-6.32589870176258	4	3	0.00289296046287367	1037	13278	20969,20971,15529	Sdc1,Sdc4,Sdc2
PS51873	TRIAD	0.002177027531745	-6.12979485016523	13	5	0.00482160077145612	1037	13278	75234,30945,268749,70797,56736	Rnf19b,Rnf19a,Rnf31,Ankib1,Rnf14
PS51805	EPHD	0.00384661888380409	-5.56056072853546	27	7	0.00675024108003857	1037	13278	230674,236451,70998,246198,219131,219132,628705	Kdm4a,Phf11b,Phf6,Mllt6,Phf11a,Phf11d,Phf11c
PS00253	INTERLEUKIN_1	0.00421313198107954	-5.46954896937422	5	3	0.00289296046287367	1037	13278	16175,16176,16181	Il1a,Il1b,Il1rn
PS51748	HEXOKINASE_2	0.00421313198107954	-5.46954896937422	5	3	0.00289296046287367	1037	13278	212032,15275,15277	Hk3,Hk1,Hk2
PS00378	HEXOKINASE_1	0.00421313198107954	-5.46954896937422	5	3	0.00289296046287367	1037	13278	15275,212032,15277	Hk1,Hk3,Hk2
PS51011	ARID	0.00445337982627596	-5.41409195956422	15	5	0.00482160077145612	1037	13278	214855,75605,238247,71371,16468	Arid5a,Kdm5b,Arid4a,Arid5b,Jarid2
PS50254	REL_2	0.00529882061132637	-5.24027100935152	10	4	0.0038572806171649	1037	13278	19696,18033,18034,19698	Rel,Nfkb1,Nfkb2,Relb
PS00254	INTERLEUKIN_6	0.00609404830304321	-5.10044267212197	2	2	0.00192864030858245	1037	13278	16193,12985	Il6,Csf3
PS00827	MARCKS_2	0.00609404830304321	-5.10044267212197	2	2	0.00192864030858245	1037	13278	17118,17357	Marcks,Marcksl1
PS00590	LIF_OSM	0.00609404830304321	-5.10044267212197	2	2	0.00192864030858245	1037	13278	18413,16878	Osm,Lif
PS00826	MARCKS_1	0.00609404830304321	-5.10044267212197	2	2	0.00192864030858245	1037	13278	17357,17118	Marcksl1,Marcks
PS00109	PROTEIN_KINASE_TYR	0.00729211196273879	-4.92096206809561	96	15	0.0144648023143684	1037	13278	14254,14083,244418,15162,16452,20779,54721,17096,17295,16542,16001,14191,20963,26362,18596	Flt1,Ptk2,Prag1,Hck,Jak2,Src,Tyk2,Lyn,Met,Kdr,Igf1r,Fgr,Syk,Axl,Pdgfrb
PS51476	PROTEASOME_BETA_2	0.00781704163319854	-4.85144910377648	11	4	0.0038572806171649	1037	13278	19171,16913,16912,19175	Psmb10,Psmb8,Psmb9,Psmb6
PS00854	PROTEASOME_BETA_1	0.00781704163319854	-4.85144910377648	11	4	0.0038572806171649	1037	13278	19171,19175,16913,16912	Psmb10,Psmb6,Psmb8,Psmb9
PS51122	CALPONIN_2	0.00793805937022721	-4.8360864454067	6	3	0.00289296046287367	1037	13278	12798,71994,21345	Cnn2,Cnn3,Tagln
PS01052	CALPONIN_1	0.00793805937022721	-4.8360864454067	6	3	0.00289296046287367	1037	13278	12798,71994,21345	Cnn2,Cnn3,Tagln
PS00242	INTEGRIN_ALPHA	0.00804998629470512	-4.82208489007422	17	5	0.00482160077145612	1037	13278	16410,16408,104099,16401,16402	Itgav,Itgal,Itga9,Itga4,Itga5
PS00518	ZF_RING_1	0.00919039749740301	-4.68959609029607	155	21	0.0202507232401157	1037	13278	18854,384309,209200,66597,22030,20821,22033,56736,67118,268749,94094,319236,20128,209387,26374,17318,81018,76073,71956,28105,76681	Pml,Trim56,Dtx3l,Trim13,Traf2,Trim21,Traf5,Rnf14,Bfar,Rnf31,Trim34a,Trim12c,Trim30a,Trim30d,Cop1,Mid1,Rnf114,Pcgf5,Rnf135,Trim36,Trim12a
PS50011	PROTEIN_KINASE_DOM	0.0123101759882456	-4.39732904252358	486	52	0.0501446480231437	1037	13278	223775,20779,244418,14254,11479,26921,69181,26398,26410,16542,14191,73914,108960,20620,11477,59126,192656,26395,23797,56532,74178,74568,213326,16001,170755,17164,12795,17096,320129,54721,211770,16452,19106,24086,14083,18596,13728,18754,18712,18715,19108,15162,26362,16706,56489,17295,69922,20963,53608,228775,11482,70661	Pim3,Src,Prag1,Flt1,Acvr1b,Map4k4,Dyrk2,Map2k4,Map3k8,Kdr,Fgr,Irak3,Irak2,Plk2,Acvr1,Nek6,Ripk2,Map2k1,Akt3,Ripk3,Stk40,Mlkl,Scyl2,Igf1r,Sgk3,Mapkapk2,Plk3,Lyn,Grk3,Tyk2,Trib1,Jak2,Eif2ak2,Tlk2,Ptk2,Pdgfrb,Mark2,Prkce,Pim1,Pim2,Prkx,Hck,Axl,Ksr1,Ikbke,Met,Vrk2,Syk,Map3k6,Trib3,Acvrl1,Sik3
PS51227	SPR	0.0130901458744545	-4.33589555516104	7	3	0.00289296046287367	1037	13278	24064,101809,114715	Spry2,Spred3,Spred1
PS51256	GS	0.0130901458744545	-4.33589555516104	7	3	0.00289296046287367	1037	13278	11479,11482,11477	Acvr1b,Acvrl1,Acvr1
PS50864	SAND	0.0130901458744545	-4.33589555516104	7	3	0.00289296046287367	1037	13278	434484,109032,20684	Sp140,Sp110,Sp100
PS51470	FG_GAP	0.0132778849358225	-4.321655414499	19	5	0.00482160077145612	1037	13278	104099,16410,16408,16402,16401	Itga9,Itgav,Itgal,Itga5,Itga4
PS01036	HSP70_3	0.0149357552881502	-4.20399725690545	13	4	0.0038572806171649	1037	13278	15505,193740,15511,15512	Hsph1,Hspa1a,Hspa1b,Hspa2
PS50929	ABC_TM1F	0.0159607460648031	-4.13762294213805	27	6	0.00578592092574735	1037	13278	21354,27416,239273,21355,17250,18671	Tap1,Abcc5,Abcc4,Tap2,Abcc1,Abcb1a
PS50050	TNFR_NGFR_2	0.0165905266859054	-4.09892342809231	20	5	0.00482160077145612	1037	13278	21941,230979,21939,21938,14102	Tnfrsf8,Tnfrsf14,Cd40,Tnfrsf1b,Fas
PS51644	HTH_OST	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	100121,223989	Tdrd7,Marf1
PS51717	G_VLIG	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	100042856,74558	Gm4070,Gvin1
PS51801	ZF_CCHC_NOA	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	16151,71648	Ikbkg,Optn
PS51488	KBD	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	101809,114715	Spred3,Spred1
PS01325	LYS_HYDROXYLASE	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	26432,26433	Plod2,Plod3
PS00778	HIS_ACID_PHOSPHAT_2	0.0173319581066358	-4.05520319221819	3	2	0.00192864030858245	1037	13278	11432,56318	Acp2,Acpp
PS50003	PH_DOMAIN	0.0191076105473619	-3.95766856531579	238	28	0.0270009643201543	1037	13278	71302,71720,19159,20947,110253,98432,210293,109934,23797,71801,230837,69217,380921,216991,56792,384783,224860,83436,213783,102693,17909,215632,73728,56193,219140,109135,320129,71704	Arhgap26,Osbpl3,Cyth3,Swap70,Triobp,Phlpp1,Dock10,Abr,Akt3,Plekhf2,Asap3,Plekha4,Dgkh,Adap2,Stap1,Irs2,Plcl2,Plekha2,Plekhg1,Phldb1,Myo10,Psd4,Psd,Plek,Spata13,Plekha5,Grk3,Arhgef3
PS00297	HSP70_1	0.0197410776485386	-3.92505365434235	8	3	0.00289296046287367	1037	13278	15512,193740,15511	Hspa2,Hspa1a,Hspa1b
PS51231	DAD	0.0197410776485386	-3.92505365434235	8	3	0.00289296046287367	1037	13278	208846,54004,71409	Daam1,Diaph2,Fmnl2
PS00240	RECEPTOR_TYR_KIN_III	0.0197410776485386	-3.92505365434235	8	3	0.00289296046287367	1037	13278	14254,18596,16542	Flt1,Pdgfrb,Kdr
